seed,train_loss,train_acc,valid_loss,valid_acc
0,"[0.6879, 0.5904, 0.498, 0.4473, 0.4214, 0.3764, 0.3689, 0.3469, 0.3373, 0.3461, 0.2685, 0.2831, 0.2558, 0.2672, 0.2612, 0.2672, 0.2731, 0.2632, 0.2579, 0.2568]","[55.94, 68.46, 75.82, 78.78, 81.63, 82.86, 84.02, 85.49, 85.57, 85.57, 88.51, 88.28, 89.41, 89.53, 89.49, 89.37, 89.07, 89.56, 89.49, 89.41]","[0.6647, 0.4982, 0.4851, 0.398, 0.3998, 0.3628, 0.3506, 0.3305, 0.3508, 0.3162, 0.3233, 0.2999, 0.3033, 0.3226, 0.2954, 0.3109, 0.2935, 0.2987, 0.2991, 0.2857]","[61.24, 76.52, 77.16, 82.4, 82.43, 84.26, 85.28, 86.1, 85.11, 86.63, 87.3, 87.32, 87.73, 87.59, 88.02, 88.36, 88.33, 88.68, 88.54, 89.03]"
1,"[0.6873, 0.5972, 0.5078, 0.4537, 0.405, 0.3916, 0.3567, 0.3564, 0.3542, 0.3302, 0.2623, 0.2686, 0.2747, 0.275, 0.2743, 0.267, 0.2629, 0.2523, 0.2649, 0.2477]","[55.47, 67.76, 75.63, 78.86, 81.04, 83.05, 84.27, 84.04, 84.9, 86.43, 89.47, 89.09, 89.28, 88.97, 88.99, 89.09, 89.16, 90.16, 89.58, 90.14]","[0.6217, 0.5032, 0.4405, 0.4009, 0.3691, 0.366, 0.3453, 0.3722, 0.3422, 0.3071, 0.3182, 0.3244, 0.2956, 0.2891, 0.3421, 0.2974, 0.3407, 0.2861, 0.2927, 0.2902]","[66.57, 75.66, 79.34, 81.81, 83.63, 84.31, 85.33, 86.2, 85.49, 86.7, 87.25, 87.68, 87.91, 88.03, 87.09, 88.06, 86.53, 88.46, 88.99, 89.34]"
2,"[0.6696, 0.567, 0.5074, 0.4651, 0.4088, 0.3885, 0.3804, 0.3491, 0.3451, 0.3505, 0.2605, 0.2574, 0.2832, 0.2621, 0.2777, 0.2527, 0.2744, 0.2568, 0.2608, 0.2561]","[57.84, 70.95, 76.43, 78.29, 81.54, 82.91, 83.45, 85.36, 85.11, 84.92, 89.56, 89.81, 88.32, 89.2, 88.49, 89.74, 89.09, 89.53, 89.72, 89.79]","[0.6088, 0.4966, 0.4415, 0.4225, 0.4582, 0.3552, 0.3511, 0.3404, 0.3501, 0.347, 0.3063, 0.3044, 0.3101, 0.2988, 0.2995, 0.3041, 0.2828, 0.3062, 0.2846, 0.2952]","[67.86, 76.62, 79.39, 81.2, 79.98, 84.55, 85.31, 85.6, 85.58, 85.43, 87.25, 87.57, 87.72, 87.82, 88.58, 87.88, 88.7, 88.43, 87.96, 88.38]"
3,"[0.6775, 0.5704, 0.5239, 0.4592, 0.4133, 0.3828, 0.3856, 0.3683, 0.3463, 0.3329, 0.27, 0.2703, 0.2548, 0.2623, 0.2673, 0.2715, 0.2474, 0.2694, 0.2733, 0.2569]","[57.57, 70.41, 74.62, 78.82, 81.04, 83.52, 82.86, 84.42, 85.09, 86.22, 89.93, 89.09, 89.11, 89.51, 89.11, 89.22, 90.33, 89.49, 89.07, 89.95]","[0.6022, 0.4918, 0.4532, 0.4196, 0.3763, 0.3613, 0.3435, 0.3452, 0.3141, 0.2997, 0.3265, 0.3259, 0.3413, 0.3151, 0.304, 0.3067, 0.2835, 0.2846, 0.3264, 0.2747]","[68.0, 76.36, 78.79, 80.86, 83.49, 85.2, 86.03, 85.02, 87.3, 88.03, 86.9, 87.67, 87.27, 88.35, 88.06, 87.92, 88.63, 88.7, 89.26, 89.32]"
4,"[0.6739, 0.5516, 0.5024, 0.4706, 0.4149, 0.4065, 0.3854, 0.3569, 0.3403, 0.3323, 0.2689, 0.2822, 0.2811, 0.2706, 0.2539, 0.2676, 0.2571, 0.2781, 0.2541, 0.2596]","[56.84, 71.81, 76.15, 78.19, 80.89, 82.28, 83.7, 84.75, 85.89, 86.3, 89.51, 88.61, 88.63, 89.37, 89.72, 89.03, 89.93, 89.28, 89.7, 90.0]","[0.5925, 0.4898, 0.5104, 0.4137, 0.4499, 0.3511, 0.3356, 0.328, 0.3186, 0.3132, 0.3188, 0.3102, 0.2959, 0.2973, 0.2966, 0.2975, 0.2963, 0.3071, 0.3825, 0.2848]","[68.6, 76.84, 77.89, 81.73, 78.5, 84.94, 85.82, 86.2, 86.69, 87.02, 87.61, 87.58, 87.91, 87.48, 87.63, 87.51, 88.46, 87.33, 84.52, 88.49]"
5,"[0.6969, 0.5825, 0.4738, 0.4351, 0.4029, 0.3912, 0.3794, 0.3612, 0.3657, 0.3378, 0.2586, 0.2742, 0.277, 0.2641, 0.2606, 0.2607, 0.2515, 0.2668, 0.2647, 0.2527]","[54.59, 68.88, 77.27, 80.33, 82.03, 82.38, 83.39, 84.84, 84.19, 85.21, 89.97, 88.67, 89.16, 88.86, 89.79, 89.62, 90.27, 89.49, 89.16, 90.31]","[0.6803, 0.5292, 0.447, 0.4009, 0.3835, 0.3814, 0.3635, 0.325, 0.3123, 0.3137, 0.3434, 0.3265, 0.3, 0.2951, 0.2956, 0.2963, 0.3211, 0.2843, 0.2784, 0.2703]","[55.64, 73.53, 79.95, 82.75, 83.1, 83.53, 84.06, 86.88, 86.78, 86.79, 84.88, 87.47, 87.74, 87.77, 88.08, 87.43, 88.22, 88.47, 88.89, 88.84]"
6,"[0.6868, 0.5935, 0.5079, 0.4484, 0.4152, 0.3867, 0.3781, 0.3475, 0.3408, 0.3336, 0.2898, 0.2508, 0.2776, 0.2606, 0.2604, 0.2578, 0.2796, 0.2616, 0.2597, 0.2643]","[56.15, 68.67, 75.06, 79.38, 80.89, 83.22, 82.89, 85.23, 85.34, 85.95, 88.11, 90.08, 88.13, 89.53, 89.93, 89.83, 88.76, 89.62, 89.56, 89.83]","[0.6569, 0.5034, 0.479, 0.4413, 0.3764, 0.3695, 0.3688, 0.3395, 0.3138, 0.3158, 0.3127, 0.3139, 0.3117, 0.3219, 0.3452, 0.3147, 0.2914, 0.2865, 0.2968, 0.2975]","[60.25, 76.34, 78.09, 79.3, 82.7, 84.55, 84.8, 86.12, 86.62, 86.87, 87.25, 87.43, 88.1, 87.44, 87.71, 87.2, 88.03, 87.81, 88.36, 88.38]"
7,"[0.6801, 0.5623, 0.4864, 0.4381, 0.4193, 0.4118, 0.3904, 0.3521, 0.3397, 0.3374, 0.2573, 0.2722, 0.2771, 0.267, 0.2613, 0.2698, 0.2654, 0.268, 0.2547, 0.251]","[56.84, 71.35, 77.2, 79.64, 81.21, 82.07, 82.86, 85.07, 84.94, 86.2, 89.68, 88.36, 88.7, 89.45, 89.41, 89.26, 89.43, 89.51, 89.56, 89.68]","[0.6006, 0.5062, 0.4548, 0.3928, 0.3693, 0.3623, 0.3342, 0.3255, 0.3054, 0.3083, 0.3384, 0.3418, 0.2988, 0.3243, 0.3205, 0.283, 0.2839, 0.3461, 0.2705, 0.2727]","[67.92, 74.33, 78.66, 81.97, 83.71, 83.61, 85.32, 86.32, 87.05, 87.0, 87.27, 86.76, 87.9, 87.93, 87.84, 88.17, 88.52, 86.92, 89.17, 89.08]"
8,"[0.6783, 0.5716, 0.5197, 0.4479, 0.4126, 0.3933, 0.3903, 0.3371, 0.3319, 0.342, 0.2487, 0.2705, 0.2612, 0.2784, 0.2758, 0.2595, 0.261, 0.2549, 0.2636, 0.2699]","[57.28, 70.49, 74.16, 79.7, 81.88, 82.49, 83.28, 85.78, 85.76, 85.61, 90.12, 89.41, 89.68, 88.38, 89.32, 89.47, 89.53, 90.1, 89.47, 89.53]","[0.6139, 0.4977, 0.4254, 0.4108, 0.3763, 0.3469, 0.3332, 0.3577, 0.3296, 0.3389, 0.3536, 0.3113, 0.3282, 0.314, 0.3172, 0.3019, 0.297, 0.2834, 0.2866, 0.326]","[67.43, 75.87, 80.3, 81.37, 83.56, 85.04, 85.68, 85.67, 86.8, 86.29, 86.86, 88.18, 86.24, 88.33, 88.08, 88.26, 88.63, 88.92, 87.94, 86.46]"
9,"[0.683, 0.5771, 0.4929, 0.4467, 0.422, 0.373, 0.3579, 0.3621, 0.3405, 0.3335, 0.2617, 0.2706, 0.2683, 0.2764, 0.2572, 0.2621, 0.2589, 0.2736, 0.2704, 0.2655]","[56.96, 69.97, 76.2, 79.01, 81.82, 83.31, 84.65, 83.6, 85.19, 86.24, 89.16, 89.62, 89.3, 89.01, 89.74, 89.47, 89.58, 88.65, 88.84, 89.39]","[0.6572, 0.4894, 0.5102, 0.446, 0.37, 0.3541, 0.3374, 0.3211, 0.3269, 0.318, 0.3413, 0.3125, 0.3279, 0.2888, 0.3009, 0.3015, 0.3018, 0.3355, 0.3044, 0.2764]","[62.02, 76.53, 73.24, 80.12, 84.12, 84.82, 85.5, 86.48, 86.13, 87.13, 86.78, 87.09, 87.18, 88.18, 88.08, 88.02, 88.34, 86.98, 88.46, 88.77]"
