seed,train_loss,train_acc,valid_loss,valid_acc
0,"[0.6764, 0.5581, 0.477, 0.4445, 0.4148, 0.3787, 0.3595, 0.3532, 0.3405, 0.3453, 0.2904, 0.3001, 0.2765, 0.2842, 0.2701, 0.2676, 0.2847, 0.2768, 0.2673, 0.2705]","[57.57, 72.08, 77.92, 80.33, 81.82, 83.47, 84.23, 84.88, 85.7, 85.47, 87.02, 87.31, 88.36, 88.57, 89.24, 88.44, 88.38, 88.51, 88.59, 88.86]","[0.5881, 0.4822, 0.4424, 0.3853, 0.3813, 0.3589, 0.3503, 0.3339, 0.3506, 0.3149, 0.3123, 0.3361, 0.3088, 0.2995, 0.3065, 0.3058, 0.3046, 0.2898, 0.3508, 0.3147]","[69.28, 77.8, 80.55, 82.77, 83.82, 85.08, 85.34, 85.4, 85.71, 86.46, 86.01, 83.79, 87.31, 87.55, 87.26, 87.34, 87.61, 87.83, 88.03, 88.26]"
1,"[0.6862, 0.5774, 0.4975, 0.4359, 0.4054, 0.3892, 0.364, 0.3583, 0.3483, 0.3369, 0.2709, 0.2917, 0.2892, 0.2937, 0.2819, 0.2865, 0.2765, 0.2634, 0.2765, 0.2654]","[55.85, 69.74, 76.53, 80.35, 82.09, 83.05, 84.5, 84.12, 85.05, 85.7, 89.49, 88.28, 87.79, 87.58, 88.28, 88.23, 88.91, 89.01, 88.3, 88.99]","[0.6458, 0.4939, 0.5093, 0.3964, 0.3837, 0.3751, 0.3363, 0.3466, 0.3217, 0.3321, 0.3503, 0.3097, 0.3176, 0.3346, 0.3074, 0.2989, 0.3118, 0.2972, 0.2987, 0.2961]","[57.69, 77.09, 75.28, 82.82, 83.12, 84.27, 85.62, 85.97, 86.24, 85.73, 86.68, 86.9, 85.54, 87.31, 86.65, 87.8, 85.66, 87.63, 87.54, 87.58]"
2,"[0.6764, 0.5533, 0.4711, 0.4418, 0.4097, 0.3825, 0.3815, 0.3577, 0.3578, 0.3395, 0.2707, 0.2816, 0.2929, 0.2767, 0.296, 0.2656, 0.2877, 0.2769, 0.2715, 0.2713]","[58.31, 72.0, 77.96, 79.95, 81.77, 83.31, 83.54, 84.88, 84.29, 85.78, 89.18, 88.59, 87.84, 88.63, 87.6, 89.03, 88.42, 89.11, 88.86, 88.07]","[0.6068, 0.4997, 0.4225, 0.4024, 0.3748, 0.3522, 0.3409, 0.3568, 0.3391, 0.3216, 0.3132, 0.3477, 0.3139, 0.3015, 0.3432, 0.3035, 0.2948, 0.3021, 0.3335, 0.2933]","[67.03, 77.52, 80.22, 82.12, 82.73, 85.09, 85.32, 84.53, 86.23, 87.13, 87.0, 85.12, 87.13, 87.2, 87.05, 87.02, 87.61, 87.57, 87.18, 86.81]"
3,"[0.6709, 0.559, 0.493, 0.4452, 0.4041, 0.3867, 0.3897, 0.3739, 0.3391, 0.3424, 0.2819, 0.279, 0.2673, 0.2853, 0.2824, 0.2864, 0.2629, 0.2758, 0.2857, 0.2699]","[58.43, 71.69, 76.78, 80.41, 82.28, 82.7, 83.05, 84.02, 85.44, 85.32, 88.44, 88.76, 88.93, 88.55, 88.36, 88.38, 88.88, 88.8, 88.44, 89.3]","[0.6041, 0.4753, 0.451, 0.4267, 0.4318, 0.3768, 0.3709, 0.3323, 0.3566, 0.3135, 0.3387, 0.321, 0.388, 0.3019, 0.299, 0.3069, 0.3115, 0.2955, 0.3228, 0.311]","[67.54, 77.7, 79.65, 80.71, 78.65, 83.67, 85.42, 86.15, 86.13, 87.06, 85.94, 86.68, 85.19, 87.41, 87.58, 87.83, 86.43, 88.32, 88.07, 87.71]"
4,"[0.6546, 0.5392, 0.4878, 0.4337, 0.4169, 0.3871, 0.3837, 0.3521, 0.3401, 0.3339, 0.2786, 0.2889, 0.3001, 0.2812, 0.2711, 0.2785, 0.2713, 0.2806, 0.2698, 0.2669]","[59.77, 73.07, 77.71, 80.73, 81.61, 83.01, 83.31, 84.96, 85.28, 86.2, 88.57, 88.07, 87.48, 88.28, 88.84, 88.74, 88.61, 88.3, 89.18, 89.11]","[0.567, 0.4781, 0.4294, 0.4425, 0.4335, 0.345, 0.3517, 0.331, 0.337, 0.33, 0.3118, 0.3364, 0.2999, 0.3065, 0.3017, 0.3107, 0.2968, 0.32, 0.3305, 0.2979]","[70.59, 76.97, 80.76, 80.22, 80.47, 85.25, 85.26, 85.89, 86.36, 86.3, 86.87, 85.2, 87.56, 86.55, 87.26, 86.6, 87.71, 86.71, 86.23, 87.85]"
5,"[0.6703, 0.5523, 0.4527, 0.4321, 0.3967, 0.3932, 0.3681, 0.367, 0.3548, 0.3462, 0.2704, 0.2865, 0.2848, 0.2774, 0.2742, 0.2777, 0.2683, 0.2806, 0.2761, 0.2675]","[58.03, 72.21, 78.42, 80.24, 82.21, 83.18, 83.98, 84.38, 84.56, 84.54, 88.93, 88.3, 88.11, 88.23, 88.63, 88.63, 89.26, 88.72, 88.61, 88.99]","[0.57, 0.4836, 0.4773, 0.3817, 0.3643, 0.3568, 0.3622, 0.3338, 0.3225, 0.3215, 0.3216, 0.3046, 0.3091, 0.3551, 0.3341, 0.2925, 0.3093, 0.2848, 0.2979, 0.2892]","[72.03, 76.64, 80.92, 82.81, 84.15, 84.42, 84.05, 85.96, 86.37, 86.24, 86.24, 87.03, 86.92, 85.86, 87.15, 87.48, 87.43, 87.62, 88.04, 88.14]"
6,"[0.6755, 0.5574, 0.4785, 0.437, 0.4167, 0.3918, 0.3773, 0.3403, 0.3542, 0.3371, 0.2976, 0.2656, 0.2891, 0.2782, 0.2701, 0.2758, 0.2863, 0.2743, 0.2767, 0.2718]","[57.99, 71.64, 77.35, 80.24, 80.83, 83.41, 82.74, 85.36, 84.48, 85.72, 87.19, 89.03, 87.71, 88.49, 88.67, 88.55, 88.0, 88.34, 89.24, 89.09]","[0.5676, 0.478, 0.4713, 0.4268, 0.3773, 0.3666, 0.3523, 0.3919, 0.3231, 0.3268, 0.3241, 0.3355, 0.3456, 0.3143, 0.3052, 0.2946, 0.2945, 0.2872, 0.2874, 0.2821]","[70.67, 77.52, 78.42, 79.3, 83.25, 83.53, 85.48, 82.47, 86.25, 86.58, 87.02, 86.68, 87.09, 86.39, 87.26, 87.24, 87.82, 88.15, 87.97, 88.09]"
7,"[0.6847, 0.5544, 0.4758, 0.4375, 0.4145, 0.3975, 0.3823, 0.3641, 0.3531, 0.3461, 0.2714, 0.2883, 0.2808, 0.2782, 0.2725, 0.2845, 0.2757, 0.2869, 0.287, 0.2684]","[56.38, 72.76, 77.68, 79.07, 81.82, 82.51, 83.79, 84.27, 84.5, 85.4, 88.65, 87.71, 88.36, 88.76, 89.18, 88.51, 88.51, 88.51, 88.7, 89.09]","[0.5873, 0.4871, 0.4342, 0.3881, 0.3752, 0.3505, 0.3486, 0.3393, 0.3225, 0.3683, 0.3136, 0.3144, 0.3143, 0.3108, 0.3086, 0.3048, 0.332, 0.3387, 0.3101, 0.2899]","[69.41, 76.17, 80.93, 82.65, 83.64, 83.99, 84.84, 84.83, 86.53, 82.27, 86.69, 86.51, 87.34, 86.21, 87.76, 87.64, 86.57, 84.24, 87.26, 87.63]"
8,"[0.6782, 0.5608, 0.5003, 0.4358, 0.4056, 0.3956, 0.3762, 0.3444, 0.3338, 0.3528, 0.2693, 0.2793, 0.2819, 0.2894, 0.2859, 0.2714, 0.283, 0.2695, 0.2819, 0.2857]","[57.76, 71.54, 76.17, 80.75, 82.28, 82.84, 83.68, 85.91, 85.44, 84.58, 88.72, 88.78, 88.8, 88.32, 88.63, 88.0, 88.26, 88.99, 88.61, 88.55]","[0.5829, 0.5025, 0.4223, 0.3974, 0.3949, 0.3596, 0.3486, 0.3331, 0.3219, 0.3232, 0.3366, 0.3165, 0.3082, 0.3109, 0.2979, 0.3395, 0.3071, 0.3043, 0.2952, 0.3196]","[69.84, 75.93, 80.82, 81.95, 83.0, 84.85, 85.72, 86.36, 86.48, 86.49, 86.36, 86.97, 87.05, 87.15, 87.05, 86.15, 87.5, 87.59, 87.5, 86.76]"
9,"[0.6793, 0.5685, 0.4965, 0.4406, 0.4149, 0.3733, 0.3582, 0.37, 0.343, 0.3453, 0.2837, 0.2773, 0.2891, 0.2908, 0.2725, 0.2667, 0.2829, 0.2722, 0.2792, 0.2771]","[58.64, 70.99, 76.76, 79.55, 81.38, 83.12, 84.25, 83.96, 85.32, 85.17, 88.67, 88.26, 88.28, 88.13, 88.63, 89.62, 88.17, 88.82, 88.7, 88.67]","[0.6484, 0.4832, 0.4689, 0.4213, 0.3944, 0.4177, 0.3488, 0.3377, 0.3282, 0.3168, 0.3136, 0.308, 0.3152, 0.3146, 0.3148, 0.3032, 0.2913, 0.2911, 0.3021, 0.2963]","[61.9, 77.19, 79.83, 80.05, 82.87, 84.32, 84.7, 86.04, 86.41, 86.49, 86.68, 86.86, 87.15, 87.38, 86.91, 87.47, 87.64, 87.33, 87.86, 88.49]"
