seed,train_loss,train_acc,valid_loss,valid_acc
0,"[0.6901, 0.6176, 0.488, 0.4376, 0.3967, 0.3533, 0.3525, 0.3227, 0.3174, 0.3198, 0.2415, 0.2504, 0.2388, 0.2419, 0.2375, 0.2341, 0.2514, 0.2514, 0.2382, 0.2409]","[55.39, 64.79, 76.53, 79.89, 83.1, 84.56, 85.17, 86.98, 86.79, 86.7, 90.18, 89.7, 90.23, 90.62, 90.79, 90.39, 89.47, 89.81, 90.71, 90.39]","[0.6693, 0.512, 0.4385, 0.3761, 0.3575, 0.3335, 0.3306, 0.3168, 0.3087, 0.2994, 0.3176, 0.3036, 0.3014, 0.285, 0.2823, 0.306, 0.2768, 0.2756, 0.2715, 0.2752]","[57.15, 75.28, 80.13, 83.56, 84.73, 86.19, 86.99, 87.09, 87.27, 87.54, 87.56, 87.35, 87.86, 88.61, 88.87, 88.7, 88.96, 89.11, 89.06, 89.22]"
1,"[0.6912, 0.6044, 0.4935, 0.4209, 0.3802, 0.3608, 0.3369, 0.3322, 0.3247, 0.3131, 0.2351, 0.2468, 0.247, 0.2445, 0.2487, 0.2443, 0.2378, 0.2318, 0.2384, 0.232]","[55.05, 66.53, 75.82, 81.06, 83.24, 84.94, 85.59, 85.86, 86.05, 86.87, 90.98, 90.14, 90.35, 90.14, 90.1, 90.31, 91.07, 90.77, 90.27, 90.58]","[0.6553, 0.5131, 0.4335, 0.3708, 0.3502, 0.3356, 0.3132, 0.3081, 0.299, 0.2964, 0.3011, 0.2931, 0.2899, 0.289, 0.2982, 0.2921, 0.2957, 0.2926, 0.2782, 0.2799]","[63.3, 75.4, 79.77, 83.59, 85.19, 85.92, 87.02, 87.25, 87.81, 87.71, 87.77, 88.24, 88.34, 88.18, 88.53, 88.14, 87.64, 88.37, 89.12, 89.58]"
2,"[0.6771, 0.5653, 0.4573, 0.425, 0.3834, 0.3504, 0.3457, 0.3276, 0.3244, 0.318, 0.2275, 0.2341, 0.2583, 0.2383, 0.2617, 0.2311, 0.2486, 0.2349, 0.2387, 0.2328]","[56.94, 70.6, 79.19, 81.17, 83.07, 85.4, 85.28, 86.79, 86.54, 86.49, 91.11, 90.81, 89.66, 90.27, 89.58, 90.54, 90.27, 90.46, 90.23, 90.33]","[0.647, 0.4738, 0.4175, 0.4428, 0.3526, 0.3358, 0.3258, 0.3169, 0.3252, 0.3027, 0.3034, 0.3197, 0.2983, 0.2876, 0.2857, 0.2771, 0.2868, 0.3164, 0.2733, 0.272]","[64.14, 77.88, 81.82, 79.63, 84.69, 86.12, 86.06, 86.83, 86.91, 87.97, 88.09, 86.59, 87.56, 88.38, 88.51, 88.56, 88.75, 88.93, 88.63, 88.78]"
3,"[0.6818, 0.5634, 0.48, 0.422, 0.3762, 0.3564, 0.3494, 0.3381, 0.3083, 0.3116, 0.2428, 0.2322, 0.2303, 0.2387, 0.2448, 0.2535, 0.221, 0.244, 0.2549, 0.233]","[55.94, 71.1, 77.16, 80.83, 83.31, 84.63, 85.23, 85.63, 87.56, 87.29, 90.69, 90.42, 90.5, 90.14, 90.08, 89.7, 90.94, 90.23, 90.06, 90.71]","[0.625, 0.4823, 0.4171, 0.3799, 0.3615, 0.3308, 0.3263, 0.2999, 0.2952, 0.2894, 0.3052, 0.3251, 0.3056, 0.2916, 0.2928, 0.2803, 0.2775, 0.2796, 0.2805, 0.2707]","[65.27, 77.06, 80.9, 83.28, 84.72, 86.39, 86.43, 87.59, 88.07, 87.93, 88.18, 87.76, 88.22, 88.55, 88.54, 88.63, 88.9, 88.33, 89.62, 89.44]"
4,"[0.6787, 0.5678, 0.4781, 0.4191, 0.3925, 0.37, 0.3521, 0.3294, 0.3184, 0.3032, 0.2429, 0.2551, 0.2508, 0.2491, 0.2326, 0.2428, 0.2322, 0.2442, 0.2326, 0.2286]","[56.8, 70.49, 77.94, 81.1, 82.99, 84.33, 85.51, 86.12, 86.6, 87.5, 90.58, 90.29, 89.64, 90.23, 90.69, 90.65, 90.54, 90.25, 90.79, 91.11]","[0.6497, 0.4736, 0.4121, 0.3849, 0.3732, 0.3324, 0.3205, 0.3238, 0.3061, 0.2979, 0.3028, 0.3164, 0.2895, 0.2917, 0.2977, 0.2922, 0.3115, 0.286, 0.3232, 0.2941]","[61.43, 77.67, 81.38, 83.78, 84.07, 85.89, 86.4, 86.87, 87.22, 87.76, 87.77, 87.47, 88.63, 88.16, 87.82, 87.9, 88.21, 88.79, 86.88, 88.12]"
5,"[0.6856, 0.571, 0.4501, 0.4103, 0.3739, 0.3654, 0.3511, 0.3418, 0.3279, 0.3187, 0.237, 0.2392, 0.2469, 0.2408, 0.2385, 0.2369, 0.2396, 0.2497, 0.2471, 0.2265]","[55.96, 69.9, 79.05, 81.75, 83.75, 84.65, 85.53, 85.8, 86.26, 86.49, 91.07, 90.23, 89.85, 90.52, 90.33, 90.44, 90.56, 89.97, 90.23, 91.25]","[0.635, 0.5021, 0.4312, 0.3752, 0.3482, 0.342, 0.3248, 0.3074, 0.3004, 0.2957, 0.296, 0.3232, 0.2947, 0.29, 0.2835, 0.2751, 0.2737, 0.2759, 0.2846, 0.2667]","[64.24, 74.95, 80.86, 83.76, 85.29, 85.61, 86.5, 87.34, 87.29, 87.94, 87.88, 88.01, 87.57, 88.33, 88.69, 88.72, 88.71, 88.78, 89.45, 89.49]"
6,"[0.6828, 0.5685, 0.4661, 0.4128, 0.3901, 0.3612, 0.3564, 0.3064, 0.3189, 0.3072, 0.2517, 0.2233, 0.2521, 0.2393, 0.2334, 0.2394, 0.2575, 0.2452, 0.2356, 0.243]","[56.73, 70.24, 78.63, 81.5, 82.09, 84.4, 84.29, 87.1, 86.68, 87.54, 89.83, 91.25, 89.62, 90.02, 90.39, 90.31, 89.68, 90.04, 90.69, 90.62]","[0.6309, 0.4837, 0.4457, 0.3909, 0.3477, 0.3897, 0.3394, 0.3191, 0.3062, 0.2961, 0.2937, 0.3172, 0.2905, 0.2989, 0.2967, 0.2839, 0.2886, 0.2797, 0.2832, 0.2671]","[64.16, 77.14, 79.25, 82.62, 84.7, 81.77, 85.23, 86.94, 87.17, 88.16, 88.08, 87.22, 88.52, 88.24, 88.91, 88.81, 88.05, 89.14, 89.23, 89.07]"
7,"[0.6851, 0.5694, 0.4552, 0.4047, 0.3891, 0.3728, 0.3512, 0.3259, 0.3295, 0.3107, 0.2264, 0.2452, 0.2421, 0.2489, 0.2388, 0.2415, 0.2485, 0.2475, 0.232, 0.2323]","[55.47, 70.81, 79.57, 81.73, 82.86, 84.54, 85.36, 86.79, 85.65, 87.02, 91.15, 89.66, 90.06, 90.39, 90.86, 90.52, 90.16, 89.97, 90.69, 90.42]","[0.6281, 0.4726, 0.4103, 0.3748, 0.3449, 0.3346, 0.3077, 0.3151, 0.294, 0.2888, 0.2955, 0.3033, 0.2987, 0.2834, 0.2844, 0.282, 0.2761, 0.2971, 0.2621, 0.2706]","[64.87, 77.46, 82.07, 83.11, 85.1, 85.75, 87.13, 87.05, 87.83, 87.88, 87.79, 87.46, 88.49, 88.51, 88.36, 88.43, 88.25, 88.14, 89.47, 89.56]"
8,"[0.6835, 0.5717, 0.4832, 0.4114, 0.383, 0.3671, 0.3444, 0.3162, 0.3042, 0.324, 0.2282, 0.2431, 0.2343, 0.2561, 0.2483, 0.2379, 0.2415, 0.2364, 0.2412, 0.2473]","[55.87, 69.84, 77.29, 81.4, 83.66, 83.85, 85.42, 86.83, 87.4, 86.07, 90.83, 90.58, 90.67, 89.53, 90.58, 90.23, 89.79, 90.73, 90.46, 90.27]","[0.631, 0.4915, 0.4003, 0.3829, 0.353, 0.3326, 0.3184, 0.3042, 0.3055, 0.3187, 0.3125, 0.3262, 0.2944, 0.2885, 0.301, 0.2842, 0.2876, 0.2672, 0.2726, 0.2968]","[65.51, 76.31, 81.95, 83.52, 84.92, 86.24, 86.89, 87.65, 87.69, 87.44, 87.68, 88.29, 87.9, 88.24, 88.42, 88.83, 88.47, 89.47, 89.01, 88.25]"
9,"[0.6817, 0.5781, 0.4765, 0.4171, 0.3866, 0.3481, 0.3313, 0.3349, 0.3126, 0.3156, 0.2415, 0.2454, 0.2457, 0.2526, 0.2343, 0.2356, 0.2406, 0.2482, 0.2495, 0.2347]","[56.92, 68.71, 77.24, 81.17, 83.49, 84.98, 85.89, 85.86, 86.95, 86.89, 90.21, 90.86, 90.06, 89.66, 90.73, 90.42, 90.06, 89.64, 89.53, 91.04]","[0.6671, 0.4759, 0.4185, 0.3768, 0.3479, 0.337, 0.3172, 0.3049, 0.3039, 0.3014, 0.33, 0.2937, 0.3092, 0.3014, 0.2874, 0.2834, 0.3128, 0.283, 0.274, 0.2664]","[60.1, 77.53, 81.74, 83.64, 85.0, 85.75, 86.69, 87.39, 87.39, 88.11, 86.9, 88.11, 88.18, 88.13, 88.77, 88.41, 87.86, 88.89, 89.14, 89.19]"
