seed,train_loss,train_acc,valid_loss,valid_acc
0,"[0.6997, 0.6771, 0.6133, 0.5251, 0.4407, 0.3754, 0.3685, 0.3262, 0.3212, 0.3151, 0.2387, 0.2316, 0.2209, 0.2308, 0.2243, 0.221, 0.2423, 0.2383, 0.2196, 0.2171]","[54.17, 57.51, 66.13, 73.93, 80.47, 83.98, 83.89, 86.14, 86.3, 86.68, 90.75, 91.04, 91.36, 90.79, 91.36, 91.09, 90.54, 90.48, 91.21, 91.46]","[0.6858, 0.6516, 0.6271, 0.4475, 0.3933, 0.358, 0.339, 0.3259, 0.312, 0.2996, 0.2971, 0.3191, 0.295, 0.292, 0.2893, 0.303, 0.2774, 0.2752, 0.279, 0.2843]","[55.9, 63.07, 66.85, 79.49, 82.62, 84.94, 85.89, 86.96, 87.07, 87.65, 88.48, 87.32, 88.34, 88.32, 88.32, 88.41, 89.16, 89.43, 88.99, 89.67]"
1,"[0.7005, 0.674, 0.5893, 0.4673, 0.4108, 0.3739, 0.3443, 0.341, 0.3223, 0.3134, 0.2165, 0.2276, 0.2344, 0.2295, 0.2331, 0.229, 0.2194, 0.2131, 0.2206, 0.2159]","[53.0, 57.97, 68.29, 78.1, 82.05, 84.04, 85.13, 85.59, 86.56, 87.33, 91.53, 91.19, 90.54, 90.88, 90.77, 91.07, 91.99, 91.86, 91.44, 91.34]","[0.6741, 0.6514, 0.4957, 0.4247, 0.3936, 0.3691, 0.3338, 0.3157, 0.3079, 0.2994, 0.3124, 0.2898, 0.2933, 0.2964, 0.2877, 0.2799, 0.2731, 0.299, 0.2765, 0.2824]","[58.28, 61.26, 75.66, 80.86, 83.21, 84.22, 85.67, 86.85, 87.08, 87.81, 88.05, 88.18, 88.18, 88.17, 88.59, 88.68, 89.4, 89.06, 88.99, 89.38]"
2,"[0.6869, 0.6323, 0.5123, 0.4433, 0.3892, 0.3531, 0.3466, 0.3283, 0.3169, 0.3114, 0.2155, 0.211, 0.2335, 0.2188, 0.2342, 0.1967, 0.2297, 0.216, 0.2234, 0.2226]","[55.75, 62.79, 75.23, 79.87, 83.12, 84.56, 86.03, 86.14, 86.89, 87.08, 91.76, 91.65, 90.9, 91.69, 90.96, 92.81, 90.9, 91.32, 91.09, 90.9]","[0.659, 0.5614, 0.4412, 0.3925, 0.3631, 0.3406, 0.3395, 0.3135, 0.3323, 0.2919, 0.3075, 0.3064, 0.2956, 0.2894, 0.2896, 0.2775, 0.2825, 0.3138, 0.2653, 0.2714]","[62.06, 71.01, 79.72, 82.64, 84.49, 85.84, 86.26, 86.68, 87.33, 88.11, 88.09, 88.14, 88.42, 88.63, 88.39, 88.72, 88.97, 88.93, 89.32, 89.38]"
3,"[0.6963, 0.6494, 0.5729, 0.4719, 0.3963, 0.3668, 0.3556, 0.339, 0.3087, 0.3109, 0.231, 0.2152, 0.2068, 0.2256, 0.2267, 0.2337, 0.2096, 0.2271, 0.2301, 0.2066]","[53.84, 61.85, 70.24, 77.77, 82.42, 84.52, 85.21, 85.53, 87.1, 87.19, 91.11, 91.67, 91.57, 91.02, 91.13, 90.92, 91.82, 91.17, 91.32, 91.88]","[0.6917, 0.5888, 0.497, 0.3989, 0.3769, 0.3439, 0.3264, 0.3111, 0.3076, 0.3032, 0.313, 0.3187, 0.3157, 0.3024, 0.2843, 0.2801, 0.2906, 0.2707, 0.2721, 0.2798]","[55.9, 68.33, 75.52, 81.94, 83.66, 85.84, 86.41, 87.0, 87.48, 87.84, 88.1, 88.25, 88.25, 88.55, 88.84, 89.1, 88.68, 89.12, 89.59, 89.49]"
4,"[0.6913, 0.6546, 0.5473, 0.4635, 0.4103, 0.3847, 0.3601, 0.329, 0.3157, 0.2951, 0.2262, 0.2296, 0.2324, 0.2265, 0.2124, 0.2229, 0.2204, 0.2292, 0.2213, 0.2068]","[54.8, 60.53, 72.55, 78.36, 81.92, 83.16, 84.92, 86.05, 86.6, 88.28, 91.48, 90.81, 90.35, 91.17, 91.63, 91.11, 91.17, 90.92, 91.42, 92.07]","[0.6937, 0.6033, 0.4895, 0.4221, 0.4187, 0.3629, 0.3288, 0.3184, 0.3077, 0.3012, 0.3102, 0.2994, 0.3023, 0.2963, 0.3082, 0.2745, 0.2846, 0.2968, 0.2777, 0.2886]","[51.0, 68.0, 78.11, 81.0, 82.47, 84.32, 86.34, 86.87, 86.93, 87.44, 88.16, 88.09, 88.38, 88.43, 88.13, 88.79, 89.2, 88.69, 89.33, 88.61]"
5,"[0.7001, 0.6583, 0.5445, 0.4495, 0.3964, 0.3766, 0.3498, 0.336, 0.3219, 0.3171, 0.2254, 0.2279, 0.2258, 0.2273, 0.22, 0.218, 0.2206, 0.2305, 0.2237, 0.2117]","[53.9, 60.05, 71.56, 79.13, 82.26, 83.6, 85.65, 85.93, 86.37, 86.6, 91.48, 91.21, 90.69, 91.07, 91.67, 91.4, 91.32, 91.0, 91.25, 91.8]","[0.689, 0.6006, 0.4776, 0.4135, 0.3805, 0.3676, 0.3336, 0.3161, 0.3115, 0.3076, 0.3156, 0.3039, 0.2923, 0.2965, 0.2812, 0.3004, 0.2732, 0.2741, 0.2773, 0.2743]","[53.51, 67.31, 77.61, 81.54, 84.18, 85.4, 85.82, 86.85, 86.84, 87.32, 87.01, 87.96, 88.12, 88.18, 88.62, 87.83, 88.67, 88.84, 89.46, 89.34]"
6,"[0.6976, 0.6624, 0.5528, 0.4727, 0.4155, 0.3698, 0.3539, 0.312, 0.3135, 0.3067, 0.2358, 0.2064, 0.2291, 0.2146, 0.2151, 0.2282, 0.2323, 0.2296, 0.2171, 0.2275]","[54.55, 60.51, 71.48, 77.66, 80.54, 84.67, 84.67, 86.62, 87.08, 87.21, 90.67, 92.14, 90.67, 91.67, 91.4, 90.96, 91.23, 91.04, 91.8, 91.02]","[0.6818, 0.6082, 0.522, 0.444, 0.3801, 0.3599, 0.3268, 0.3167, 0.3045, 0.2955, 0.2951, 0.2972, 0.2959, 0.3066, 0.2931, 0.2745, 0.2743, 0.2612, 0.27, 0.2681]","[55.9, 67.5, 75.73, 79.8, 82.57, 84.72, 86.29, 86.86, 87.27, 87.75, 88.32, 88.66, 88.47, 87.41, 88.59, 88.96, 89.12, 89.42, 89.35, 89.57]"
7,"[0.6938, 0.6356, 0.5062, 0.437, 0.3981, 0.3789, 0.3512, 0.3356, 0.3267, 0.3033, 0.2033, 0.2289, 0.2202, 0.2229, 0.2122, 0.2228, 0.2259, 0.2244, 0.2196, 0.215]","[53.9, 63.8, 75.82, 79.91, 81.73, 83.81, 85.38, 86.2, 85.82, 86.91, 92.16, 90.46, 91.32, 91.32, 92.18, 90.98, 91.23, 91.42, 91.32, 91.46]","[0.6681, 0.5546, 0.4569, 0.3896, 0.3595, 0.3362, 0.3329, 0.3274, 0.2965, 0.2887, 0.3019, 0.3148, 0.2887, 0.2946, 0.2896, 0.2927, 0.2748, 0.2896, 0.2672, 0.2683]","[58.03, 72.04, 79.21, 82.56, 84.42, 85.71, 86.83, 86.3, 87.69, 88.17, 87.89, 88.09, 88.54, 88.25, 89.07, 88.04, 88.97, 88.8, 89.23, 89.62]"
8,"[0.6961, 0.6422, 0.5376, 0.4456, 0.4048, 0.373, 0.3581, 0.3121, 0.302, 0.3208, 0.2175, 0.2198, 0.2129, 0.2314, 0.2263, 0.2185, 0.2247, 0.2194, 0.2375, 0.2303]","[53.69, 63.38, 72.99, 79.74, 82.13, 83.91, 84.25, 86.77, 87.86, 86.47, 91.32, 91.13, 92.07, 90.69, 91.04, 91.38, 90.75, 92.16, 90.9, 91.11]","[0.6651, 0.5722, 0.4439, 0.4153, 0.3641, 0.3507, 0.319, 0.3119, 0.3055, 0.2948, 0.2979, 0.3027, 0.2909, 0.2968, 0.3016, 0.2924, 0.2805, 0.2762, 0.2795, 0.2675]","[58.9, 70.77, 79.13, 81.25, 84.31, 85.77, 86.6, 86.92, 87.33, 87.66, 88.17, 88.29, 88.33, 88.64, 88.29, 89.0, 89.48, 89.28, 89.49, 89.21]"
9,"[0.6948, 0.6606, 0.5757, 0.4673, 0.4152, 0.363, 0.3403, 0.3388, 0.3126, 0.3158, 0.2378, 0.2291, 0.2314, 0.2335, 0.2218, 0.2212, 0.2288, 0.2255, 0.2386, 0.2242]","[54.64, 60.05, 69.71, 78.15, 81.46, 84.56, 85.23, 85.65, 87.31, 86.43, 90.48, 91.36, 91.0, 91.19, 91.8, 91.46, 90.6, 91.07, 90.27, 91.67]","[0.6719, 0.6846, 0.5149, 0.4404, 0.3746, 0.3544, 0.3447, 0.3263, 0.3127, 0.3003, 0.326, 0.2957, 0.2944, 0.2983, 0.2888, 0.2997, 0.2932, 0.2882, 0.27, 0.2646]","[61.08, 62.07, 75.36, 80.38, 83.58, 84.7, 84.68, 86.75, 86.89, 87.84, 87.81, 87.98, 88.41, 88.69, 88.97, 88.67, 88.9, 89.2, 89.28, 89.67]"
