seed,train_loss,train_acc,valid_loss,valid_acc
0,"[0.68, 0.5448, 0.4298, 0.3987, 0.3676, 0.3306, 0.3307, 0.3036, 0.3047, 0.3041, 0.2215, 0.2266, 0.216, 0.2251, 0.2223, 0.2145, 0.2357, 0.2327, 0.221, 0.2166]","[56.98, 72.5, 80.35, 82.32, 84.44, 85.76, 86.3, 87.73, 87.52, 87.6, 91.11, 90.86, 91.34, 90.86, 91.25, 91.21, 90.54, 90.69, 91.25, 91.42]","[0.6218, 0.4557, 0.3919, 0.3585, 0.3335, 0.3167, 0.3125, 0.298, 0.2939, 0.2854, 0.2968, 0.2964, 0.3019, 0.278, 0.2755, 0.2966, 0.2699, 0.2699, 0.2738, 0.2751]","[65.98, 77.79, 82.93, 85.04, 86.11, 87.02, 87.19, 87.51, 87.98, 88.21, 88.06, 87.52, 88.02, 88.96, 89.06, 89.28, 89.19, 89.22, 89.59, 89.47]"
1,"[0.6847, 0.5401, 0.4514, 0.3882, 0.3612, 0.338, 0.3198, 0.3216, 0.3114, 0.2968, 0.2135, 0.2256, 0.2316, 0.227, 0.2289, 0.2271, 0.2199, 0.2139, 0.2225, 0.2157]","[56.27, 73.13, 78.59, 82.99, 84.75, 85.86, 86.37, 86.16, 86.72, 87.96, 92.01, 91.28, 90.94, 91.11, 90.96, 91.09, 91.53, 91.42, 91.3, 91.28]","[0.6038, 0.4567, 0.3959, 0.3568, 0.3314, 0.3225, 0.3063, 0.3146, 0.2898, 0.29, 0.2947, 0.3051, 0.2819, 0.2915, 0.2996, 0.2786, 0.295, 0.2799, 0.2732, 0.2735]","[67.14, 78.51, 81.97, 84.5, 86.09, 86.77, 87.54, 87.7, 88.23, 88.05, 88.64, 88.83, 88.54, 88.31, 88.66, 88.63, 87.64, 88.81, 89.03, 89.49]"
2,"[0.6696, 0.5149, 0.4292, 0.3998, 0.3613, 0.3279, 0.3287, 0.3133, 0.3127, 0.3071, 0.2081, 0.2128, 0.2364, 0.2211, 0.2378, 0.2101, 0.2336, 0.2167, 0.2194, 0.2159]","[59.0, 74.81, 80.62, 82.59, 84.54, 86.2, 86.22, 87.06, 87.08, 87.31, 92.22, 91.74, 90.86, 91.13, 90.52, 91.88, 90.56, 91.53, 91.07, 91.42]","[0.5959, 0.445, 0.3935, 0.4439, 0.3385, 0.3168, 0.3188, 0.3113, 0.307, 0.2931, 0.2902, 0.3024, 0.2887, 0.2821, 0.2854, 0.2802, 0.2762, 0.32, 0.2681, 0.2768]","[69.7, 80.23, 82.7, 81.12, 85.3, 87.04, 86.8, 86.84, 87.46, 88.39, 88.65, 87.75, 88.21, 88.79, 89.05, 88.92, 89.14, 89.49, 89.19, 89.21]"
3,"[0.67, 0.5159, 0.4351, 0.3918, 0.3529, 0.3377, 0.3297, 0.3215, 0.2969, 0.2979, 0.2231, 0.2138, 0.212, 0.2209, 0.2293, 0.2357, 0.2054, 0.2264, 0.2387, 0.214]","[59.02, 74.58, 80.58, 83.16, 84.73, 85.7, 86.09, 86.95, 87.92, 88.19, 91.74, 91.55, 91.53, 90.65, 90.94, 90.92, 91.97, 90.77, 90.65, 91.32]","[0.5792, 0.4342, 0.3879, 0.3633, 0.3401, 0.318, 0.3246, 0.2901, 0.2856, 0.2807, 0.2876, 0.3162, 0.3054, 0.2936, 0.2884, 0.281, 0.2863, 0.2775, 0.2806, 0.2667]","[69.14, 80.77, 82.44, 84.5, 85.48, 86.99, 87.27, 88.16, 88.2, 88.49, 88.53, 88.7, 88.58, 89.25, 89.01, 88.99, 88.76, 88.92, 89.68, 89.54]"
4,"[0.6655, 0.4995, 0.4382, 0.3934, 0.3623, 0.3514, 0.3338, 0.3087, 0.3061, 0.2914, 0.2183, 0.2381, 0.2333, 0.2259, 0.2133, 0.223, 0.2163, 0.2277, 0.2167, 0.2166]","[59.21, 76.24, 80.14, 82.47, 84.35, 85.23, 86.56, 87.12, 87.67, 88.3, 91.67, 90.88, 90.35, 91.13, 91.4, 91.4, 91.72, 90.94, 91.82, 91.72]","[0.5605, 0.4316, 0.3909, 0.3681, 0.3483, 0.3144, 0.308, 0.3098, 0.2949, 0.2905, 0.3075, 0.2891, 0.2846, 0.2911, 0.2922, 0.3097, 0.2996, 0.2706, 0.3341, 0.2939]","[71.03, 80.36, 83.48, 84.22, 85.17, 86.72, 87.15, 87.55, 88.02, 88.18, 88.19, 88.12, 89.11, 87.74, 88.45, 86.9, 88.33, 89.37, 86.62, 88.43]"
5,"[0.6647, 0.5069, 0.4071, 0.3785, 0.3505, 0.3465, 0.3277, 0.3219, 0.3133, 0.3017, 0.2123, 0.2192, 0.2284, 0.2224, 0.214, 0.2188, 0.2201, 0.2316, 0.228, 0.2078]","[58.26, 74.64, 81.75, 83.58, 84.94, 85.53, 86.2, 86.87, 86.58, 87.35, 92.03, 91.48, 90.92, 91.13, 91.34, 91.4, 91.34, 90.79, 91.15, 91.9]","[0.5455, 0.4396, 0.4037, 0.3498, 0.3265, 0.3246, 0.3115, 0.2964, 0.2944, 0.2844, 0.2862, 0.3004, 0.2936, 0.2825, 0.2881, 0.2736, 0.2906, 0.2709, 0.2716, 0.2727]","[72.66, 79.9, 81.96, 85.13, 86.22, 86.59, 87.29, 88.18, 87.8, 88.33, 88.32, 88.45, 87.55, 88.68, 88.92, 88.63, 88.87, 88.92, 89.45, 89.69]"
6,"[0.6723, 0.515, 0.4296, 0.3869, 0.3682, 0.3372, 0.339, 0.294, 0.3063, 0.299, 0.2341, 0.2086, 0.2321, 0.2204, 0.2186, 0.2186, 0.238, 0.226, 0.2211, 0.2249]","[57.82, 75.0, 80.47, 82.97, 83.6, 85.82, 85.89, 87.98, 87.27, 87.96, 91.02, 91.99, 90.73, 91.38, 91.3, 91.02, 90.9, 90.75, 91.17, 91.25]","[0.5773, 0.4457, 0.4221, 0.3602, 0.3347, 0.3752, 0.3311, 0.3022, 0.2938, 0.2882, 0.2891, 0.334, 0.3003, 0.3003, 0.3099, 0.289, 0.2758, 0.2809, 0.2777, 0.2647]","[70.22, 79.28, 81.13, 84.18, 85.01, 82.79, 86.19, 87.82, 87.71, 88.51, 88.71, 87.71, 88.67, 88.46, 89.2, 89.13, 88.79, 88.07, 89.48, 89.73]"
7,"[0.6797, 0.5203, 0.423, 0.3822, 0.3669, 0.3521, 0.3387, 0.3102, 0.313, 0.2974, 0.2078, 0.2238, 0.2253, 0.2309, 0.2174, 0.2235, 0.227, 0.2274, 0.2165, 0.2136]","[57.32, 74.73, 81.33, 82.86, 84.0, 85.19, 85.93, 87.4, 86.81, 87.79, 91.86, 91.07, 90.77, 91.21, 91.63, 91.15, 90.83, 91.19, 91.46, 90.94]","[0.587, 0.4383, 0.3812, 0.3527, 0.3406, 0.3231, 0.3015, 0.3001, 0.2832, 0.2845, 0.2971, 0.3007, 0.2886, 0.2815, 0.2923, 0.2774, 0.2745, 0.3102, 0.2678, 0.2729]","[69.09, 79.89, 83.32, 84.58, 85.74, 86.37, 87.39, 87.7, 88.33, 88.59, 88.12, 87.84, 88.69, 88.83, 88.63, 89.08, 88.71, 88.34, 89.37, 89.75]"
8,"[0.6764, 0.5166, 0.4438, 0.3867, 0.3599, 0.3471, 0.3259, 0.3024, 0.2904, 0.3105, 0.207, 0.221, 0.2088, 0.2338, 0.2339, 0.2167, 0.2239, 0.2188, 0.2241, 0.2325]","[57.8, 74.77, 79.32, 83.31, 84.67, 85.15, 86.6, 87.73, 88.02, 86.95, 91.76, 91.34, 92.3, 90.62, 91.44, 91.25, 90.86, 91.61, 91.17, 91.13]","[0.5714, 0.4507, 0.3837, 0.3684, 0.3342, 0.3202, 0.3019, 0.3014, 0.2998, 0.2971, 0.3058, 0.2964, 0.2934, 0.3005, 0.3007, 0.2796, 0.2866, 0.2699, 0.265, 0.2904]","[70.6, 80.0, 82.99, 84.57, 86.32, 87.17, 87.81, 88.18, 87.89, 88.0, 88.58, 88.67, 88.16, 88.67, 88.84, 89.31, 89.16, 89.46, 89.38, 88.26]"
9,"[0.6633, 0.5072, 0.4347, 0.3908, 0.3618, 0.3305, 0.3112, 0.3208, 0.2992, 0.3014, 0.2181, 0.2248, 0.2287, 0.2338, 0.2157, 0.2156, 0.2212, 0.2244, 0.2327, 0.2165]","[60.65, 75.78, 80.16, 82.95, 85.0, 85.74, 86.83, 87.06, 87.75, 87.4, 91.46, 91.48, 91.0, 90.92, 91.59, 91.69, 91.17, 90.23, 90.62, 91.69]","[0.6244, 0.447, 0.3857, 0.349, 0.3371, 0.3163, 0.307, 0.2974, 0.2957, 0.2837, 0.3628, 0.2898, 0.2895, 0.2906, 0.2828, 0.2885, 0.2973, 0.2744, 0.2745, 0.2619]","[64.85, 79.54, 83.18, 84.64, 86.23, 86.71, 87.36, 87.93, 87.65, 88.44, 86.5, 88.53, 88.82, 88.75, 88.92, 88.52, 88.75, 89.3, 89.03, 89.44]"
