seed,train_loss,train_acc,valid_loss,valid_acc
0,"[1.8168, 1.5391, 1.3911, 1.3137, 1.247, 1.1871, 1.1201, 1.0614, 1.0158, 0.9653, 0.9161, 0.8886, 0.8481, 0.8172, 0.7912, 0.7605, 0.74, 0.7133, 0.6954, 0.6735, 0.6516, 0.6349, 0.6102, 0.5955, 0.5727, 0.5618, 0.5399, 0.5237, 0.5124, 0.4921, 0.481, 0.4689, 0.4565, 0.4359, 0.4271, 0.4065, 0.399, 0.3841, 0.376, 0.3634, 0.3524, 0.3377, 0.3254, 0.3052, 0.308, 0.2954, 0.2814, 0.2725, 0.2649, 0.2519]","[31.54, 43.59, 49.24, 52.04, 55.05, 57.25, 59.76, 62.08, 63.58, 65.92, 67.72, 68.74, 70.05, 70.93, 71.79, 73.27, 73.89, 74.95, 75.32, 76.0, 77.12, 77.69, 78.47, 78.91, 79.87, 80.22, 80.88, 81.29, 81.98, 82.29, 82.97, 83.29, 83.77, 84.52, 84.72, 85.47, 85.83, 86.27, 86.38, 87.07, 87.52, 87.85, 88.45, 89.07, 88.95, 89.48, 90.07, 90.3, 90.44, 91.01]","[1.6453, 1.4767, 1.3111, 1.2244, 1.2052, 1.1162, 1.0912, 1.0076, 0.9574, 0.958, 0.9503, 0.8342, 0.8381, 0.8047, 0.7938, 0.7683, 0.7548, 0.7467, 0.709, 0.6949, 0.7001, 0.6689, 0.675, 0.6438, 0.6521, 0.6832, 0.6625, 0.6459, 0.6159, 0.6096, 0.6379, 0.626, 0.6343, 0.596, 0.6273, 0.6403, 0.6185, 0.6442, 0.6097, 0.6005, 0.6217, 0.6251, 0.5899, 0.6635, 0.6594, 0.642, 0.6646, 0.6449, 0.6177, 0.633]","[39.57, 46.5, 51.91, 55.51, 56.35, 60.05, 60.13, 63.87, 65.62, 65.87, 66.57, 70.48, 70.14, 71.33, 72.02, 73.22, 73.28, 73.92, 75.29, 76.13, 75.56, 76.89, 76.37, 77.83, 77.6, 76.75, 76.71, 77.96, 78.99, 79.51, 77.91, 79.09, 79.05, 80.06, 79.51, 78.43, 79.65, 78.76, 80.3, 79.84, 80.05, 79.33, 80.88, 79.57, 79.88, 79.91, 79.6, 80.48, 81.17, 80.96]"
1,"[1.825, 1.5598, 1.3949, 1.2967, 1.2265, 1.1605, 1.1015, 1.0342, 0.9831, 0.9357, 0.8959, 0.8524, 0.8203, 0.7915, 0.7658, 0.7281, 0.7061, 0.6802, 0.6634, 0.6373, 0.6259, 0.5981, 0.579, 0.5577, 0.5492, 0.5279, 0.5107, 0.491, 0.4778, 0.4597, 0.447, 0.4306, 0.4233, 0.3993, 0.3899, 0.3791, 0.3613, 0.3478, 0.3372, 0.3307, 0.3156, 0.3018, 0.2914, 0.2801, 0.269, 0.262, 0.2553, 0.2383, 0.2308, 0.2286]","[30.83, 42.54, 48.88, 52.88, 55.83, 58.23, 60.42, 62.94, 64.88, 66.73, 68.22, 69.9, 71.05, 72.13, 72.99, 74.41, 75.01, 75.98, 76.52, 77.52, 77.8, 78.73, 79.62, 80.42, 80.45, 81.34, 81.82, 82.76, 83.06, 83.94, 84.02, 84.71, 84.98, 85.84, 86.19, 86.56, 87.26, 87.68, 88.12, 88.13, 88.82, 89.04, 89.68, 89.86, 90.39, 90.73, 90.97, 91.45, 91.78, 91.83]","[1.6663, 1.4308, 1.3403, 1.2841, 1.1643, 1.112, 1.0746, 1.0037, 0.945, 0.9146, 0.8667, 0.884, 0.8367, 0.7995, 0.7737, 0.7354, 0.7563, 0.7399, 0.7068, 0.6911, 0.6532, 0.6704, 0.6594, 0.7023, 0.6592, 0.6282, 0.6281, 0.6503, 0.6113, 0.6285, 0.6475, 0.6061, 0.6259, 0.6366, 0.64, 0.631, 0.624, 0.6457, 0.6462, 0.6576, 0.6249, 0.638, 0.6321, 0.6603, 0.6602, 0.6677, 0.6593, 0.6635, 0.6659, 0.6657]","[38.42, 47.98, 50.96, 53.1, 58.61, 60.22, 61.78, 63.97, 66.55, 67.31, 68.91, 68.3, 70.03, 71.72, 72.42, 74.0, 73.67, 74.34, 75.16, 75.96, 76.99, 76.36, 77.38, 75.54, 77.0, 78.35, 78.56, 78.16, 78.86, 78.24, 78.59, 79.76, 78.95, 79.1, 79.2, 79.35, 80.04, 79.39, 79.5, 79.12, 80.24, 80.1, 80.22, 80.07, 80.4, 80.21, 80.16, 80.64, 80.26, 80.97]"
2,"[1.8208, 1.5505, 1.4054, 1.3057, 1.2251, 1.176, 1.1129, 1.0614, 1.0081, 0.9582, 0.9274, 0.8862, 0.8485, 0.8187, 0.7907, 0.7583, 0.7339, 0.7061, 0.6883, 0.6583, 0.6453, 0.6236, 0.5962, 0.5849, 0.5634, 0.56, 0.5365, 0.5134, 0.4998, 0.4844, 0.4659, 0.4554, 0.4454, 0.4236, 0.4105, 0.4049, 0.3777, 0.3704, 0.3567, 0.3508, 0.3364, 0.3215, 0.3162, 0.2998, 0.2867, 0.2772, 0.2679, 0.2643, 0.2516, 0.2459]","[31.12, 43.0, 48.63, 52.52, 55.43, 57.62, 59.96, 61.81, 64.09, 65.72, 67.09, 68.5, 70.04, 70.79, 71.88, 73.2, 74.0, 74.95, 75.7, 76.72, 77.27, 78.07, 79.07, 79.29, 80.1, 80.29, 80.99, 81.76, 82.23, 82.77, 83.45, 83.76, 84.13, 84.76, 85.66, 85.68, 86.56, 86.92, 87.2, 87.56, 88.02, 88.49, 88.56, 89.16, 89.7, 90.13, 90.37, 90.46, 91.14, 91.16]","[1.6803, 1.5083, 1.3895, 1.2386, 1.207, 1.1057, 1.0703, 1.0124, 0.9853, 0.9185, 0.9164, 0.9211, 0.8378, 0.8712, 0.8433, 0.768, 0.7639, 0.7279, 0.7163, 0.7125, 0.7008, 0.6821, 0.6783, 0.6543, 0.6696, 0.651, 0.6417, 0.6228, 0.6214, 0.632, 0.6865, 0.6385, 0.6544, 0.6431, 0.6431, 0.5801, 0.6101, 0.5973, 0.621, 0.6144, 0.6479, 0.6471, 0.6396, 0.6277, 0.6388, 0.6473, 0.6692, 0.6628, 0.6654, 0.6659]","[37.75, 44.34, 49.35, 55.01, 57.03, 60.22, 61.17, 63.29, 64.97, 66.77, 67.74, 67.89, 69.95, 68.69, 70.47, 72.33, 72.85, 74.22, 74.39, 75.01, 75.12, 76.18, 76.25, 76.95, 77.08, 77.32, 77.8, 78.8, 78.49, 78.42, 76.86, 78.02, 78.08, 78.11, 78.32, 80.69, 79.97, 80.01, 79.36, 79.85, 79.13, 79.4, 79.5, 80.34, 80.02, 80.1, 80.01, 80.63, 79.73, 80.08]"
3,"[1.8284, 1.5319, 1.3816, 1.2823, 1.2056, 1.1351, 1.073, 1.0057, 0.9466, 0.898, 0.8657, 0.8264, 0.79, 0.7667, 0.7401, 0.7075, 0.694, 0.6621, 0.6507, 0.6244, 0.6019, 0.5847, 0.5631, 0.5503, 0.5349, 0.5184, 0.5006, 0.4828, 0.4729, 0.4516, 0.4451, 0.4271, 0.4078, 0.3996, 0.3804, 0.3703, 0.3574, 0.3495, 0.3373, 0.3176, 0.3057, 0.3006, 0.289, 0.2745, 0.2679, 0.2642, 0.2495, 0.2402, 0.2338, 0.2178]","[31.12, 43.95, 49.81, 53.74, 56.36, 59.2, 61.68, 64.23, 66.34, 68.17, 69.46, 70.73, 71.98, 72.75, 73.71, 75.18, 75.3, 76.38, 76.88, 77.8, 78.77, 79.23, 80.03, 80.58, 80.96, 81.76, 82.36, 82.84, 83.24, 83.96, 84.18, 84.76, 85.41, 85.83, 86.59, 86.93, 87.24, 87.6, 87.87, 88.73, 89.11, 89.21, 89.54, 90.1, 90.49, 90.7, 91.18, 91.32, 91.6, 92.17]","[1.6929, 1.5282, 1.2808, 1.2238, 1.1451, 1.1188, 1.0411, 0.923, 0.9322, 0.897, 0.8424, 0.8273, 0.7869, 0.8713, 0.7742, 0.7906, 0.7206, 0.7266, 0.6873, 0.6978, 0.6682, 0.6861, 0.6422, 0.6345, 0.6523, 0.6625, 0.6356, 0.6518, 0.6158, 0.6063, 0.6539, 0.6102, 0.6231, 0.6933, 0.6523, 0.616, 0.6112, 0.6161, 0.6164, 0.6522, 0.648, 0.6319, 0.6109, 0.6465, 0.7132, 0.6332, 0.7062, 0.6589, 0.697, 0.692]","[38.78, 44.86, 54.26, 55.52, 58.88, 59.38, 62.97, 66.99, 66.62, 68.35, 70.3, 70.88, 72.0, 68.78, 72.86, 72.43, 74.8, 74.38, 75.89, 75.39, 76.72, 76.73, 77.65, 78.1, 77.57, 77.54, 78.5, 78.14, 79.53, 78.88, 78.13, 79.82, 79.41, 77.77, 78.21, 79.99, 80.14, 79.93, 80.45, 79.9, 79.96, 80.42, 80.62, 80.13, 79.17, 79.96, 79.64, 80.42, 80.54, 80.27]"
4,"[1.8344, 1.5593, 1.4089, 1.3211, 1.246, 1.1767, 1.1239, 1.0615, 1.0165, 0.9684, 0.9191, 0.8794, 0.8474, 0.8097, 0.7845, 0.7548, 0.7253, 0.7042, 0.6793, 0.6533, 0.6337, 0.6231, 0.6021, 0.5795, 0.5786, 0.5497, 0.5333, 0.5145, 0.5006, 0.4854, 0.4732, 0.457, 0.4414, 0.426, 0.4157, 0.4064, 0.3899, 0.3797, 0.3704, 0.3509, 0.3439, 0.3297, 0.3232, 0.3068, 0.2934, 0.29, 0.2763, 0.2694, 0.2598, 0.2519]","[30.65, 42.64, 48.79, 51.72, 54.63, 57.03, 59.56, 61.82, 63.61, 65.29, 67.01, 68.82, 69.82, 71.26, 72.14, 73.19, 74.28, 74.98, 76.08, 76.92, 77.5, 77.91, 78.74, 79.47, 79.81, 80.33, 81.05, 81.82, 82.24, 82.72, 83.17, 83.88, 84.26, 84.7, 85.3, 85.53, 86.04, 86.69, 86.66, 87.49, 87.72, 88.24, 88.39, 89.11, 89.37, 89.48, 90.09, 90.34, 90.59, 90.98]","[1.6517, 1.5296, 1.3637, 1.2351, 1.1957, 1.1785, 1.0941, 1.0207, 0.9753, 1.048, 0.8939, 0.8773, 0.8256, 0.812, 0.8172, 0.7698, 0.7661, 0.7475, 0.7383, 0.7188, 0.7005, 0.7097, 0.6714, 0.6689, 0.6725, 0.6374, 0.6404, 0.6474, 0.652, 0.6662, 0.6429, 0.6554, 0.6165, 0.6233, 0.6307, 0.6146, 0.627, 0.6049, 0.6171, 0.6403, 0.6301, 0.6251, 0.6207, 0.6386, 0.6458, 0.6471, 0.6819, 0.6776, 0.6349, 0.6518]","[39.4, 43.24, 49.79, 55.02, 56.02, 57.24, 60.44, 63.88, 64.92, 63.06, 67.88, 68.57, 70.95, 71.77, 70.91, 73.13, 73.32, 73.57, 73.94, 75.06, 75.43, 74.58, 77.06, 76.82, 76.07, 78.14, 77.63, 78.09, 77.56, 77.29, 78.01, 78.04, 79.45, 79.37, 78.87, 79.73, 79.35, 80.04, 79.8, 79.37, 79.34, 80.02, 80.03, 80.08, 80.54, 80.53, 79.32, 79.83, 80.15, 80.53]"
5,"[1.8128, 1.5151, 1.3651, 1.2679, 1.1947, 1.1309, 1.0771, 1.0251, 0.9717, 0.9263, 0.8919, 0.8539, 0.8314, 0.7915, 0.7644, 0.746, 0.716, 0.6951, 0.6755, 0.6459, 0.6293, 0.6145, 0.5966, 0.5725, 0.5605, 0.5412, 0.5263, 0.5089, 0.4944, 0.477, 0.4643, 0.4487, 0.4334, 0.4215, 0.4074, 0.3973, 0.3843, 0.3701, 0.3594, 0.3464, 0.3341, 0.3212, 0.3098, 0.295, 0.2869, 0.2747, 0.2677, 0.2587, 0.2447, 0.2377]","[31.65, 44.6, 50.15, 53.94, 56.93, 59.05, 61.24, 63.37, 65.36, 67.09, 68.28, 69.94, 70.85, 71.77, 73.13, 73.52, 74.58, 75.33, 76.15, 77.19, 77.79, 78.12, 78.99, 79.6, 80.21, 80.8, 81.21, 82.0, 82.51, 83.06, 83.26, 84.03, 84.56, 85.06, 85.38, 85.76, 86.43, 86.63, 87.14, 87.5, 88.09, 88.42, 88.96, 89.49, 89.71, 90.1, 90.38, 90.68, 91.36, 91.37]","[1.6595, 1.425, 1.3021, 1.1738, 1.0962, 1.1167, 1.046, 0.9834, 0.9458, 0.8862, 0.8612, 0.8256, 0.8992, 0.7786, 0.7603, 0.7469, 0.7331, 0.7501, 0.6972, 0.6949, 0.6916, 0.6821, 0.6766, 0.6564, 0.6386, 0.6372, 0.6384, 0.6095, 0.6207, 0.6436, 0.622, 0.6073, 0.6262, 0.5977, 0.6311, 0.6653, 0.578, 0.601, 0.5996, 0.6162, 0.6473, 0.6176, 0.6201, 0.6602, 0.6534, 0.639, 0.6412, 0.6222, 0.6533, 0.6749]","[39.76, 48.73, 52.81, 57.88, 60.98, 59.42, 62.9, 65.32, 65.67, 68.06, 69.33, 71.03, 68.4, 72.73, 72.88, 73.82, 74.24, 73.91, 75.48, 76.03, 76.22, 77.01, 76.41, 77.37, 78.0, 77.9, 78.08, 79.4, 79.24, 78.62, 79.17, 79.31, 79.01, 79.66, 78.83, 78.67, 80.86, 80.48, 80.4, 79.68, 79.68, 80.28, 80.59, 79.87, 79.99, 81.02, 80.28, 80.74, 80.93, 80.35]"
6,"[1.8263, 1.5384, 1.3698, 1.2873, 1.2107, 1.1429, 1.0964, 1.0335, 0.976, 0.9398, 0.8875, 0.8515, 0.8233, 0.787, 0.766, 0.7392, 0.7196, 0.6941, 0.6686, 0.6438, 0.6267, 0.6059, 0.5872, 0.5685, 0.5494, 0.5332, 0.5187, 0.5007, 0.4836, 0.4728, 0.454, 0.4371, 0.4266, 0.4122, 0.3997, 0.3837, 0.3758, 0.3539, 0.3523, 0.3318, 0.3244, 0.313, 0.2975, 0.2926, 0.2753, 0.268, 0.2592, 0.2486, 0.239, 0.236]","[31.09, 43.7, 50.54, 53.35, 56.29, 59.06, 60.47, 63.06, 65.24, 66.58, 68.47, 69.76, 70.63, 72.18, 72.71, 73.89, 74.57, 75.39, 76.39, 77.26, 77.84, 78.56, 79.06, 79.89, 80.65, 81.23, 81.57, 82.23, 82.96, 83.14, 83.96, 84.49, 84.78, 85.51, 85.67, 86.04, 86.74, 87.35, 87.51, 88.22, 88.31, 88.85, 89.36, 89.5, 90.14, 90.39, 90.75, 91.18, 91.46, 91.56]","[1.7609, 1.4008, 1.3712, 1.2731, 1.2318, 1.1725, 1.0517, 0.9846, 0.938, 0.8904, 0.921, 0.8599, 0.8169, 0.7926, 0.7596, 0.7876, 0.7198, 0.7293, 0.7228, 0.7673, 0.6871, 0.683, 0.6627, 0.6768, 0.6681, 0.6631, 0.6596, 0.6178, 0.6455, 0.6584, 0.6086, 0.6264, 0.633, 0.6207, 0.6117, 0.6086, 0.5991, 0.6351, 0.6235, 0.6155, 0.6535, 0.6458, 0.6329, 0.6302, 0.6817, 0.6773, 0.6464, 0.6961, 0.6808, 0.6663]","[35.14, 49.27, 49.94, 54.59, 56.1, 57.24, 62.5, 64.77, 66.81, 68.27, 67.4, 69.34, 71.19, 72.4, 73.16, 71.79, 74.07, 74.63, 74.29, 73.39, 75.68, 76.08, 77.2, 76.74, 76.6, 77.01, 77.37, 78.96, 78.11, 77.77, 79.42, 78.73, 78.72, 79.07, 79.35, 79.51, 79.75, 79.11, 79.93, 79.78, 79.5, 79.06, 79.79, 79.85, 79.5, 78.93, 80.45, 79.27, 79.71, 80.44]"
7,"[1.8081, 1.5241, 1.3787, 1.2823, 1.2191, 1.1573, 1.1138, 1.0548, 1.007, 0.9648, 0.9304, 0.8934, 0.8564, 0.8283, 0.7944, 0.7681, 0.7455, 0.7172, 0.7048, 0.6758, 0.6604, 0.6404, 0.6183, 0.5978, 0.5837, 0.5625, 0.549, 0.534, 0.5171, 0.4957, 0.4844, 0.4711, 0.4583, 0.438, 0.4282, 0.4118, 0.4039, 0.3894, 0.3732, 0.3616, 0.3499, 0.3376, 0.3235, 0.3144, 0.3058, 0.2927, 0.2838, 0.2717, 0.2649, 0.2518]","[31.93, 43.96, 49.8, 53.5, 55.62, 58.84, 59.7, 62.17, 63.93, 65.63, 66.81, 68.45, 69.51, 70.7, 71.82, 72.81, 73.66, 74.75, 75.02, 76.18, 76.55, 77.28, 78.3, 79.09, 79.22, 80.27, 80.27, 81.12, 81.65, 82.31, 82.86, 83.26, 83.75, 84.48, 84.94, 85.25, 85.69, 86.03, 86.68, 87.11, 87.61, 88.14, 88.43, 88.75, 89.12, 89.52, 89.92, 90.28, 90.48, 91.08]","[1.6054, 1.4592, 1.3081, 1.2208, 1.2086, 1.0971, 1.0494, 1.0236, 0.9763, 0.9468, 0.8888, 0.8579, 0.8933, 0.8196, 0.7874, 0.7992, 0.7572, 0.7717, 0.7366, 0.7137, 0.7077, 0.6844, 0.7049, 0.6495, 0.6391, 0.6568, 0.6872, 0.6414, 0.6388, 0.6357, 0.6434, 0.642, 0.6287, 0.639, 0.6323, 0.6283, 0.613, 0.6117, 0.6222, 0.5997, 0.6238, 0.6396, 0.6122, 0.6193, 0.644, 0.6274, 0.6479, 0.6592, 0.6643, 0.6646]","[40.45, 45.31, 52.54, 55.31, 56.13, 60.27, 62.25, 63.45, 65.17, 66.16, 67.93, 68.72, 68.07, 70.83, 71.86, 71.71, 73.28, 72.57, 73.93, 75.03, 74.93, 76.2, 75.55, 76.99, 77.42, 76.68, 76.42, 77.68, 77.97, 77.51, 78.29, 77.96, 78.48, 78.62, 78.52, 79.26, 79.5, 79.77, 79.59, 80.19, 79.93, 79.64, 80.11, 79.87, 79.44, 80.05, 79.99, 80.06, 79.82, 80.27]"
8,"[1.8029, 1.5208, 1.3854, 1.2915, 1.2244, 1.1587, 1.1091, 1.0524, 1.0094, 0.9663, 0.9258, 0.8806, 0.8438, 0.8148, 0.7861, 0.7548, 0.7333, 0.7054, 0.6807, 0.6702, 0.6425, 0.622, 0.6048, 0.5833, 0.5724, 0.551, 0.5372, 0.5148, 0.504, 0.4892, 0.4759, 0.4573, 0.4419, 0.4304, 0.4205, 0.4129, 0.3928, 0.3808, 0.367, 0.3609, 0.3476, 0.3346, 0.3224, 0.3135, 0.292, 0.2897, 0.2797, 0.2708, 0.2597, 0.2553]","[31.69, 44.24, 49.48, 52.98, 55.63, 58.41, 60.06, 62.14, 64.04, 65.51, 67.04, 68.77, 70.0, 71.42, 72.16, 73.19, 74.04, 75.11, 75.95, 76.2, 77.35, 77.9, 78.56, 79.38, 79.7, 80.56, 80.81, 81.73, 82.28, 82.61, 83.05, 83.74, 84.26, 84.71, 85.01, 85.42, 85.92, 86.44, 86.84, 87.09, 87.6, 88.08, 88.6, 88.74, 89.54, 89.72, 90.07, 90.36, 90.74, 90.8]","[1.6144, 1.46, 1.3263, 1.2437, 1.1768, 1.1078, 1.0532, 1.0765, 1.004, 0.9414, 0.9183, 0.8587, 0.8539, 0.823, 0.828, 0.7839, 0.7481, 0.7226, 0.7654, 0.7077, 0.6914, 0.6988, 0.6824, 0.6623, 0.6484, 0.6399, 0.6438, 0.618, 0.6332, 0.604, 0.6113, 0.6182, 0.635, 0.6318, 0.6463, 0.615, 0.6421, 0.5916, 0.6304, 0.6161, 0.611, 0.6306, 0.6286, 0.6274, 0.6372, 0.6665, 0.6572, 0.6652, 0.6864, 0.6707]","[40.42, 46.78, 52.11, 54.35, 57.01, 60.11, 62.2, 60.88, 64.27, 65.7, 67.61, 68.91, 69.56, 71.06, 71.25, 72.33, 74.16, 74.62, 73.35, 75.34, 75.89, 75.57, 76.09, 77.09, 77.55, 77.49, 77.64, 78.71, 77.99, 79.47, 79.86, 79.21, 78.96, 79.6, 78.7, 79.78, 79.0, 80.73, 79.62, 80.01, 80.08, 79.81, 80.09, 80.02, 80.76, 79.92, 80.02, 80.37, 79.14, 79.87]"
9,"[1.814, 1.5207, 1.3775, 1.2791, 1.2016, 1.1335, 1.075, 1.0171, 0.9679, 0.9236, 0.882, 0.8495, 0.8126, 0.7806, 0.7542, 0.7273, 0.6961, 0.6793, 0.6599, 0.6393, 0.6231, 0.5992, 0.5841, 0.5674, 0.5416, 0.535, 0.5141, 0.4931, 0.4825, 0.4674, 0.4582, 0.44, 0.425, 0.4084, 0.4002, 0.3854, 0.3704, 0.3603, 0.3476, 0.3407, 0.3234, 0.3088, 0.305, 0.2894, 0.2816, 0.268, 0.2577, 0.2514, 0.2413, 0.2326]","[31.36, 44.08, 49.83, 53.78, 56.63, 59.45, 61.66, 63.61, 65.54, 67.02, 68.63, 69.73, 71.1, 72.45, 73.42, 74.27, 75.36, 75.93, 76.71, 77.54, 77.81, 78.81, 79.35, 79.59, 80.88, 81.05, 81.67, 82.61, 82.8, 83.25, 83.74, 84.4, 84.89, 85.46, 85.72, 86.25, 86.75, 87.21, 87.7, 87.82, 88.34, 88.97, 88.99, 89.76, 90.06, 90.27, 90.73, 90.8, 91.36, 91.52]","[1.6318, 1.4767, 1.3051, 1.1836, 1.1978, 1.1336, 1.019, 0.9888, 0.9919, 0.9351, 0.8584, 0.8153, 0.8104, 0.8195, 0.7531, 0.7331, 0.7185, 0.721, 0.6794, 0.6919, 0.637, 0.7326, 0.7118, 0.6684, 0.6205, 0.6539, 0.6132, 0.633, 0.6268, 0.6441, 0.5991, 0.6162, 0.6172, 0.6686, 0.6249, 0.6461, 0.6079, 0.606, 0.6322, 0.6077, 0.6004, 0.6418, 0.6431, 0.6354, 0.6249, 0.6504, 0.6673, 0.6656, 0.6865, 0.7082]","[41.31, 47.1, 53.33, 57.7, 56.74, 59.61, 63.46, 64.31, 64.32, 66.53, 69.29, 71.33, 70.85, 70.92, 73.34, 73.95, 74.77, 74.88, 76.15, 75.49, 77.65, 74.38, 75.82, 76.83, 78.75, 77.23, 78.61, 78.48, 78.77, 77.87, 79.85, 79.37, 79.6, 78.04, 79.48, 79.58, 80.56, 80.34, 79.67, 80.52, 80.97, 79.89, 79.9, 80.0, 81.02, 79.9, 80.2, 80.53, 79.6, 79.87]"
