seed,train_loss,train_acc,valid_loss,valid_acc
0,"[1.833, 1.5598, 1.411, 1.3079, 1.2216, 1.1437, 1.0802, 1.0175, 0.9672, 0.9241, 0.887, 0.8505, 0.8238, 0.7865, 0.7671, 0.738, 0.7179, 0.6953, 0.6777, 0.6597, 0.6376, 0.6203, 0.6028, 0.5861, 0.5717, 0.5547, 0.539, 0.5271, 0.5191, 0.5025, 0.4878, 0.4765, 0.4576, 0.4474, 0.4423, 0.4221, 0.4134, 0.4052, 0.3953, 0.3835, 0.3732, 0.3589, 0.3561, 0.3406, 0.3315, 0.3226, 0.3164, 0.3016, 0.2966, 0.2879]","[30.93, 42.26, 48.39, 52.32, 55.83, 58.69, 61.38, 63.6, 65.64, 67.21, 68.42, 70.02, 70.88, 72.02, 72.7, 73.9, 74.69, 75.55, 76.18, 76.66, 77.74, 78.08, 78.65, 79.43, 79.81, 80.54, 80.94, 81.42, 81.65, 82.1, 82.71, 83.06, 83.72, 84.26, 84.27, 85.01, 85.42, 85.51, 85.96, 86.36, 86.71, 87.2, 87.17, 87.73, 88.18, 88.38, 88.69, 89.17, 89.37, 89.64]","[1.6759, 1.469, 1.3003, 1.2172, 1.1577, 1.093, 0.984, 0.931, 0.9393, 0.8903, 0.8809, 0.8207, 0.809, 0.8181, 0.799, 0.7533, 0.7516, 0.7115, 0.7114, 0.721, 0.7023, 0.6613, 0.6563, 0.6486, 0.6656, 0.6512, 0.649, 0.6218, 0.6405, 0.644, 0.6024, 0.6047, 0.6038, 0.6285, 0.6102, 0.645, 0.6136, 0.6044, 0.6174, 0.5819, 0.6149, 0.6295, 0.6156, 0.5864, 0.5998, 0.6857, 0.6341, 0.6221, 0.625, 0.6006]","[37.59, 45.46, 53.17, 56.05, 58.66, 60.87, 64.5, 66.86, 66.65, 68.34, 68.7, 70.89, 71.0, 70.8, 71.34, 73.28, 73.88, 75.23, 74.73, 75.06, 75.27, 76.99, 77.25, 77.73, 77.04, 77.67, 77.6, 78.72, 77.79, 78.08, 79.33, 79.3, 79.32, 78.54, 79.51, 78.89, 79.3, 79.53, 79.43, 80.38, 79.99, 79.57, 79.64, 80.98, 80.66, 79.29, 80.27, 80.36, 80.67, 81.09]"
1,"[1.8354, 1.5672, 1.4221, 1.3198, 1.2355, 1.1687, 1.1052, 1.0444, 1.0013, 0.9573, 0.9216, 0.877, 0.848, 0.8201, 0.7931, 0.7704, 0.7411, 0.7189, 0.6963, 0.6849, 0.6634, 0.6484, 0.6267, 0.6126, 0.5987, 0.5803, 0.5664, 0.5522, 0.5387, 0.5213, 0.5087, 0.497, 0.4876, 0.4669, 0.4591, 0.4535, 0.4382, 0.4264, 0.4125, 0.3993, 0.3931, 0.3829, 0.3707, 0.3604, 0.3493, 0.343, 0.3274, 0.3146, 0.3172, 0.3022]","[30.61, 42.1, 48.04, 51.91, 55.19, 58.03, 60.39, 62.44, 64.25, 66.02, 67.24, 69.04, 70.09, 70.86, 72.0, 72.91, 73.9, 74.56, 75.34, 75.79, 76.27, 77.19, 77.82, 78.46, 78.78, 79.44, 80.01, 80.53, 80.99, 81.56, 81.83, 82.1, 82.88, 83.44, 83.91, 83.77, 84.42, 84.76, 85.38, 85.65, 85.79, 86.49, 86.7, 87.24, 87.26, 87.72, 88.13, 88.75, 88.77, 89.22]","[1.6759, 1.4684, 1.3435, 1.3235, 1.1693, 1.1077, 1.0298, 1.0081, 0.948, 0.9176, 0.8982, 0.9172, 0.8568, 0.8394, 0.8022, 0.7799, 0.7637, 0.7549, 0.7597, 0.7354, 0.7324, 0.7124, 0.6878, 0.7023, 0.6961, 0.7011, 0.6787, 0.699, 0.6499, 0.6818, 0.6605, 0.63, 0.6226, 0.6534, 0.6177, 0.6208, 0.6383, 0.6339, 0.6374, 0.6498, 0.6666, 0.642, 0.6609, 0.651, 0.6299, 0.6615, 0.6847, 0.716, 0.6467, 0.6585]","[38.04, 46.28, 50.56, 51.79, 57.03, 60.14, 63.11, 64.07, 66.4, 68.33, 68.12, 67.18, 69.65, 70.3, 71.43, 72.51, 73.36, 73.57, 73.1, 74.68, 74.01, 75.24, 76.57, 75.52, 75.64, 75.68, 76.63, 76.13, 77.4, 76.79, 77.57, 78.71, 78.34, 77.8, 79.32, 78.98, 78.85, 79.04, 79.22, 79.0, 78.51, 79.51, 79.17, 79.11, 80.18, 79.22, 78.96, 78.24, 79.68, 79.72]"
2,"[1.8352, 1.5588, 1.3943, 1.2947, 1.2043, 1.1387, 1.0683, 1.0078, 0.9567, 0.912, 0.8846, 0.8511, 0.8151, 0.7835, 0.7653, 0.7402, 0.7153, 0.6924, 0.6801, 0.6593, 0.644, 0.6236, 0.6043, 0.5916, 0.5737, 0.5665, 0.5484, 0.5308, 0.5215, 0.506, 0.4932, 0.4823, 0.4711, 0.4563, 0.4416, 0.4306, 0.4174, 0.4109, 0.3962, 0.3853, 0.3757, 0.3621, 0.3536, 0.3481, 0.3314, 0.3256, 0.3171, 0.3088, 0.2984, 0.2902]","[30.56, 42.35, 49.03, 53.08, 56.24, 59.0, 61.74, 64.12, 65.99, 67.64, 68.81, 69.89, 71.43, 72.23, 73.1, 73.94, 74.72, 75.44, 75.86, 76.62, 77.28, 77.89, 78.64, 78.99, 79.77, 79.93, 80.73, 81.28, 81.57, 82.01, 82.38, 82.98, 83.25, 83.77, 84.22, 84.75, 85.06, 85.27, 85.94, 86.19, 86.54, 87.1, 87.39, 87.53, 88.34, 88.22, 88.64, 88.89, 89.48, 89.6]","[1.7018, 1.516, 1.3578, 1.2752, 1.1618, 1.1196, 1.0416, 0.9415, 0.9057, 0.8956, 0.8711, 0.8377, 0.8159, 0.8125, 0.7944, 0.7455, 0.7248, 0.7139, 0.6935, 0.7039, 0.7128, 0.6746, 0.6825, 0.6618, 0.6557, 0.6552, 0.6248, 0.6251, 0.6654, 0.6351, 0.6484, 0.6193, 0.6189, 0.6468, 0.6107, 0.6229, 0.6167, 0.5779, 0.6058, 0.6175, 0.5957, 0.6279, 0.6636, 0.6269, 0.63, 0.6029, 0.6163, 0.6103, 0.6181, 0.631]","[37.18, 44.81, 49.71, 54.25, 57.85, 60.39, 62.44, 66.55, 67.49, 67.99, 69.16, 70.62, 70.81, 71.23, 72.03, 73.52, 74.0, 75.23, 75.6, 75.47, 75.0, 76.26, 76.18, 77.33, 76.87, 76.97, 78.18, 78.32, 76.62, 77.94, 78.34, 79.24, 79.05, 78.24, 79.07, 78.92, 79.96, 80.02, 79.97, 80.16, 80.42, 79.37, 78.31, 80.36, 79.84, 80.65, 80.36, 80.79, 81.08, 80.29]"
3,"[1.8509, 1.5786, 1.4189, 1.3199, 1.2324, 1.154, 1.0927, 1.0377, 0.9816, 0.9403, 0.907, 0.8697, 0.8322, 0.8015, 0.7827, 0.7517, 0.7263, 0.7033, 0.6807, 0.6647, 0.6424, 0.6253, 0.614, 0.5909, 0.5721, 0.5561, 0.545, 0.5317, 0.5205, 0.502, 0.4955, 0.4729, 0.4617, 0.448, 0.4317, 0.4227, 0.4148, 0.3991, 0.3951, 0.3832, 0.3627, 0.3591, 0.3482, 0.329, 0.3311, 0.3156, 0.3122, 0.2969, 0.2921, 0.2793]","[30.31, 41.78, 47.89, 51.46, 55.18, 58.69, 60.81, 62.67, 64.87, 66.63, 67.71, 69.38, 70.36, 71.74, 72.43, 73.41, 74.34, 75.09, 75.94, 76.42, 77.38, 77.82, 78.06, 79.32, 79.76, 80.42, 80.68, 81.06, 81.54, 82.15, 82.35, 83.04, 83.73, 84.06, 84.46, 84.87, 85.19, 85.79, 85.9, 86.29, 87.16, 87.28, 87.58, 88.16, 87.92, 88.62, 88.82, 89.36, 89.48, 90.0]","[1.722, 1.5538, 1.339, 1.2532, 1.1942, 1.0947, 1.0686, 1.0046, 0.9928, 0.9245, 0.8718, 0.832, 0.8054, 0.8377, 0.7752, 0.8092, 0.7536, 0.7213, 0.7004, 0.6872, 0.7278, 0.6913, 0.6882, 0.6627, 0.6482, 0.6848, 0.6597, 0.6233, 0.6233, 0.63, 0.6626, 0.5981, 0.5864, 0.6311, 0.6268, 0.6483, 0.6477, 0.6192, 0.609, 0.6259, 0.6324, 0.6212, 0.5978, 0.6334, 0.6368, 0.6292, 0.6294, 0.656, 0.6464, 0.6661]","[36.6, 43.45, 51.53, 55.09, 56.98, 60.05, 61.67, 64.12, 64.54, 66.75, 69.02, 70.54, 71.23, 70.36, 72.65, 71.37, 73.65, 74.77, 75.52, 75.86, 74.81, 76.56, 76.24, 76.92, 78.21, 76.33, 77.59, 78.74, 78.66, 78.04, 77.42, 79.12, 80.12, 78.64, 78.49, 78.61, 78.7, 80.04, 79.62, 79.68, 80.45, 80.55, 80.48, 79.69, 80.0, 79.87, 79.85, 79.73, 80.22, 79.64]"
4,"[1.8489, 1.6111, 1.448, 1.3383, 1.2372, 1.1529, 1.0789, 1.023, 0.9766, 0.9284, 0.8932, 0.8545, 0.8296, 0.7939, 0.7693, 0.7489, 0.7207, 0.7024, 0.6787, 0.6582, 0.6422, 0.6284, 0.6086, 0.5891, 0.5778, 0.5607, 0.547, 0.5338, 0.5177, 0.5061, 0.4916, 0.4782, 0.4691, 0.4504, 0.4458, 0.4327, 0.4237, 0.4039, 0.3962, 0.3804, 0.3746, 0.3649, 0.3521, 0.3441, 0.3306, 0.3254, 0.3157, 0.3041, 0.2945, 0.2902]","[29.89, 40.32, 47.18, 51.12, 55.15, 58.48, 61.58, 63.45, 65.2, 67.12, 68.18, 69.81, 70.8, 71.94, 72.66, 73.53, 74.49, 75.24, 76.06, 76.95, 77.12, 77.84, 78.64, 79.32, 79.51, 80.09, 80.77, 81.02, 81.72, 81.95, 82.6, 83.09, 83.19, 84.05, 84.15, 84.76, 84.88, 85.55, 85.85, 86.31, 86.7, 86.86, 87.47, 87.86, 88.22, 88.35, 88.66, 89.12, 89.56, 89.58]","[1.7083, 1.5651, 1.3502, 1.2523, 1.1809, 1.1155, 1.0346, 1.0057, 0.9677, 0.934, 0.8528, 0.8821, 0.805, 0.8, 0.7862, 0.735, 0.7627, 0.7107, 0.7461, 0.7377, 0.7148, 0.6819, 0.7058, 0.7059, 0.6465, 0.6789, 0.6425, 0.6259, 0.6352, 0.6451, 0.603, 0.6053, 0.5848, 0.6193, 0.6074, 0.6214, 0.6089, 0.5922, 0.6515, 0.6333, 0.627, 0.6254, 0.6187, 0.6268, 0.634, 0.6462, 0.6363, 0.6263, 0.6626, 0.6254]","[35.52, 42.41, 50.81, 54.53, 56.91, 59.31, 62.63, 64.41, 65.42, 66.92, 69.87, 68.9, 71.16, 71.46, 72.34, 73.79, 73.58, 74.98, 73.83, 74.32, 75.53, 76.48, 76.05, 75.26, 77.58, 76.44, 77.56, 78.4, 77.95, 78.03, 79.39, 79.37, 79.88, 78.85, 79.52, 78.85, 79.27, 79.91, 79.42, 79.29, 78.88, 79.92, 79.94, 79.74, 79.87, 79.56, 79.92, 80.29, 79.34, 81.16]"
5,"[1.8402, 1.5652, 1.412, 1.2966, 1.2061, 1.1312, 1.0696, 1.0029, 0.9468, 0.9069, 0.867, 0.8377, 0.8038, 0.7701, 0.7453, 0.7244, 0.7024, 0.6826, 0.6638, 0.6421, 0.6249, 0.6111, 0.5915, 0.5709, 0.5555, 0.5493, 0.5308, 0.5169, 0.5049, 0.4878, 0.4727, 0.4684, 0.4526, 0.4418, 0.4296, 0.4112, 0.406, 0.3893, 0.3809, 0.3689, 0.3598, 0.3492, 0.3422, 0.3301, 0.3203, 0.3079, 0.3018, 0.2878, 0.2821, 0.2772]","[30.34, 42.03, 48.36, 52.53, 56.48, 59.32, 61.6, 64.48, 66.28, 67.74, 69.3, 70.28, 71.45, 72.76, 73.73, 74.39, 75.06, 75.83, 76.48, 77.24, 77.84, 78.34, 79.07, 79.83, 80.51, 80.38, 81.1, 81.57, 81.96, 82.68, 83.11, 83.41, 83.84, 84.14, 84.76, 85.4, 85.7, 86.27, 86.44, 86.79, 87.26, 87.61, 87.74, 88.29, 88.57, 88.81, 89.22, 89.68, 89.94, 90.19]","[1.7441, 1.476, 1.3868, 1.2027, 1.1172, 1.082, 1.0063, 0.9736, 0.8971, 0.8785, 0.8273, 0.8316, 0.8891, 0.8165, 0.7601, 0.7356, 0.7263, 0.7008, 0.716, 0.7006, 0.7003, 0.6766, 0.6801, 0.6567, 0.655, 0.6269, 0.6367, 0.6484, 0.6292, 0.6175, 0.5819, 0.5815, 0.6056, 0.6293, 0.5761, 0.6518, 0.6347, 0.6192, 0.6273, 0.6121, 0.6315, 0.6084, 0.6156, 0.6143, 0.6179, 0.6198, 0.61, 0.6239, 0.615, 0.6084]","[35.22, 46.61, 49.82, 56.88, 59.73, 61.62, 64.05, 65.58, 68.29, 68.86, 70.23, 70.73, 68.38, 71.57, 73.85, 73.7, 74.56, 75.44, 75.05, 75.61, 76.23, 76.58, 76.83, 77.45, 76.8, 78.24, 77.93, 77.37, 78.48, 79.08, 79.49, 79.79, 79.43, 78.49, 80.16, 78.38, 79.53, 79.69, 79.47, 80.18, 80.02, 80.76, 80.4, 80.44, 80.38, 80.15, 81.14, 80.6, 80.89, 81.19]"
6,"[1.8534, 1.5848, 1.4247, 1.3259, 1.2492, 1.1703, 1.1091, 1.0413, 0.9887, 0.9528, 0.9059, 0.8657, 0.8413, 0.8124, 0.7834, 0.7612, 0.7403, 0.7194, 0.6972, 0.6776, 0.6612, 0.6414, 0.6241, 0.6095, 0.5887, 0.5783, 0.5631, 0.5483, 0.5316, 0.5189, 0.506, 0.4952, 0.4756, 0.4639, 0.4522, 0.4458, 0.4327, 0.4195, 0.4073, 0.3973, 0.3833, 0.3723, 0.3609, 0.3505, 0.3405, 0.3344, 0.3195, 0.3147, 0.304, 0.3013]","[30.32, 41.36, 48.14, 51.74, 54.99, 57.9, 60.19, 62.91, 64.82, 66.14, 67.86, 69.44, 70.15, 71.35, 72.36, 73.04, 73.85, 74.62, 75.32, 76.0, 76.8, 77.26, 77.84, 78.51, 79.5, 79.6, 80.1, 80.54, 81.14, 81.49, 82.22, 82.48, 83.15, 83.62, 84.02, 84.3, 84.8, 84.92, 85.7, 86.15, 86.42, 86.75, 87.02, 87.46, 88.03, 88.14, 88.51, 88.62, 89.12, 89.33]","[1.7512, 1.478, 1.5002, 1.3024, 1.2077, 1.2202, 1.092, 0.9952, 0.9603, 0.899, 0.9035, 0.8935, 0.8349, 0.7953, 0.7743, 0.7913, 0.7431, 0.7285, 0.7443, 0.7388, 0.7143, 0.6889, 0.6902, 0.6964, 0.6794, 0.668, 0.676, 0.6568, 0.6517, 0.6376, 0.6468, 0.6332, 0.6449, 0.6547, 0.611, 0.6239, 0.6473, 0.634, 0.6178, 0.6334, 0.6199, 0.624, 0.6383, 0.6247, 0.6461, 0.6141, 0.6668, 0.65, 0.6643, 0.6397]","[34.17, 46.19, 46.44, 53.09, 56.43, 55.58, 60.69, 64.54, 65.73, 68.11, 67.93, 68.23, 70.56, 72.21, 72.68, 72.46, 74.32, 74.8, 73.69, 74.52, 75.58, 76.23, 76.51, 76.06, 77.05, 77.34, 76.91, 77.42, 77.7, 78.53, 78.17, 78.46, 78.45, 77.89, 79.48, 79.02, 78.66, 79.12, 79.35, 79.61, 79.43, 79.75, 80.05, 80.08, 80.24, 80.26, 80.17, 80.08, 80.47, 80.66]"
7,"[1.8275, 1.5559, 1.4212, 1.3197, 1.233, 1.1582, 1.0909, 1.0258, 0.9731, 0.9287, 0.8942, 0.8563, 0.8262, 0.7987, 0.7728, 0.7479, 0.7247, 0.7007, 0.6816, 0.6611, 0.6456, 0.6271, 0.6108, 0.5923, 0.5786, 0.5664, 0.5493, 0.5313, 0.5205, 0.5051, 0.4895, 0.4819, 0.4722, 0.4514, 0.4457, 0.4318, 0.4228, 0.406, 0.3959, 0.389, 0.3772, 0.3675, 0.3533, 0.352, 0.3384, 0.3267, 0.3196, 0.3071, 0.3027, 0.2962]","[30.99, 42.83, 48.1, 52.06, 55.19, 58.44, 60.7, 63.34, 65.43, 67.06, 68.18, 69.84, 70.58, 71.45, 72.51, 73.55, 74.27, 75.26, 75.73, 76.61, 77.15, 78.03, 78.5, 78.92, 79.37, 79.85, 80.56, 81.18, 81.52, 81.96, 82.57, 82.83, 83.38, 83.99, 84.16, 84.7, 85.07, 85.46, 85.89, 85.99, 86.55, 86.83, 87.4, 87.29, 87.92, 88.24, 88.55, 89.04, 89.26, 89.46]","[1.6139, 1.4454, 1.4185, 1.2636, 1.2895, 1.1255, 1.0309, 0.9678, 0.9588, 0.8896, 0.8606, 0.8461, 0.8337, 0.7709, 0.7948, 0.7527, 0.7475, 0.7414, 0.7217, 0.6899, 0.6807, 0.6774, 0.7137, 0.6516, 0.6495, 0.6296, 0.6718, 0.6146, 0.6299, 0.6292, 0.6404, 0.6373, 0.6245, 0.6081, 0.6325, 0.6065, 0.5843, 0.6262, 0.6307, 0.6289, 0.6272, 0.6026, 0.5994, 0.6069, 0.6297, 0.5931, 0.6053, 0.6097, 0.6328, 0.645]","[40.61, 46.83, 48.29, 54.48, 54.26, 58.32, 63.17, 65.19, 66.23, 68.46, 69.3, 69.83, 70.8, 72.63, 72.11, 73.72, 74.23, 73.72, 75.11, 76.07, 76.36, 76.55, 75.44, 77.27, 76.93, 78.01, 76.48, 78.12, 78.33, 78.6, 78.14, 78.29, 79.03, 79.5, 79.2, 79.56, 80.0, 79.47, 78.82, 79.46, 79.79, 80.48, 80.45, 79.5, 79.61, 80.66, 80.5, 80.7, 80.2, 80.07]"
8,"[1.8218, 1.5595, 1.4177, 1.3055, 1.2227, 1.1496, 1.0902, 1.0271, 0.9847, 0.9427, 0.9033, 0.8704, 0.8379, 0.804, 0.78, 0.7516, 0.7326, 0.7102, 0.6841, 0.6668, 0.6478, 0.63, 0.6128, 0.5981, 0.5819, 0.5658, 0.5516, 0.5333, 0.5215, 0.5058, 0.4952, 0.4739, 0.4588, 0.449, 0.443, 0.4276, 0.4154, 0.3942, 0.3897, 0.3816, 0.3756, 0.3593, 0.3488, 0.3353, 0.3269, 0.3169, 0.3071, 0.2985, 0.2868, 0.2841]","[30.7, 42.47, 48.18, 52.31, 55.69, 58.72, 60.87, 63.12, 64.8, 66.57, 67.9, 69.04, 70.38, 71.44, 72.43, 73.38, 73.88, 74.83, 75.78, 76.39, 77.11, 77.51, 78.45, 78.76, 79.38, 79.74, 80.44, 81.07, 81.33, 82.02, 82.34, 83.35, 83.68, 84.02, 84.28, 84.75, 85.19, 86.08, 86.06, 86.39, 86.47, 87.16, 87.5, 87.85, 88.37, 88.62, 89.02, 89.31, 89.8, 89.75]","[1.683, 1.5134, 1.3885, 1.2613, 1.1618, 1.0842, 1.0157, 0.9894, 0.931, 0.9022, 0.8776, 0.8703, 0.8628, 0.7831, 0.7995, 0.8075, 0.7423, 0.7355, 0.7472, 0.6973, 0.6829, 0.7315, 0.7232, 0.6878, 0.6662, 0.6873, 0.6421, 0.6315, 0.6633, 0.6129, 0.611, 0.6613, 0.6365, 0.6495, 0.6245, 0.6403, 0.6267, 0.6194, 0.6617, 0.6476, 0.6563, 0.636, 0.6449, 0.6263, 0.6669, 0.6709, 0.6811, 0.665, 0.6572, 0.6443]","[37.71, 45.26, 50.36, 54.24, 57.77, 60.98, 63.87, 64.65, 67.0, 67.78, 69.08, 68.61, 69.31, 71.87, 71.53, 71.28, 73.89, 73.93, 73.67, 75.82, 76.53, 74.61, 74.85, 75.89, 77.14, 76.28, 77.45, 77.98, 77.22, 78.93, 79.12, 77.91, 78.97, 78.49, 78.77, 78.75, 79.04, 79.48, 78.95, 78.77, 78.06, 79.77, 79.06, 80.47, 79.0, 79.1, 79.1, 79.67, 80.08, 80.27]"
9,"[1.8321, 1.5575, 1.4094, 1.3203, 1.2373, 1.1635, 1.0989, 1.044, 0.9882, 0.945, 0.8949, 0.8626, 0.8236, 0.7942, 0.7709, 0.7429, 0.7144, 0.6965, 0.6732, 0.6561, 0.6362, 0.6169, 0.6036, 0.5859, 0.5674, 0.5552, 0.5373, 0.5247, 0.5114, 0.4963, 0.4791, 0.4719, 0.455, 0.4469, 0.4361, 0.4199, 0.4092, 0.3986, 0.3851, 0.3752, 0.3647, 0.3527, 0.343, 0.3353, 0.3235, 0.3128, 0.3038, 0.2951, 0.2859, 0.277]","[30.76, 42.79, 48.46, 52.02, 55.25, 58.1, 60.43, 62.6, 64.77, 66.37, 68.44, 69.46, 70.72, 72.0, 73.03, 73.75, 74.83, 75.49, 76.01, 76.7, 77.48, 78.18, 78.51, 79.01, 79.86, 80.32, 81.08, 81.4, 81.82, 82.43, 83.16, 83.15, 83.89, 84.14, 84.42, 84.93, 85.36, 85.73, 86.27, 86.59, 87.11, 87.51, 87.8, 87.98, 88.52, 88.92, 89.07, 89.49, 89.85, 89.86]","[1.6734, 1.5399, 1.346, 1.2626, 1.2422, 1.1542, 1.0693, 0.9951, 1.02, 0.9105, 0.858, 0.8419, 0.8081, 0.8013, 0.7783, 0.7861, 0.7279, 0.7241, 0.7024, 0.707, 0.675, 0.6942, 0.7004, 0.7116, 0.6338, 0.6634, 0.6246, 0.6199, 0.6179, 0.6496, 0.6055, 0.62, 0.6286, 0.6127, 0.612, 0.6379, 0.6043, 0.6003, 0.631, 0.5942, 0.5942, 0.6071, 0.5966, 0.6011, 0.631, 0.6061, 0.614, 0.617, 0.6432, 0.6381]","[38.7, 44.76, 50.96, 54.27, 54.91, 58.04, 62.34, 64.36, 62.85, 67.28, 69.79, 70.21, 71.45, 71.86, 72.72, 72.15, 74.59, 74.65, 75.63, 75.56, 76.78, 75.19, 76.25, 75.74, 77.95, 77.29, 78.1, 78.94, 78.11, 78.22, 79.27, 78.77, 78.4, 79.85, 79.36, 78.85, 79.98, 80.24, 79.77, 80.76, 80.4, 80.65, 80.44, 81.16, 80.01, 80.28, 80.83, 81.23, 80.68, 80.38]"
