seed,train_loss,train_acc,valid_loss,valid_acc
0,"[1.8683, 1.6139, 1.413, 1.2915, 1.1865, 1.1052, 1.0326, 0.9724, 0.9266, 0.8698, 0.8337, 0.8009, 0.7672, 0.7373, 0.7116, 0.6882, 0.6658, 0.6407, 0.6264, 0.606, 0.5787, 0.567, 0.5475, 0.5247, 0.518, 0.496, 0.4794, 0.4646, 0.4449, 0.4377, 0.4186, 0.4016, 0.3912, 0.3792, 0.359, 0.346, 0.3387, 0.3241, 0.3147, 0.3017, 0.2846, 0.2735, 0.2672, 0.2532, 0.2454, 0.2413, 0.2243, 0.2222, 0.2159, 0.2024]","[29.64, 39.95, 48.52, 52.84, 56.94, 60.26, 62.91, 65.39, 66.99, 68.93, 70.27, 71.8, 72.83, 73.92, 74.73, 75.84, 76.36, 77.36, 77.69, 78.38, 79.57, 79.9, 80.51, 81.46, 81.82, 82.5, 82.99, 83.58, 84.3, 84.26, 85.23, 85.77, 86.03, 86.4, 87.24, 87.6, 87.96, 88.31, 88.72, 89.34, 89.82, 90.16, 90.44, 90.79, 91.18, 91.46, 91.9, 92.01, 92.23, 92.73]","[1.7825, 1.5464, 1.3797, 1.2438, 1.1534, 1.0719, 1.0053, 0.9555, 0.8859, 0.8369, 0.8124, 0.813, 0.7659, 0.7368, 0.7687, 0.6864, 0.6974, 0.6904, 0.6732, 0.6777, 0.6681, 0.6664, 0.6541, 0.6282, 0.6482, 0.6192, 0.6187, 0.6053, 0.617, 0.625, 0.6078, 0.6152, 0.6203, 0.6164, 0.6351, 0.6252, 0.6126, 0.6111, 0.6325, 0.6353, 0.6415, 0.646, 0.6185, 0.6568, 0.7019, 0.6658, 0.6907, 0.6739, 0.6664, 0.7155]","[33.31, 43.67, 49.41, 54.79, 58.63, 61.65, 64.3, 65.93, 68.28, 70.35, 70.65, 71.09, 72.62, 74.19, 73.01, 75.27, 75.09, 75.82, 76.49, 76.36, 76.71, 76.73, 77.1, 78.19, 77.59, 78.69, 78.97, 79.44, 78.98, 79.26, 79.15, 79.4, 79.37, 79.79, 79.17, 80.42, 80.06, 80.24, 79.63, 80.4, 80.06, 79.99, 80.74, 80.32, 79.88, 80.13, 79.87, 80.96, 80.69, 80.05]"
1,"[1.8699, 1.6145, 1.4199, 1.2808, 1.1838, 1.0979, 1.03, 0.9745, 0.9249, 0.8833, 0.8399, 0.7986, 0.7761, 0.7467, 0.7211, 0.6959, 0.6721, 0.6506, 0.6321, 0.6152, 0.5914, 0.5752, 0.5621, 0.5431, 0.5258, 0.5066, 0.4898, 0.4748, 0.4649, 0.4429, 0.4258, 0.4159, 0.4004, 0.3822, 0.3679, 0.3598, 0.3425, 0.33, 0.3234, 0.3115, 0.2956, 0.2837, 0.2728, 0.263, 0.2528, 0.2481, 0.2332, 0.2262, 0.2176, 0.208]","[29.34, 39.83, 48.04, 53.37, 57.33, 60.55, 63.21, 65.24, 67.25, 68.75, 70.22, 71.77, 72.58, 73.61, 74.58, 75.3, 76.22, 76.99, 77.52, 78.31, 79.04, 79.62, 79.91, 80.73, 81.38, 81.94, 82.58, 83.16, 83.58, 84.22, 84.91, 85.21, 85.68, 86.46, 86.87, 87.19, 87.64, 88.09, 88.51, 88.8, 89.38, 89.93, 90.31, 90.62, 90.92, 91.0, 91.59, 92.0, 92.18, 92.54]","[1.7773, 1.5213, 1.3595, 1.2355, 1.1728, 1.0779, 1.0146, 0.9512, 0.9017, 0.8772, 0.8367, 0.8057, 0.7895, 0.7554, 0.7557, 0.726, 0.704, 0.7164, 0.7106, 0.6953, 0.6653, 0.6589, 0.6338, 0.6538, 0.6485, 0.6366, 0.641, 0.6232, 0.6198, 0.6229, 0.6262, 0.6342, 0.6325, 0.6359, 0.6184, 0.6401, 0.6642, 0.6549, 0.6363, 0.6495, 0.6597, 0.6852, 0.6513, 0.6814, 0.6479, 0.6823, 0.7257, 0.6942, 0.7, 0.6869]","[33.89, 44.77, 50.49, 55.49, 58.06, 61.58, 64.35, 66.31, 68.6, 68.87, 70.49, 71.62, 72.21, 73.64, 73.38, 74.36, 75.5, 75.14, 75.27, 76.02, 76.53, 77.03, 77.81, 76.92, 77.59, 77.95, 77.83, 78.37, 79.08, 78.96, 79.05, 78.86, 79.34, 79.39, 79.41, 79.58, 79.01, 78.93, 79.74, 80.08, 79.62, 79.76, 80.06, 79.79, 80.3, 79.55, 79.24, 80.1, 79.97, 80.2]"
2,"[1.8776, 1.6049, 1.4044, 1.2654, 1.1675, 1.0901, 1.0209, 0.9629, 0.9143, 0.8691, 0.8338, 0.7957, 0.7598, 0.7343, 0.7139, 0.6793, 0.6593, 0.6361, 0.6113, 0.5914, 0.5776, 0.5574, 0.5431, 0.5254, 0.5067, 0.492, 0.4749, 0.4646, 0.4464, 0.4325, 0.4155, 0.4034, 0.3921, 0.3779, 0.3604, 0.3543, 0.3352, 0.3267, 0.3124, 0.3013, 0.2947, 0.2811, 0.2664, 0.257, 0.2497, 0.2449, 0.2313, 0.2258, 0.214, 0.2115]","[29.49, 40.33, 48.55, 54.17, 58.15, 60.81, 63.58, 65.64, 67.55, 69.0, 70.42, 71.66, 73.38, 74.1, 74.89, 76.0, 76.59, 77.39, 78.32, 79.15, 79.62, 80.26, 80.78, 81.72, 82.08, 82.55, 83.42, 83.44, 84.0, 84.79, 85.25, 85.57, 86.1, 86.48, 87.16, 87.49, 87.98, 88.29, 88.58, 89.21, 89.58, 89.83, 90.42, 90.86, 90.94, 91.26, 91.69, 91.91, 92.41, 92.45]","[1.7463, 1.5377, 1.3461, 1.2249, 1.1333, 1.046, 0.9861, 0.9459, 0.9116, 0.8602, 0.8217, 0.7839, 0.7849, 0.7766, 0.7429, 0.7068, 0.7219, 0.6847, 0.6583, 0.6587, 0.6433, 0.6658, 0.6621, 0.6258, 0.6141, 0.6342, 0.6452, 0.5948, 0.6049, 0.6163, 0.6001, 0.5978, 0.6041, 0.6127, 0.5928, 0.6065, 0.6168, 0.6112, 0.6367, 0.6243, 0.6336, 0.6481, 0.6708, 0.6657, 0.6634, 0.6246, 0.6731, 0.6738, 0.668, 0.6639]","[35.48, 43.5, 50.3, 55.43, 59.55, 62.77, 64.61, 66.75, 67.81, 69.43, 70.77, 72.1, 71.61, 72.23, 73.84, 75.01, 74.83, 75.83, 76.97, 77.2, 77.46, 76.89, 77.11, 78.56, 78.84, 78.7, 78.07, 79.79, 79.52, 78.99, 80.06, 80.19, 79.4, 79.26, 80.21, 80.73, 79.85, 80.28, 80.09, 80.46, 80.24, 79.88, 79.74, 79.76, 80.24, 81.0, 80.31, 79.97, 80.27, 80.78]"
3,"[1.8692, 1.6117, 1.418, 1.2854, 1.1813, 1.0996, 1.0328, 0.969, 0.9157, 0.8737, 0.8348, 0.7998, 0.7714, 0.7413, 0.7109, 0.6892, 0.6612, 0.6428, 0.6181, 0.5935, 0.5806, 0.5624, 0.542, 0.5201, 0.5069, 0.4914, 0.475, 0.4625, 0.4442, 0.4312, 0.42, 0.4043, 0.3888, 0.3764, 0.3591, 0.3545, 0.3372, 0.3267, 0.3132, 0.3015, 0.2915, 0.2767, 0.2713, 0.2604, 0.2504, 0.244, 0.232, 0.2225, 0.2164, 0.2033]","[29.81, 39.81, 48.11, 53.41, 57.52, 60.56, 63.33, 65.51, 67.62, 69.16, 70.52, 71.64, 72.66, 73.96, 74.78, 75.69, 76.74, 77.53, 78.13, 79.14, 79.36, 80.16, 80.75, 81.95, 82.14, 82.73, 83.16, 83.62, 84.36, 84.84, 85.12, 85.67, 86.06, 86.6, 87.24, 87.3, 87.95, 88.32, 88.76, 89.21, 89.47, 90.06, 90.31, 90.74, 90.9, 91.3, 91.58, 92.11, 92.26, 92.72]","[1.7346, 1.5445, 1.3678, 1.3061, 1.1326, 1.0782, 0.9913, 0.9524, 0.915, 0.8957, 0.8307, 0.8034, 0.774, 0.7911, 0.7456, 0.7313, 0.7261, 0.6886, 0.6517, 0.6845, 0.6492, 0.6458, 0.6301, 0.6512, 0.6201, 0.6168, 0.6233, 0.6069, 0.5929, 0.6164, 0.6201, 0.6099, 0.6416, 0.6236, 0.6433, 0.6036, 0.6279, 0.6494, 0.6203, 0.6335, 0.6629, 0.6531, 0.6429, 0.6382, 0.6472, 0.6505, 0.6854, 0.7116, 0.6784, 0.6865]","[35.59, 43.11, 50.6, 52.23, 59.28, 61.8, 64.89, 65.86, 67.45, 68.04, 70.81, 71.69, 72.56, 72.43, 73.82, 74.69, 74.7, 76.21, 77.33, 76.54, 77.44, 77.69, 78.06, 77.52, 78.49, 78.67, 78.63, 79.14, 79.77, 79.19, 79.25, 79.64, 79.06, 79.85, 79.92, 80.4, 80.24, 79.69, 80.31, 80.16, 79.82, 80.44, 80.34, 80.37, 80.93, 80.34, 79.94, 79.79, 80.42, 80.45]"
4,"[1.8723, 1.6103, 1.4184, 1.287, 1.1766, 1.0941, 1.0249, 0.9621, 0.9106, 0.8713, 0.8308, 0.7943, 0.7671, 0.7325, 0.7119, 0.6856, 0.6613, 0.6404, 0.6166, 0.6012, 0.582, 0.5646, 0.5445, 0.5254, 0.5181, 0.4963, 0.4847, 0.4602, 0.4494, 0.4351, 0.4226, 0.4022, 0.3885, 0.3749, 0.3663, 0.3518, 0.3355, 0.3271, 0.3127, 0.3039, 0.2913, 0.276, 0.2714, 0.2567, 0.2468, 0.2432, 0.2333, 0.2232, 0.2125, 0.2124]","[29.52, 40.41, 48.01, 53.16, 57.25, 60.72, 63.61, 65.55, 67.72, 69.09, 70.51, 72.07, 72.88, 74.27, 74.75, 75.85, 76.84, 77.47, 78.21, 78.84, 79.52, 80.12, 80.73, 81.36, 81.83, 82.28, 82.92, 83.72, 83.93, 84.46, 84.94, 85.75, 86.29, 86.77, 86.88, 87.39, 88.06, 88.3, 88.83, 89.21, 89.7, 90.2, 90.3, 90.87, 91.1, 91.22, 91.6, 91.97, 92.62, 92.48]","[1.8031, 1.564, 1.3627, 1.2226, 1.138, 1.0685, 1.0047, 0.936, 0.9057, 0.8576, 0.8233, 0.7979, 0.7708, 0.7861, 0.7345, 0.7483, 0.7017, 0.7055, 0.7071, 0.6924, 0.6432, 0.6385, 0.6373, 0.6377, 0.6111, 0.6333, 0.6168, 0.6231, 0.6134, 0.6167, 0.6121, 0.6051, 0.6303, 0.6213, 0.6024, 0.604, 0.6151, 0.6365, 0.6365, 0.6349, 0.6319, 0.6514, 0.6523, 0.6418, 0.6748, 0.6827, 0.6834, 0.6795, 0.6913, 0.6711]","[32.47, 43.26, 50.58, 56.17, 59.08, 61.67, 64.54, 66.4, 67.6, 69.57, 70.92, 71.79, 72.51, 71.86, 73.64, 73.66, 75.6, 75.1, 75.34, 75.79, 77.49, 77.42, 77.93, 77.51, 78.86, 77.98, 78.44, 78.65, 79.32, 79.19, 79.29, 80.13, 79.26, 79.4, 79.94, 80.0, 80.17, 79.52, 80.19, 79.99, 80.04, 80.19, 80.34, 80.47, 80.59, 80.17, 79.81, 80.54, 80.6, 80.65]"
5,"[1.8735, 1.6274, 1.4229, 1.2729, 1.1573, 1.0739, 1.0012, 0.9493, 0.8991, 0.8593, 0.8251, 0.7864, 0.7614, 0.7257, 0.7023, 0.6789, 0.6559, 0.6346, 0.61, 0.5931, 0.5717, 0.5628, 0.5343, 0.5249, 0.5043, 0.4923, 0.4776, 0.4651, 0.4439, 0.4297, 0.4188, 0.4088, 0.389, 0.3796, 0.3654, 0.3494, 0.3362, 0.3271, 0.3151, 0.3024, 0.2953, 0.2821, 0.2726, 0.2607, 0.2507, 0.2434, 0.2384, 0.2234, 0.2167, 0.2108]","[29.52, 39.6, 48.08, 54.1, 58.35, 61.55, 64.34, 66.28, 67.99, 69.53, 70.76, 72.28, 73.25, 74.3, 75.49, 76.14, 76.79, 77.79, 78.62, 79.03, 79.79, 80.18, 81.04, 81.16, 82.19, 82.56, 83.13, 83.41, 84.4, 84.71, 85.1, 85.57, 86.04, 86.54, 86.93, 87.5, 88.09, 88.32, 88.8, 89.25, 89.37, 89.96, 90.19, 90.61, 90.95, 91.1, 91.52, 92.04, 92.18, 92.38]","[1.8107, 1.5558, 1.42, 1.2204, 1.1008, 1.0202, 0.9585, 0.9226, 0.8909, 0.8312, 0.8087, 0.7934, 0.7615, 0.7677, 0.739, 0.7158, 0.6802, 0.6641, 0.6672, 0.6691, 0.6614, 0.6203, 0.6438, 0.6384, 0.6002, 0.6042, 0.6212, 0.6157, 0.6045, 0.5998, 0.6096, 0.5831, 0.5944, 0.6364, 0.6128, 0.6398, 0.6269, 0.6282, 0.6226, 0.6221, 0.6331, 0.6175, 0.6629, 0.6291, 0.698, 0.6604, 0.6512, 0.6763, 0.6481, 0.672]","[33.51, 43.42, 49.03, 56.42, 60.29, 63.95, 65.85, 67.17, 68.29, 70.48, 71.8, 71.79, 73.1, 72.94, 74.41, 75.12, 76.16, 76.68, 76.57, 76.17, 77.2, 78.47, 77.71, 77.67, 79.59, 78.61, 78.8, 78.91, 79.21, 79.59, 79.23, 80.23, 80.41, 79.65, 80.0, 78.94, 79.93, 79.54, 80.24, 80.16, 79.92, 80.25, 80.38, 80.39, 79.67, 80.3, 80.15, 80.48, 81.21, 80.57]"
6,"[1.8813, 1.6164, 1.4184, 1.2873, 1.1892, 1.1035, 1.042, 0.9727, 0.9251, 0.8867, 0.8424, 0.8064, 0.7767, 0.7469, 0.7193, 0.6966, 0.6751, 0.6529, 0.6332, 0.6092, 0.5914, 0.5758, 0.5553, 0.5417, 0.5191, 0.506, 0.4921, 0.4777, 0.4614, 0.4427, 0.4267, 0.4116, 0.4041, 0.3872, 0.3738, 0.3572, 0.3474, 0.3313, 0.3228, 0.3087, 0.2951, 0.2894, 0.2702, 0.2645, 0.2588, 0.2447, 0.2308, 0.2311, 0.216, 0.2121]","[29.64, 40.01, 48.27, 53.01, 57.1, 60.33, 62.71, 65.11, 67.0, 68.65, 70.2, 71.43, 72.27, 73.67, 74.73, 75.36, 76.07, 77.01, 77.69, 78.6, 79.09, 79.55, 80.53, 80.76, 81.77, 82.0, 82.55, 82.96, 83.69, 84.2, 84.76, 85.42, 85.5, 86.17, 86.76, 87.28, 87.54, 88.16, 88.63, 89.15, 89.4, 89.78, 90.35, 90.42, 90.77, 91.24, 91.82, 91.68, 92.22, 92.38]","[1.7236, 1.5476, 1.4548, 1.2661, 1.1938, 1.0576, 0.9899, 0.9241, 0.9112, 0.8552, 0.8319, 0.8172, 0.7759, 0.7801, 0.7561, 0.7637, 0.7303, 0.6988, 0.678, 0.6577, 0.6732, 0.6441, 0.6391, 0.6292, 0.6671, 0.6246, 0.6234, 0.6308, 0.6395, 0.6486, 0.6204, 0.6249, 0.6338, 0.6402, 0.6387, 0.6298, 0.629, 0.6586, 0.6249, 0.6512, 0.6384, 0.6281, 0.6738, 0.6715, 0.691, 0.6746, 0.71, 0.7001, 0.7012, 0.7028]","[35.74, 43.77, 48.09, 54.15, 57.81, 62.42, 64.37, 66.83, 67.79, 70.12, 70.63, 71.16, 72.6, 72.77, 73.41, 73.68, 74.23, 75.3, 76.28, 76.79, 76.21, 77.68, 77.5, 78.11, 76.96, 78.64, 78.43, 78.1, 78.44, 78.27, 79.31, 79.15, 78.84, 79.31, 78.57, 79.34, 79.77, 79.27, 79.48, 79.13, 80.2, 80.12, 79.7, 79.59, 78.97, 79.14, 79.09, 79.53, 79.46, 79.93]"
7,"[1.8639, 1.6136, 1.4099, 1.2739, 1.1794, 1.0984, 1.0301, 0.9685, 0.9144, 0.8749, 0.8358, 0.8005, 0.7723, 0.7465, 0.717, 0.6893, 0.6688, 0.6439, 0.6309, 0.6074, 0.5812, 0.5647, 0.5511, 0.533, 0.5211, 0.5025, 0.4883, 0.4733, 0.4521, 0.442, 0.4268, 0.4129, 0.3985, 0.3835, 0.3758, 0.3569, 0.3477, 0.3372, 0.3199, 0.318, 0.296, 0.2864, 0.2802, 0.27, 0.2542, 0.2446, 0.2413, 0.2292, 0.2243, 0.2117]","[30.21, 40.33, 48.57, 53.62, 57.27, 60.42, 63.22, 65.59, 67.35, 68.96, 70.56, 71.74, 72.69, 73.53, 74.66, 75.69, 76.42, 77.4, 77.69, 78.6, 79.52, 80.26, 80.67, 80.87, 81.62, 82.27, 82.76, 83.18, 84.08, 84.31, 84.91, 85.19, 85.91, 86.32, 86.68, 87.26, 87.53, 87.95, 88.56, 88.7, 89.4, 89.71, 89.96, 90.49, 90.88, 91.1, 91.3, 91.86, 91.98, 92.45]","[1.7302, 1.5239, 1.3669, 1.2274, 1.1431, 1.0697, 0.9938, 0.9289, 0.8772, 0.8727, 0.8335, 0.8056, 0.7906, 0.7384, 0.7341, 0.7389, 0.7071, 0.6878, 0.6763, 0.6542, 0.6611, 0.6599, 0.6682, 0.6308, 0.6338, 0.6302, 0.6174, 0.6104, 0.6112, 0.5908, 0.5971, 0.6198, 0.6072, 0.5873, 0.6032, 0.5966, 0.6382, 0.6223, 0.6172, 0.6411, 0.6207, 0.6288, 0.6406, 0.6252, 0.6081, 0.671, 0.6571, 0.6746, 0.6652, 0.6817]","[36.29, 44.25, 50.14, 55.8, 59.16, 61.4, 64.74, 67.17, 69.07, 69.1, 70.56, 71.41, 71.7, 74.3, 73.73, 74.51, 75.68, 75.74, 76.29, 77.31, 76.77, 76.99, 77.15, 78.44, 78.16, 78.63, 79.11, 79.35, 79.26, 80.12, 79.67, 79.43, 79.64, 80.3, 80.1, 80.15, 79.34, 79.73, 80.07, 79.99, 80.82, 80.51, 80.1, 80.3, 81.31, 80.26, 80.23, 80.38, 81.09, 80.31]"
8,"[1.8663, 1.5929, 1.4146, 1.291, 1.1904, 1.1109, 1.0459, 0.9769, 0.9349, 0.8961, 0.8542, 0.8163, 0.7867, 0.7582, 0.7316, 0.7018, 0.6846, 0.6572, 0.635, 0.6169, 0.5964, 0.5786, 0.567, 0.5443, 0.5329, 0.5112, 0.4938, 0.4788, 0.4667, 0.4489, 0.4376, 0.4184, 0.4076, 0.3873, 0.3832, 0.3699, 0.3527, 0.3417, 0.3245, 0.3215, 0.3077, 0.2958, 0.2812, 0.2778, 0.2641, 0.2583, 0.2427, 0.2423, 0.2256, 0.2213]","[30.2, 41.07, 48.28, 52.96, 57.21, 60.22, 62.7, 65.31, 66.9, 68.4, 69.79, 71.21, 72.14, 73.4, 74.18, 75.39, 76.02, 76.97, 77.59, 78.16, 78.93, 79.52, 80.0, 80.75, 81.09, 81.83, 82.57, 83.11, 83.35, 83.93, 84.32, 85.07, 85.29, 86.05, 86.5, 86.84, 87.22, 87.72, 88.26, 88.72, 89.02, 89.35, 90.08, 90.16, 90.56, 90.59, 91.3, 91.24, 91.93, 92.11]","[1.745, 1.5614, 1.4203, 1.2491, 1.1524, 1.0954, 1.0134, 0.9396, 0.9036, 0.8655, 0.8531, 0.8069, 0.7992, 0.758, 0.75, 0.7751, 0.7289, 0.721, 0.6907, 0.6682, 0.6965, 0.6684, 0.6646, 0.6576, 0.6605, 0.6322, 0.6237, 0.6243, 0.6307, 0.6239, 0.6324, 0.6126, 0.6038, 0.6202, 0.609, 0.6196, 0.6263, 0.6332, 0.6507, 0.6428, 0.6462, 0.6357, 0.656, 0.6436, 0.6598, 0.6584, 0.6861, 0.6679, 0.6768, 0.6929]","[35.34, 43.26, 48.0, 54.67, 59.4, 60.59, 64.19, 66.24, 67.83, 69.39, 70.25, 71.71, 71.85, 73.01, 73.82, 72.84, 74.42, 74.94, 75.67, 76.69, 75.86, 76.32, 77.09, 77.35, 76.8, 77.91, 78.43, 78.31, 78.38, 79.04, 78.43, 79.24, 79.74, 79.99, 79.78, 79.4, 80.09, 80.1, 79.75, 79.95, 79.96, 79.85, 79.32, 80.3, 80.21, 80.5, 79.82, 80.21, 80.22, 79.98]"
9,"[1.8651, 1.62, 1.4187, 1.2826, 1.1703, 1.089, 1.0192, 0.9627, 0.9073, 0.8669, 0.8266, 0.7899, 0.7588, 0.733, 0.7041, 0.6796, 0.6554, 0.6395, 0.6204, 0.6019, 0.5807, 0.5637, 0.5452, 0.5293, 0.508, 0.4945, 0.4794, 0.4675, 0.4505, 0.4309, 0.4233, 0.4043, 0.3954, 0.3815, 0.3671, 0.3566, 0.3408, 0.3293, 0.318, 0.3036, 0.2995, 0.2823, 0.2734, 0.2663, 0.2537, 0.2483, 0.2357, 0.2249, 0.2156, 0.2065]","[29.86, 39.87, 48.02, 53.28, 57.94, 60.89, 63.65, 65.8, 67.77, 69.29, 70.68, 72.03, 73.37, 73.99, 75.08, 75.85, 76.92, 77.41, 78.1, 78.71, 79.65, 80.09, 80.73, 81.12, 82.04, 82.48, 82.89, 83.42, 83.91, 84.76, 85.1, 85.61, 86.02, 86.38, 86.78, 87.2, 87.79, 88.23, 88.58, 89.02, 89.27, 89.98, 90.23, 90.42, 90.88, 91.14, 91.56, 91.99, 92.24, 92.68]","[1.7392, 1.6186, 1.4005, 1.2281, 1.1494, 1.0588, 1.0277, 0.9627, 0.893, 0.8631, 0.8204, 0.7873, 0.8152, 0.7432, 0.7371, 0.7315, 0.7109, 0.6713, 0.6748, 0.6684, 0.6238, 0.6351, 0.6353, 0.6575, 0.6038, 0.6053, 0.6266, 0.6146, 0.5999, 0.6024, 0.5975, 0.6153, 0.5953, 0.5914, 0.6015, 0.6144, 0.6101, 0.6321, 0.6205, 0.6346, 0.6025, 0.6332, 0.6458, 0.6494, 0.6705, 0.6614, 0.6992, 0.6691, 0.67, 0.7136]","[35.88, 41.84, 49.48, 55.68, 58.22, 62.61, 64.14, 65.48, 68.07, 69.41, 71.25, 72.3, 71.38, 73.77, 74.2, 74.04, 75.26, 76.47, 76.29, 77.07, 78.28, 77.85, 78.17, 77.15, 78.9, 78.92, 78.53, 79.47, 79.57, 79.43, 79.5, 78.94, 79.9, 80.53, 79.96, 79.93, 80.13, 79.88, 80.43, 79.88, 80.88, 80.57, 80.03, 80.6, 80.16, 80.04, 80.46, 80.13, 80.31, 79.59]"
