seed,train_loss,train_acc,valid_loss,valid_acc
0,"[1.8852, 1.6523, 1.4659, 1.3362, 1.2274, 1.1474, 1.0684, 1.0016, 0.9497, 0.8976, 0.85, 0.822, 0.7808, 0.7496, 0.7167, 0.6911, 0.6685, 0.6411, 0.617, 0.6011, 0.5777, 0.5603, 0.5369, 0.5184, 0.5086, 0.4916, 0.4717, 0.4557, 0.4408, 0.4267, 0.4125, 0.3975, 0.3826, 0.3716, 0.3557, 0.3415, 0.3305, 0.3202, 0.3068, 0.3001, 0.2842, 0.2762, 0.2642, 0.2516, 0.2418, 0.2404, 0.2251, 0.2211, 0.2094, 0.2032]","[29.03, 37.99, 46.38, 51.18, 55.52, 58.46, 61.71, 64.25, 66.21, 68.22, 69.61, 70.96, 72.47, 73.5, 74.65, 75.63, 76.53, 77.53, 77.95, 78.9, 79.53, 80.27, 80.82, 81.63, 81.94, 82.51, 83.2, 83.81, 84.42, 84.79, 85.45, 85.85, 86.24, 86.78, 87.19, 87.7, 88.23, 88.48, 88.94, 89.22, 89.82, 90.08, 90.56, 91.13, 91.25, 91.38, 91.91, 92.01, 92.48, 92.7]","[1.791, 1.5932, 1.455, 1.2751, 1.2259, 1.0928, 1.0201, 0.9876, 0.9318, 0.863, 0.8669, 0.8266, 0.793, 0.7489, 0.7504, 0.7009, 0.6933, 0.7097, 0.6937, 0.6758, 0.6535, 0.6692, 0.6369, 0.6108, 0.6257, 0.6354, 0.6609, 0.6049, 0.6046, 0.6016, 0.6117, 0.6204, 0.6243, 0.6241, 0.6354, 0.6247, 0.5996, 0.6497, 0.6244, 0.6526, 0.6492, 0.6602, 0.6557, 0.6625, 0.6602, 0.6795, 0.6863, 0.6889, 0.6867, 0.7152]","[33.08, 41.02, 46.59, 53.43, 55.78, 60.9, 63.53, 64.38, 66.62, 69.41, 69.1, 71.19, 72.13, 73.42, 73.68, 75.71, 75.88, 74.88, 75.56, 76.06, 77.23, 76.95, 77.9, 78.91, 78.06, 78.16, 77.1, 79.31, 79.24, 79.85, 80.01, 78.85, 79.76, 79.83, 79.2, 79.58, 80.24, 79.29, 80.29, 79.79, 80.33, 79.41, 80.27, 79.71, 80.13, 80.33, 79.76, 80.07, 79.93, 80.31]"
1,"[1.8922, 1.663, 1.4824, 1.344, 1.2417, 1.1435, 1.0673, 1.0097, 0.952, 0.9086, 0.8635, 0.8222, 0.7883, 0.7574, 0.7269, 0.7037, 0.6765, 0.6557, 0.6301, 0.6115, 0.5909, 0.5701, 0.5505, 0.5292, 0.5207, 0.4939, 0.4893, 0.467, 0.4524, 0.4339, 0.4224, 0.4012, 0.3878, 0.3744, 0.3621, 0.3495, 0.3341, 0.3221, 0.3085, 0.3004, 0.289, 0.2725, 0.2656, 0.2494, 0.2439, 0.2368, 0.2253, 0.2125, 0.2099, 0.2049]","[28.52, 37.33, 45.42, 51.0, 54.94, 58.89, 61.94, 63.96, 66.08, 67.84, 69.52, 71.06, 72.16, 73.16, 74.46, 75.31, 76.23, 76.74, 77.82, 78.36, 79.08, 79.72, 80.55, 81.11, 81.5, 82.49, 82.71, 83.41, 83.96, 84.66, 84.86, 85.75, 86.24, 86.69, 87.14, 87.42, 88.02, 88.46, 89.06, 89.29, 89.64, 90.28, 90.45, 91.03, 91.37, 91.41, 91.95, 92.56, 92.55, 92.63]","[1.8305, 1.5898, 1.4438, 1.3178, 1.1903, 1.1139, 1.0135, 0.96, 0.9332, 0.8901, 0.8544, 0.8046, 0.7966, 0.7703, 0.749, 0.7225, 0.7176, 0.7093, 0.7053, 0.688, 0.676, 0.6504, 0.6496, 0.6454, 0.634, 0.642, 0.6281, 0.6508, 0.6278, 0.6348, 0.6173, 0.6211, 0.6486, 0.6371, 0.6201, 0.6184, 0.6161, 0.6245, 0.6554, 0.6461, 0.6571, 0.6526, 0.6668, 0.6589, 0.6849, 0.6951, 0.6864, 0.6767, 0.6981, 0.6706]","[32.03, 41.8, 47.75, 52.21, 57.24, 60.48, 63.41, 65.99, 67.25, 68.63, 69.94, 71.3, 71.97, 72.71, 73.37, 74.71, 75.0, 75.49, 75.65, 76.15, 76.6, 76.77, 77.62, 77.78, 78.09, 78.3, 78.41, 77.65, 78.44, 79.01, 79.47, 79.43, 79.07, 79.44, 79.48, 80.14, 80.0, 80.26, 79.64, 79.62, 79.36, 80.04, 79.72, 80.08, 80.14, 79.98, 80.12, 80.38, 80.45, 81.01]"
2,"[1.8972, 1.661, 1.4658, 1.3285, 1.2189, 1.1368, 1.0624, 1.0017, 0.9393, 0.8953, 0.8574, 0.8264, 0.7846, 0.751, 0.7241, 0.702, 0.6759, 0.6526, 0.6256, 0.6121, 0.586, 0.571, 0.5458, 0.5338, 0.5185, 0.5022, 0.4829, 0.4741, 0.4517, 0.4323, 0.4234, 0.4065, 0.394, 0.3766, 0.3604, 0.3503, 0.331, 0.3276, 0.315, 0.3016, 0.2921, 0.274, 0.267, 0.2547, 0.2437, 0.2379, 0.2293, 0.2217, 0.2123, 0.2078]","[28.38, 37.86, 46.4, 51.84, 56.03, 59.48, 62.19, 64.43, 66.79, 68.37, 69.7, 70.89, 72.4, 73.67, 74.53, 75.15, 76.14, 77.0, 77.95, 78.55, 79.42, 79.88, 80.71, 81.1, 81.59, 82.24, 82.97, 83.18, 84.0, 84.69, 84.81, 85.59, 86.2, 86.39, 87.05, 87.56, 88.14, 88.48, 88.93, 89.13, 89.57, 90.27, 90.36, 90.94, 91.26, 91.44, 91.72, 91.94, 92.43, 92.5]","[1.8243, 1.6086, 1.4023, 1.2918, 1.1907, 1.1065, 1.0085, 0.9614, 0.9464, 0.9026, 0.8474, 0.8353, 0.7808, 0.7743, 0.7554, 0.7172, 0.7102, 0.7137, 0.6761, 0.6664, 0.6532, 0.6518, 0.6694, 0.6592, 0.6292, 0.6671, 0.6372, 0.6081, 0.6102, 0.6163, 0.6166, 0.6339, 0.6356, 0.6154, 0.6253, 0.6371, 0.6534, 0.6262, 0.6659, 0.6317, 0.6298, 0.6847, 0.6347, 0.6654, 0.6699, 0.7149, 0.7335, 0.684, 0.7291, 0.7162]","[32.48, 41.37, 49.25, 53.08, 57.19, 60.18, 64.43, 66.16, 66.67, 68.5, 69.94, 70.25, 72.12, 72.85, 73.07, 74.57, 75.04, 75.08, 76.26, 76.53, 77.59, 77.62, 76.96, 77.59, 78.29, 77.13, 77.89, 79.27, 78.84, 79.17, 79.2, 78.64, 79.14, 79.87, 79.77, 79.63, 79.47, 79.75, 78.74, 80.06, 80.4, 79.69, 80.47, 79.9, 80.19, 79.39, 78.83, 80.19, 79.28, 79.75]"
3,"[1.8909, 1.6675, 1.4787, 1.3283, 1.2154, 1.1252, 1.0519, 0.9843, 0.9306, 0.8879, 0.85, 0.807, 0.7807, 0.743, 0.7192, 0.6959, 0.6656, 0.6418, 0.6275, 0.602, 0.5789, 0.5572, 0.5472, 0.521, 0.5094, 0.4891, 0.4728, 0.4607, 0.4458, 0.4272, 0.4151, 0.4025, 0.3762, 0.3712, 0.3584, 0.3418, 0.3326, 0.3203, 0.3064, 0.2974, 0.2857, 0.2726, 0.262, 0.2494, 0.2509, 0.2372, 0.2254, 0.2182, 0.2105, 0.2008]","[28.7, 37.47, 45.73, 51.84, 56.13, 59.47, 62.5, 64.77, 67.13, 68.48, 69.94, 71.39, 72.23, 73.68, 74.31, 75.34, 76.47, 77.44, 77.92, 78.74, 79.59, 80.13, 80.61, 81.41, 82.09, 82.61, 83.34, 83.6, 84.03, 84.77, 85.22, 85.58, 86.56, 86.79, 87.28, 87.96, 88.09, 88.55, 89.03, 89.32, 89.93, 90.14, 90.53, 91.08, 90.99, 91.53, 92.02, 92.31, 92.42, 92.76]","[1.8433, 1.6034, 1.4466, 1.3216, 1.1352, 1.0763, 0.9978, 0.9541, 0.901, 0.8689, 0.8219, 0.8169, 0.796, 0.7707, 0.7372, 0.7391, 0.7167, 0.6946, 0.6664, 0.6808, 0.6527, 0.6578, 0.6388, 0.6501, 0.6366, 0.6325, 0.6359, 0.6447, 0.66, 0.621, 0.6361, 0.6201, 0.642, 0.6398, 0.6196, 0.5968, 0.6301, 0.6565, 0.6171, 0.6364, 0.6497, 0.6453, 0.657, 0.6584, 0.6609, 0.6856, 0.7225, 0.7086, 0.6817, 0.7065]","[31.6, 41.2, 47.57, 51.79, 59.21, 61.56, 64.79, 65.8, 68.13, 69.28, 71.02, 71.17, 71.68, 72.97, 74.3, 74.21, 74.31, 75.77, 76.62, 76.16, 76.99, 76.93, 78.13, 77.67, 78.09, 78.46, 78.31, 78.67, 77.93, 79.34, 79.02, 79.14, 78.6, 78.99, 79.9, 80.51, 79.79, 79.79, 80.06, 79.91, 79.5, 79.75, 80.09, 80.52, 80.1, 79.48, 79.3, 80.04, 79.99, 80.15]"
4,"[1.8867, 1.6522, 1.4648, 1.3292, 1.2161, 1.1337, 1.0583, 0.9952, 0.9405, 0.8978, 0.8543, 0.8128, 0.7853, 0.7505, 0.7213, 0.6942, 0.6671, 0.6512, 0.6211, 0.5994, 0.5883, 0.5657, 0.5509, 0.5252, 0.512, 0.4983, 0.4785, 0.4586, 0.442, 0.4296, 0.4132, 0.4023, 0.3816, 0.3711, 0.3586, 0.3441, 0.3374, 0.3208, 0.3068, 0.296, 0.2867, 0.2742, 0.2682, 0.2524, 0.2407, 0.2315, 0.2303, 0.2155, 0.2144, 0.202]","[28.68, 38.64, 46.17, 51.52, 55.68, 59.06, 62.22, 64.28, 66.66, 68.22, 69.54, 71.18, 72.36, 73.64, 74.47, 75.46, 76.33, 77.01, 78.19, 78.83, 79.25, 79.8, 80.54, 81.47, 81.82, 82.27, 83.07, 83.64, 84.24, 84.62, 85.22, 85.83, 86.32, 86.6, 87.12, 87.84, 87.96, 88.5, 89.02, 89.41, 89.8, 90.04, 90.48, 91.02, 91.36, 91.67, 91.68, 92.23, 92.23, 92.88]","[1.8048, 1.6212, 1.4351, 1.2989, 1.1692, 1.0965, 1.0248, 0.9407, 0.9319, 0.8917, 0.8632, 0.8302, 0.7887, 0.791, 0.7397, 0.7484, 0.7256, 0.6972, 0.706, 0.6699, 0.649, 0.6524, 0.6437, 0.6387, 0.6324, 0.6191, 0.6466, 0.6079, 0.6016, 0.6064, 0.6056, 0.6042, 0.6411, 0.6225, 0.6404, 0.618, 0.6252, 0.6104, 0.6557, 0.6474, 0.6578, 0.6475, 0.6877, 0.6512, 0.6877, 0.7322, 0.6705, 0.6643, 0.6755, 0.7408]","[32.82, 40.43, 47.94, 53.44, 58.19, 60.14, 63.24, 66.13, 67.01, 68.13, 69.72, 70.86, 71.69, 71.64, 73.83, 73.62, 75.02, 75.52, 75.43, 76.83, 77.21, 77.34, 77.71, 77.78, 77.93, 78.05, 78.21, 79.16, 79.55, 79.42, 79.6, 79.61, 78.78, 79.84, 78.67, 80.24, 79.71, 80.48, 79.84, 79.33, 80.1, 79.89, 79.55, 80.34, 80.02, 79.64, 80.01, 80.71, 80.81, 79.64]"
5,"[1.8955, 1.6654, 1.4824, 1.3369, 1.2142, 1.1172, 1.0483, 0.9884, 0.9322, 0.8902, 0.8486, 0.8078, 0.772, 0.7445, 0.7156, 0.6891, 0.6718, 0.6407, 0.6188, 0.6039, 0.581, 0.5669, 0.5463, 0.5263, 0.512, 0.4976, 0.4775, 0.4637, 0.4477, 0.4319, 0.4286, 0.4033, 0.3896, 0.3754, 0.3655, 0.347, 0.3387, 0.3196, 0.3102, 0.2912, 0.2874, 0.2759, 0.2672, 0.2524, 0.2419, 0.235, 0.227, 0.2154, 0.2059, 0.2046]","[28.64, 37.69, 45.52, 51.31, 56.24, 59.74, 62.44, 64.88, 66.86, 68.49, 70.08, 71.51, 72.64, 73.79, 74.64, 75.81, 76.14, 77.47, 78.28, 78.68, 79.58, 80.02, 80.7, 81.42, 81.82, 82.52, 83.06, 83.67, 84.13, 84.52, 84.83, 85.7, 86.13, 86.69, 86.96, 87.48, 87.86, 88.52, 88.79, 89.6, 89.69, 90.2, 90.49, 90.9, 91.31, 91.5, 91.9, 92.35, 92.52, 92.56]","[1.8645, 1.6534, 1.4844, 1.2723, 1.1319, 1.0532, 1.0037, 0.9523, 0.9455, 0.8706, 0.8491, 0.8483, 0.7866, 0.7573, 0.7375, 0.732, 0.7126, 0.6916, 0.6928, 0.672, 0.6549, 0.6696, 0.6532, 0.6525, 0.6384, 0.6275, 0.6251, 0.6431, 0.651, 0.6156, 0.6219, 0.607, 0.6299, 0.6139, 0.6264, 0.647, 0.6408, 0.6442, 0.6334, 0.6688, 0.6762, 0.6525, 0.6669, 0.675, 0.6875, 0.6794, 0.6907, 0.7158, 0.6978, 0.7171]","[31.21, 39.41, 46.54, 54.38, 59.02, 62.35, 64.77, 65.6, 66.15, 69.18, 70.1, 70.03, 72.44, 73.66, 74.2, 74.63, 75.42, 76.12, 76.11, 76.66, 77.23, 76.97, 77.37, 77.73, 77.91, 78.67, 78.79, 78.11, 78.04, 79.52, 79.41, 79.85, 79.2, 79.87, 79.73, 79.31, 79.33, 79.34, 79.94, 79.16, 79.65, 79.67, 80.3, 79.54, 79.95, 80.02, 80.31, 79.89, 80.09, 79.56]"
6,"[1.891, 1.6523, 1.4616, 1.3312, 1.231, 1.1449, 1.0758, 0.9997, 0.9508, 0.8969, 0.8494, 0.8116, 0.7828, 0.7496, 0.7214, 0.6939, 0.6697, 0.6475, 0.6261, 0.6103, 0.582, 0.5669, 0.5435, 0.5272, 0.5107, 0.4986, 0.479, 0.4671, 0.449, 0.4334, 0.4134, 0.4012, 0.3864, 0.3682, 0.3572, 0.3479, 0.3353, 0.3189, 0.3054, 0.2944, 0.2818, 0.2732, 0.2582, 0.2565, 0.2385, 0.2331, 0.2198, 0.2166, 0.2047, 0.2015]","[29.08, 38.56, 46.5, 51.4, 55.26, 58.56, 61.36, 64.33, 66.24, 68.25, 70.08, 71.12, 72.26, 73.43, 74.29, 75.28, 76.32, 77.04, 77.71, 78.56, 79.29, 79.98, 80.73, 81.26, 82.02, 82.18, 82.93, 83.43, 84.12, 84.53, 85.15, 85.55, 86.02, 86.83, 87.23, 87.54, 87.98, 88.64, 89.08, 89.49, 89.89, 90.16, 90.65, 90.66, 91.5, 91.72, 92.13, 92.23, 92.69, 92.76]","[1.8074, 1.6013, 1.4662, 1.3054, 1.1932, 1.1033, 1.0186, 0.9425, 0.9069, 0.8891, 0.8411, 0.8268, 0.785, 0.7702, 0.7517, 0.7425, 0.706, 0.6805, 0.6854, 0.6823, 0.6637, 0.6436, 0.6439, 0.6279, 0.6478, 0.6204, 0.6195, 0.6202, 0.6434, 0.611, 0.6269, 0.6258, 0.6366, 0.6288, 0.6266, 0.6202, 0.6358, 0.6404, 0.6581, 0.666, 0.656, 0.6566, 0.6704, 0.6729, 0.6726, 0.6979, 0.6957, 0.7498, 0.7274, 0.7141]","[33.68, 41.81, 46.46, 52.99, 56.84, 60.11, 63.1, 66.03, 67.95, 68.71, 70.37, 70.56, 72.49, 73.06, 73.81, 73.84, 75.5, 75.97, 76.03, 76.22, 77.12, 77.63, 77.75, 78.26, 78.06, 78.67, 78.67, 78.42, 78.41, 79.58, 79.22, 79.37, 79.3, 79.46, 79.4, 80.17, 79.92, 79.73, 79.01, 79.61, 79.83, 79.5, 80.13, 79.64, 79.93, 79.84, 79.88, 79.21, 79.94, 79.75]"
7,"[1.8803, 1.6693, 1.4722, 1.3266, 1.2103, 1.127, 1.0529, 0.9867, 0.9288, 0.8837, 0.8441, 0.8037, 0.7762, 0.7458, 0.7138, 0.6854, 0.6678, 0.6366, 0.6195, 0.5963, 0.5781, 0.5636, 0.5411, 0.5268, 0.5078, 0.4888, 0.4764, 0.4618, 0.4446, 0.4298, 0.4155, 0.396, 0.3838, 0.3679, 0.3638, 0.3423, 0.3348, 0.3241, 0.3087, 0.2986, 0.2868, 0.2729, 0.2662, 0.2539, 0.2459, 0.2349, 0.2267, 0.2201, 0.2108, 0.1983]","[29.55, 37.86, 45.95, 51.83, 56.18, 59.25, 62.36, 64.95, 66.91, 68.52, 70.19, 71.62, 72.59, 73.58, 74.74, 75.68, 76.56, 77.61, 78.15, 79.04, 79.46, 80.03, 80.88, 81.08, 81.91, 82.68, 83.1, 83.7, 84.4, 84.78, 85.11, 85.96, 86.41, 87.05, 87.19, 87.84, 88.17, 88.42, 89.08, 89.29, 89.67, 90.33, 90.56, 90.88, 91.33, 91.4, 91.82, 92.17, 92.55, 92.85]","[1.7657, 1.5365, 1.427, 1.2609, 1.1638, 1.0923, 0.9861, 0.9831, 0.9045, 0.8567, 0.8397, 0.818, 0.7901, 0.743, 0.7543, 0.7603, 0.7125, 0.7192, 0.6936, 0.6625, 0.6571, 0.6528, 0.6418, 0.6214, 0.6325, 0.6267, 0.613, 0.6184, 0.6032, 0.6301, 0.6212, 0.6192, 0.5914, 0.6183, 0.6173, 0.5954, 0.6288, 0.6251, 0.6317, 0.641, 0.63, 0.6408, 0.645, 0.6552, 0.6687, 0.6693, 0.7073, 0.6929, 0.6643, 0.708]","[35.0, 43.15, 48.28, 54.02, 58.41, 60.73, 64.62, 64.82, 67.68, 69.83, 70.3, 71.24, 72.14, 73.7, 73.28, 73.6, 75.32, 74.18, 76.2, 77.3, 77.42, 77.19, 77.84, 78.41, 78.27, 78.83, 78.98, 78.99, 79.42, 78.96, 79.32, 79.47, 80.65, 79.79, 79.68, 80.23, 79.7, 79.63, 80.12, 79.9, 80.7, 80.78, 80.49, 80.39, 79.96, 80.52, 80.18, 80.14, 80.74, 80.31]"
8,"[1.8939, 1.6459, 1.4677, 1.3426, 1.2333, 1.1524, 1.0812, 1.0094, 0.9612, 0.9162, 0.8714, 0.8321, 0.7951, 0.7677, 0.7371, 0.7065, 0.6832, 0.665, 0.6336, 0.6197, 0.5973, 0.5725, 0.5592, 0.5396, 0.5187, 0.5008, 0.4857, 0.4679, 0.4536, 0.4408, 0.4248, 0.4144, 0.3893, 0.3818, 0.3664, 0.3505, 0.3412, 0.3269, 0.3104, 0.3036, 0.2904, 0.2844, 0.2673, 0.2579, 0.2493, 0.2413, 0.2312, 0.2161, 0.2137, 0.2035]","[28.77, 38.59, 46.35, 51.08, 55.51, 58.36, 61.23, 63.96, 65.64, 67.29, 69.18, 70.3, 71.88, 72.95, 73.96, 74.9, 75.89, 76.66, 77.69, 78.28, 78.83, 79.73, 80.3, 80.96, 81.62, 82.17, 82.8, 83.29, 83.79, 84.52, 84.8, 85.35, 86.03, 86.32, 86.94, 87.44, 87.89, 88.29, 88.98, 89.06, 89.56, 89.69, 90.44, 90.8, 91.2, 91.33, 91.76, 92.2, 92.27, 92.57]","[1.8069, 1.6046, 1.4503, 1.2804, 1.1931, 1.134, 1.0366, 0.9791, 0.9341, 0.8803, 0.8364, 0.8098, 0.8302, 0.7661, 0.7696, 0.7822, 0.7461, 0.7305, 0.7062, 0.6856, 0.6767, 0.682, 0.6562, 0.6658, 0.6461, 0.648, 0.631, 0.6283, 0.6326, 0.63, 0.6329, 0.6447, 0.6352, 0.6364, 0.6326, 0.6416, 0.6445, 0.6478, 0.6593, 0.6694, 0.6604, 0.6539, 0.679, 0.6792, 0.6825, 0.6911, 0.6989, 0.7421, 0.7295, 0.7399]","[32.98, 41.58, 46.8, 53.45, 56.63, 58.9, 62.37, 64.89, 66.65, 68.84, 70.47, 71.4, 70.88, 72.87, 73.22, 72.41, 73.65, 74.69, 75.64, 76.31, 76.5, 75.87, 77.46, 77.29, 77.38, 77.73, 78.17, 78.8, 78.24, 78.86, 78.63, 78.68, 79.45, 78.84, 79.49, 79.29, 79.2, 79.23, 79.69, 79.27, 79.76, 79.3, 79.27, 79.45, 79.64, 79.43, 79.96, 79.12, 79.31, 79.86]"
9,"[1.889, 1.6639, 1.4922, 1.3581, 1.2427, 1.1472, 1.0673, 1.0121, 0.9503, 0.9046, 0.8595, 0.8262, 0.7885, 0.7549, 0.7249, 0.6977, 0.6707, 0.6518, 0.631, 0.6121, 0.586, 0.5681, 0.553, 0.5346, 0.5164, 0.4962, 0.4787, 0.4652, 0.4506, 0.4332, 0.4219, 0.4089, 0.3943, 0.3793, 0.362, 0.3438, 0.3332, 0.3284, 0.3144, 0.2955, 0.2868, 0.2748, 0.2675, 0.2574, 0.2509, 0.2381, 0.2306, 0.2176, 0.2164, 0.2027]","[28.82, 37.8, 45.21, 50.52, 55.04, 58.66, 61.77, 63.91, 66.27, 67.89, 69.37, 70.84, 72.11, 73.35, 74.41, 75.47, 76.47, 77.07, 77.71, 78.35, 79.1, 79.96, 80.4, 81.35, 81.84, 82.37, 83.01, 83.49, 83.97, 84.65, 85.16, 85.32, 86.0, 86.54, 87.06, 87.7, 88.16, 88.41, 88.86, 89.39, 89.81, 90.17, 90.28, 90.75, 91.0, 91.56, 91.76, 92.05, 92.26, 92.82]","[1.7766, 1.6152, 1.4918, 1.3126, 1.1873, 1.0813, 1.0638, 0.9697, 0.9292, 0.8996, 0.8418, 0.8293, 0.8156, 0.7559, 0.7549, 0.7492, 0.716, 0.7059, 0.7178, 0.6609, 0.6897, 0.6415, 0.6511, 0.6526, 0.643, 0.6183, 0.6503, 0.6, 0.6224, 0.6187, 0.6317, 0.6166, 0.6328, 0.6203, 0.6724, 0.6244, 0.6325, 0.6317, 0.6339, 0.6315, 0.6257, 0.665, 0.6362, 0.6713, 0.6688, 0.6768, 0.6909, 0.6809, 0.6785, 0.7306]","[34.69, 40.68, 46.43, 52.2, 56.52, 61.15, 61.66, 65.57, 67.24, 68.52, 70.64, 71.03, 71.55, 73.11, 73.17, 73.76, 75.19, 75.13, 75.28, 77.21, 76.2, 77.76, 77.95, 77.74, 78.24, 78.83, 78.19, 79.24, 79.08, 79.34, 79.31, 79.21, 78.87, 79.77, 78.54, 79.53, 79.63, 79.88, 79.59, 80.18, 81.08, 79.94, 80.57, 79.58, 79.86, 79.84, 80.14, 79.99, 80.13, 79.17]"
