seed,train_loss,train_acc,valid_loss,valid_acc
0,"[1.8969, 1.672, 1.509, 1.393, 1.2805, 1.1978, 1.1096, 1.0408, 0.99, 0.9318, 0.8891, 0.851, 0.8136, 0.7808, 0.7505, 0.7198, 0.6987, 0.6685, 0.6487, 0.6286, 0.6082, 0.5919, 0.5687, 0.5574, 0.5365, 0.5179, 0.5013, 0.4804, 0.4652, 0.4494, 0.4453, 0.4198, 0.4054, 0.3967, 0.3784, 0.3671, 0.3607, 0.3382, 0.3302, 0.3164, 0.3032, 0.2935, 0.2894, 0.2702, 0.2603, 0.2541, 0.2434, 0.2383, 0.2236, 0.2172]","[28.66, 37.21, 44.41, 49.07, 53.32, 56.62, 60.11, 62.97, 64.56, 66.86, 68.23, 69.79, 71.31, 72.4, 73.4, 74.66, 75.32, 76.6, 77.03, 77.82, 78.6, 78.99, 79.97, 80.14, 80.81, 81.54, 82.26, 82.93, 83.57, 84.08, 84.2, 84.99, 85.5, 85.88, 86.38, 86.91, 86.95, 87.8, 88.15, 88.6, 89.05, 89.42, 89.73, 90.3, 90.67, 90.84, 91.11, 91.56, 91.86, 92.18]","[1.7767, 1.628, 1.4913, 1.3196, 1.2244, 1.1507, 1.0405, 1.0084, 0.9734, 0.9013, 0.8862, 0.8562, 0.8223, 0.7983, 0.7788, 0.7254, 0.727, 0.7224, 0.6893, 0.6782, 0.7233, 0.7092, 0.6662, 0.6335, 0.6424, 0.6253, 0.6404, 0.6155, 0.6348, 0.6226, 0.6199, 0.6297, 0.6134, 0.6203, 0.644, 0.6129, 0.6044, 0.6371, 0.639, 0.627, 0.6281, 0.6494, 0.6442, 0.6805, 0.6539, 0.6772, 0.6935, 0.6806, 0.7055, 0.7435]","[32.94, 39.32, 45.85, 52.1, 55.54, 58.91, 62.28, 63.61, 65.14, 67.39, 68.31, 69.65, 70.98, 72.32, 72.61, 74.74, 74.33, 74.81, 76.2, 76.29, 74.97, 75.47, 76.66, 78.25, 77.69, 78.01, 77.64, 78.99, 78.29, 79.41, 79.6, 78.78, 79.34, 79.22, 79.07, 79.79, 79.86, 79.82, 79.33, 79.42, 80.27, 79.48, 80.08, 79.38, 80.16, 79.64, 79.26, 79.88, 79.7, 79.9]"
1,"[1.9, 1.6864, 1.5203, 1.3908, 1.3013, 1.2033, 1.1205, 1.0574, 0.9933, 0.945, 0.9001, 0.8576, 0.8271, 0.7939, 0.7674, 0.7363, 0.7055, 0.6819, 0.6587, 0.6396, 0.6253, 0.601, 0.5855, 0.5661, 0.5469, 0.5273, 0.5154, 0.4992, 0.4888, 0.4654, 0.4489, 0.4404, 0.4308, 0.4029, 0.3968, 0.3851, 0.3678, 0.3551, 0.3455, 0.3316, 0.3232, 0.3066, 0.3, 0.2808, 0.2791, 0.26, 0.2542, 0.2414, 0.235, 0.2223]","[27.98, 36.14, 44.03, 48.95, 52.51, 56.45, 59.53, 61.82, 64.36, 66.35, 67.9, 69.37, 70.99, 72.0, 73.02, 74.18, 75.16, 76.07, 76.98, 77.47, 78.0, 78.77, 79.39, 79.88, 80.66, 81.29, 81.69, 82.33, 82.64, 83.76, 84.08, 84.49, 84.73, 85.71, 85.89, 86.34, 87.03, 87.27, 87.62, 88.13, 88.52, 89.05, 89.39, 89.82, 90.01, 90.5, 90.74, 91.33, 91.53, 92.06]","[1.8401, 1.6065, 1.4955, 1.381, 1.2554, 1.1811, 1.0633, 0.9862, 0.9348, 0.9201, 0.8783, 0.8637, 0.8229, 0.7961, 0.8112, 0.7485, 0.7545, 0.7286, 0.7275, 0.6797, 0.7089, 0.664, 0.6783, 0.6568, 0.6585, 0.6763, 0.6452, 0.6284, 0.6308, 0.6388, 0.6418, 0.6302, 0.6583, 0.6235, 0.6442, 0.646, 0.6371, 0.6461, 0.6531, 0.6435, 0.6746, 0.6829, 0.6653, 0.6716, 0.6758, 0.7215, 0.712, 0.6757, 0.7214, 0.7276]","[31.38, 40.75, 45.47, 50.06, 54.29, 57.7, 61.59, 64.61, 66.57, 67.34, 68.52, 69.34, 71.22, 71.91, 71.51, 73.53, 73.7, 74.53, 75.36, 76.51, 74.88, 77.27, 76.96, 77.23, 77.3, 77.24, 77.47, 78.65, 78.46, 78.4, 78.4, 79.11, 78.25, 79.21, 78.91, 78.65, 79.37, 79.13, 79.59, 79.5, 78.96, 78.94, 79.19, 79.19, 79.62, 78.84, 79.23, 79.97, 79.13, 79.16]"
2,"[1.9078, 1.6883, 1.5232, 1.3906, 1.2855, 1.196, 1.1153, 1.0439, 0.9815, 0.9351, 0.8909, 0.8534, 0.818, 0.7833, 0.7528, 0.7252, 0.6956, 0.6781, 0.6549, 0.6362, 0.613, 0.5947, 0.5743, 0.5582, 0.5343, 0.5234, 0.509, 0.4865, 0.4725, 0.4613, 0.4438, 0.4317, 0.4206, 0.4032, 0.3855, 0.3749, 0.3633, 0.3441, 0.3343, 0.3217, 0.3109, 0.2956, 0.2946, 0.2781, 0.2685, 0.2565, 0.2517, 0.2328, 0.228, 0.2199]","[27.9, 36.49, 43.82, 49.39, 53.48, 57.1, 60.04, 62.68, 65.06, 66.66, 68.39, 69.61, 71.12, 72.47, 73.56, 74.26, 75.33, 76.02, 77.06, 77.51, 78.46, 78.98, 79.59, 80.1, 81.29, 81.47, 82.06, 82.82, 83.24, 83.54, 84.15, 84.8, 85.01, 85.53, 86.16, 86.75, 87.09, 87.65, 87.92, 88.28, 88.78, 89.3, 89.41, 90.11, 90.48, 90.68, 91.08, 91.67, 91.83, 92.02]","[1.8058, 1.6592, 1.4599, 1.3746, 1.2691, 1.1375, 1.0663, 0.9871, 0.9606, 0.9312, 0.8691, 0.8886, 0.8146, 0.7741, 0.8064, 0.7364, 0.7434, 0.7085, 0.7112, 0.6741, 0.6801, 0.6671, 0.6735, 0.664, 0.6645, 0.6417, 0.6785, 0.6299, 0.6614, 0.6331, 0.6386, 0.6318, 0.7039, 0.6466, 0.6277, 0.6449, 0.658, 0.6463, 0.6461, 0.654, 0.6684, 0.6667, 0.7014, 0.7066, 0.7036, 0.7066, 0.6975, 0.7188, 0.7244, 0.6985]","[33.33, 39.18, 47.32, 49.61, 53.92, 59.06, 61.47, 64.49, 65.98, 67.48, 69.29, 68.16, 71.17, 72.72, 71.91, 74.19, 74.05, 75.05, 75.48, 76.17, 76.36, 77.01, 77.0, 77.12, 77.22, 78.02, 76.68, 78.64, 77.34, 78.19, 78.78, 78.89, 76.46, 78.97, 79.44, 78.43, 78.59, 79.23, 79.32, 79.26, 79.47, 79.52, 79.22, 78.81, 78.71, 78.57, 79.49, 79.42, 79.62, 79.74]"
3,"[1.8991, 1.6891, 1.5212, 1.3734, 1.2599, 1.1614, 1.0847, 1.016, 0.9625, 0.918, 0.8776, 0.8346, 0.8051, 0.7643, 0.7382, 0.7159, 0.6906, 0.6662, 0.6419, 0.616, 0.603, 0.5779, 0.5643, 0.5494, 0.5274, 0.5167, 0.5041, 0.4802, 0.4663, 0.4512, 0.4376, 0.4256, 0.4075, 0.398, 0.3853, 0.3628, 0.3548, 0.3469, 0.3288, 0.3211, 0.3086, 0.2993, 0.2949, 0.273, 0.2681, 0.2537, 0.2477, 0.2399, 0.2274, 0.2172]","[28.47, 36.45, 43.98, 50.08, 53.91, 58.02, 61.43, 63.54, 65.95, 67.42, 69.09, 70.53, 71.24, 73.1, 73.87, 74.63, 75.82, 76.42, 77.14, 78.4, 78.74, 79.66, 79.97, 80.42, 81.36, 81.71, 82.18, 82.87, 83.5, 83.88, 84.42, 84.96, 85.43, 85.77, 86.12, 87.05, 87.41, 87.54, 88.32, 88.52, 88.85, 89.43, 89.46, 90.17, 90.45, 90.94, 91.14, 91.54, 91.95, 92.23]","[1.8523, 1.638, 1.4946, 1.4112, 1.2152, 1.1086, 1.0378, 0.9665, 0.9281, 0.9011, 0.8478, 0.8252, 0.8047, 0.7761, 0.7512, 0.7447, 0.733, 0.7068, 0.6815, 0.7024, 0.6631, 0.6743, 0.6443, 0.6522, 0.6343, 0.6393, 0.6403, 0.6357, 0.6297, 0.6487, 0.6406, 0.6298, 0.6235, 0.6302, 0.6311, 0.634, 0.652, 0.6506, 0.6498, 0.6736, 0.6515, 0.6718, 0.7052, 0.7045, 0.6978, 0.6912, 0.7115, 0.6904, 0.6948, 0.7329]","[30.88, 39.1, 45.89, 48.81, 56.33, 60.15, 62.86, 65.18, 66.62, 67.48, 69.9, 70.73, 71.65, 72.26, 73.68, 74.07, 74.33, 75.28, 76.44, 74.83, 77.08, 77.01, 77.82, 77.43, 78.41, 78.34, 78.36, 78.17, 78.87, 78.28, 78.34, 78.8, 78.68, 79.38, 79.44, 79.54, 79.18, 78.96, 79.39, 79.16, 79.74, 79.69, 78.72, 79.44, 78.98, 79.3, 79.34, 80.15, 80.1, 79.22]"
4,"[1.8938, 1.6831, 1.5071, 1.3683, 1.2505, 1.1647, 1.0837, 1.0166, 0.9665, 0.9235, 0.8806, 0.8389, 0.8078, 0.7744, 0.7482, 0.7179, 0.6948, 0.6735, 0.6456, 0.6293, 0.6098, 0.5923, 0.5717, 0.5524, 0.5427, 0.5189, 0.5016, 0.4862, 0.4742, 0.4618, 0.4456, 0.428, 0.4102, 0.3984, 0.3907, 0.3741, 0.3648, 0.3421, 0.3311, 0.3211, 0.316, 0.2938, 0.2849, 0.2759, 0.264, 0.2577, 0.25, 0.2321, 0.2337, 0.2253]","[28.35, 37.09, 44.79, 50.38, 54.66, 57.8, 61.1, 63.57, 65.6, 67.24, 68.68, 70.17, 71.51, 72.63, 73.56, 74.8, 75.69, 76.28, 77.12, 77.74, 78.64, 79.04, 79.8, 80.31, 80.85, 81.69, 82.2, 82.71, 83.07, 83.56, 84.29, 84.82, 85.38, 85.7, 86.13, 86.67, 86.87, 87.58, 88.2, 88.64, 88.67, 89.6, 89.78, 90.1, 90.56, 90.74, 91.11, 91.69, 91.66, 91.94]","[1.8112, 1.6663, 1.4841, 1.3206, 1.2647, 1.1165, 1.0438, 0.9554, 0.9741, 0.8835, 0.8872, 0.8474, 0.8037, 0.7968, 0.7692, 0.7513, 0.7136, 0.7163, 0.7223, 0.7047, 0.6703, 0.6486, 0.6358, 0.6358, 0.6196, 0.639, 0.6398, 0.6117, 0.6067, 0.6215, 0.6248, 0.6221, 0.6284, 0.6394, 0.6527, 0.6299, 0.6313, 0.6272, 0.6328, 0.6605, 0.6284, 0.6635, 0.649, 0.6825, 0.6691, 0.6982, 0.6906, 0.725, 0.7048, 0.6981]","[32.51, 39.36, 45.68, 52.01, 54.54, 59.69, 61.93, 65.9, 65.28, 68.56, 68.63, 70.3, 71.59, 71.65, 72.9, 73.47, 75.37, 74.7, 74.92, 75.68, 76.53, 77.08, 77.65, 77.79, 78.5, 77.79, 78.24, 79.08, 79.01, 78.66, 78.48, 78.98, 78.97, 78.89, 78.92, 79.81, 79.4, 79.81, 80.04, 79.48, 79.98, 79.97, 79.98, 79.42, 80.16, 79.32, 79.33, 79.64, 79.71, 79.69]"
5,"[1.9064, 1.6892, 1.5354, 1.3975, 1.2783, 1.1791, 1.0945, 1.0296, 0.9748, 0.9315, 0.8782, 0.8412, 0.8095, 0.7811, 0.7487, 0.7239, 0.6954, 0.6816, 0.6546, 0.6314, 0.6116, 0.5922, 0.5786, 0.5582, 0.5357, 0.5207, 0.5104, 0.4849, 0.4759, 0.4571, 0.4419, 0.4317, 0.4073, 0.4009, 0.3869, 0.3706, 0.353, 0.3466, 0.3315, 0.319, 0.3102, 0.2964, 0.2804, 0.2753, 0.2613, 0.2543, 0.2416, 0.2346, 0.2248, 0.2146]","[28.03, 36.34, 43.35, 48.74, 53.41, 57.35, 60.9, 63.28, 65.2, 66.83, 68.92, 70.2, 71.4, 72.32, 73.55, 74.65, 75.44, 75.94, 76.96, 77.97, 78.36, 79.26, 79.59, 80.3, 81.14, 81.62, 81.87, 82.79, 83.07, 83.9, 84.29, 84.76, 85.39, 85.79, 86.25, 86.78, 87.36, 87.72, 88.11, 88.55, 88.88, 89.36, 90.09, 90.27, 90.61, 90.85, 91.42, 91.72, 92.0, 92.29]","[1.875, 1.6837, 1.5278, 1.3518, 1.215, 1.1316, 1.0538, 1.0126, 0.9687, 0.9, 0.8473, 0.8532, 0.808, 0.7909, 0.7653, 0.7314, 0.7349, 0.712, 0.6949, 0.7086, 0.675, 0.6755, 0.6627, 0.6517, 0.636, 0.669, 0.6439, 0.6442, 0.6691, 0.6325, 0.6499, 0.6123, 0.6457, 0.6371, 0.6169, 0.6497, 0.6517, 0.6674, 0.6465, 0.6476, 0.6541, 0.6533, 0.7025, 0.6913, 0.6866, 0.6743, 0.6788, 0.7109, 0.7137, 0.7028]","[30.23, 38.79, 45.31, 50.3, 56.12, 60.24, 62.79, 64.4, 65.32, 68.64, 69.97, 70.06, 70.9, 72.21, 73.47, 74.27, 74.32, 75.27, 76.02, 74.99, 76.36, 76.62, 76.94, 77.61, 77.8, 77.04, 77.73, 78.4, 77.11, 78.62, 78.58, 79.36, 78.32, 78.93, 79.55, 79.06, 78.94, 78.83, 79.71, 79.03, 79.65, 79.26, 79.38, 79.24, 79.57, 79.66, 80.15, 79.58, 79.82, 79.82]"
6,"[1.9001, 1.6781, 1.5009, 1.3634, 1.2672, 1.1762, 1.1012, 1.0362, 0.9817, 0.9305, 0.8805, 0.845, 0.8118, 0.7828, 0.7526, 0.7267, 0.7011, 0.6799, 0.6514, 0.6292, 0.6116, 0.5885, 0.5827, 0.5611, 0.5392, 0.5282, 0.5101, 0.4915, 0.4776, 0.4545, 0.4415, 0.4303, 0.4121, 0.3936, 0.3853, 0.3752, 0.3612, 0.34, 0.3312, 0.318, 0.3042, 0.2931, 0.2783, 0.2687, 0.2637, 0.2488, 0.2413, 0.2298, 0.2218, 0.2156]","[28.71, 37.15, 44.96, 50.29, 53.78, 57.74, 60.48, 63.1, 65.22, 66.77, 68.8, 70.09, 71.19, 72.4, 73.34, 74.16, 75.27, 75.97, 77.08, 77.98, 78.3, 79.29, 79.37, 80.14, 80.85, 81.2, 81.79, 82.74, 83.0, 83.67, 84.33, 84.56, 85.21, 86.0, 86.22, 86.53, 87.05, 87.76, 88.16, 88.47, 88.98, 89.28, 90.02, 90.26, 90.45, 91.15, 91.33, 91.79, 92.14, 92.17]","[1.7912, 1.6527, 1.5449, 1.3332, 1.299, 1.1629, 1.0703, 0.9725, 0.9549, 0.8841, 0.8848, 0.8398, 0.8153, 0.7977, 0.7561, 0.7587, 0.7414, 0.7069, 0.692, 0.6961, 0.6714, 0.7075, 0.6763, 0.6488, 0.6596, 0.6434, 0.67, 0.6477, 0.6401, 0.6413, 0.6465, 0.6297, 0.6448, 0.6422, 0.6601, 0.6501, 0.6602, 0.6751, 0.6696, 0.6427, 0.6865, 0.6649, 0.6958, 0.7125, 0.6731, 0.6916, 0.7178, 0.7146, 0.7354, 0.7313]","[33.0, 39.97, 44.04, 51.91, 53.35, 57.96, 62.56, 65.33, 66.05, 68.98, 68.82, 70.37, 71.51, 72.02, 73.53, 73.55, 74.24, 75.24, 75.53, 75.73, 76.3, 75.8, 76.2, 77.53, 77.46, 77.83, 77.04, 77.95, 78.28, 78.55, 78.3, 78.63, 78.9, 78.92, 77.91, 78.71, 78.38, 78.58, 79.57, 79.55, 79.26, 79.56, 79.2, 78.4, 79.47, 79.64, 79.54, 79.07, 79.14, 79.99]"
7,"[1.8867, 1.6936, 1.5393, 1.3939, 1.2789, 1.1833, 1.1083, 1.0351, 0.9769, 0.9244, 0.8775, 0.8417, 0.8067, 0.778, 0.7433, 0.7153, 0.6917, 0.6656, 0.648, 0.6247, 0.6014, 0.5901, 0.5648, 0.5507, 0.5319, 0.5188, 0.4941, 0.4863, 0.4627, 0.4513, 0.4371, 0.421, 0.4085, 0.3882, 0.3821, 0.368, 0.3588, 0.3422, 0.3261, 0.3145, 0.3038, 0.2904, 0.2831, 0.2731, 0.2611, 0.2514, 0.2415, 0.2336, 0.2262, 0.2132]","[29.07, 36.84, 43.37, 49.03, 53.32, 57.13, 60.04, 63.11, 65.1, 67.11, 68.85, 70.12, 71.4, 72.49, 73.53, 74.85, 75.59, 76.43, 77.02, 77.96, 78.78, 79.37, 80.16, 80.46, 81.12, 81.56, 82.5, 82.93, 83.67, 83.99, 84.5, 85.05, 85.48, 86.17, 86.44, 86.88, 87.24, 87.61, 88.34, 88.9, 89.29, 89.61, 89.77, 90.37, 90.65, 91.02, 91.35, 91.71, 91.74, 92.38]","[1.7765, 1.6295, 1.4597, 1.3431, 1.2463, 1.1403, 1.0592, 1.0167, 0.9518, 0.9052, 0.8764, 0.8646, 0.8192, 0.7923, 0.767, 0.7692, 0.7299, 0.7159, 0.6816, 0.6696, 0.6565, 0.6599, 0.654, 0.6461, 0.6423, 0.6334, 0.6391, 0.6319, 0.5959, 0.6396, 0.5912, 0.5997, 0.6138, 0.5957, 0.6324, 0.6187, 0.6292, 0.6082, 0.6196, 0.6479, 0.6311, 0.6389, 0.6561, 0.6386, 0.6703, 0.6458, 0.6875, 0.6647, 0.6651, 0.716]","[34.56, 39.41, 46.69, 51.48, 55.19, 58.49, 61.71, 63.92, 65.93, 68.02, 68.98, 69.55, 71.1, 72.22, 72.9, 72.63, 75.04, 75.34, 76.28, 77.37, 77.62, 77.08, 77.27, 77.55, 78.16, 78.09, 78.34, 78.38, 79.51, 78.41, 80.29, 79.65, 80.15, 80.26, 79.09, 79.81, 79.61, 79.9, 80.0, 79.77, 80.01, 80.42, 80.06, 80.13, 80.04, 80.43, 80.1, 80.61, 80.21, 80.33]"
8,"[1.9127, 1.6873, 1.528, 1.394, 1.3019, 1.2131, 1.1382, 1.0635, 1.0089, 0.9663, 0.9176, 0.8752, 0.8367, 0.8049, 0.7732, 0.7429, 0.7159, 0.6966, 0.6742, 0.6502, 0.631, 0.6041, 0.5903, 0.5692, 0.5547, 0.5335, 0.5178, 0.5017, 0.4909, 0.4774, 0.4593, 0.4467, 0.4251, 0.4133, 0.4034, 0.3873, 0.3729, 0.3605, 0.3461, 0.3381, 0.3279, 0.3138, 0.2944, 0.2923, 0.2744, 0.2709, 0.2575, 0.2465, 0.2383, 0.231]","[27.86, 36.48, 43.82, 49.09, 52.54, 56.07, 59.0, 61.83, 63.86, 65.63, 67.46, 68.82, 70.53, 71.54, 72.62, 73.79, 74.7, 75.36, 76.28, 77.16, 77.66, 78.57, 79.28, 79.79, 80.39, 81.02, 81.81, 82.19, 82.54, 83.08, 83.82, 84.05, 84.66, 85.18, 85.58, 86.2, 86.74, 87.14, 87.68, 87.88, 88.08, 88.87, 89.47, 89.62, 90.12, 90.35, 90.69, 91.01, 91.43, 91.7]","[1.8025, 1.6601, 1.4968, 1.3638, 1.2695, 1.178, 1.0854, 1.0117, 0.9938, 0.9255, 0.9104, 0.8749, 0.8302, 0.8001, 0.7833, 0.7873, 0.7583, 0.7352, 0.7293, 0.6975, 0.6901, 0.6877, 0.6876, 0.685, 0.6512, 0.6738, 0.6361, 0.653, 0.6263, 0.645, 0.6327, 0.6452, 0.641, 0.6339, 0.6385, 0.6598, 0.6633, 0.6413, 0.6822, 0.6774, 0.6387, 0.6679, 0.6777, 0.7181, 0.6682, 0.6946, 0.7095, 0.713, 0.7221, 0.7565]","[32.65, 39.81, 45.99, 50.38, 54.47, 57.69, 60.99, 63.79, 64.43, 67.19, 67.75, 68.89, 70.67, 71.65, 71.97, 72.08, 73.22, 74.2, 74.44, 75.93, 75.6, 75.81, 76.28, 76.2, 77.21, 76.58, 78.16, 77.52, 78.48, 78.11, 78.65, 78.31, 78.55, 78.9, 78.67, 78.45, 78.49, 79.26, 78.47, 78.25, 79.3, 79.02, 78.66, 77.61, 79.64, 79.42, 78.87, 79.1, 79.35, 78.03]"
9,"[1.8954, 1.6788, 1.53, 1.3958, 1.278, 1.1861, 1.1071, 1.0416, 0.9865, 0.935, 0.8971, 0.8594, 0.8228, 0.7909, 0.7553, 0.7327, 0.7009, 0.6817, 0.6617, 0.6389, 0.6214, 0.6007, 0.5866, 0.5642, 0.5449, 0.5316, 0.5152, 0.4937, 0.4798, 0.4653, 0.447, 0.4384, 0.426, 0.4121, 0.395, 0.379, 0.3677, 0.3557, 0.3472, 0.3287, 0.322, 0.3035, 0.2949, 0.292, 0.2765, 0.2682, 0.2531, 0.2527, 0.2343, 0.2302]","[28.33, 37.0, 43.88, 49.09, 53.4, 57.17, 60.09, 62.9, 64.93, 66.74, 68.42, 69.7, 70.87, 71.98, 73.48, 73.99, 75.21, 75.79, 76.65, 77.27, 78.07, 78.66, 79.22, 80.08, 80.62, 81.04, 81.72, 82.41, 82.8, 83.6, 84.22, 84.3, 84.73, 85.28, 85.83, 86.4, 86.84, 87.42, 87.62, 88.24, 88.46, 89.12, 89.47, 89.6, 90.12, 90.47, 91.0, 90.78, 91.52, 91.82]","[1.7867, 1.6454, 1.5061, 1.3776, 1.2297, 1.1386, 1.0551, 1.0044, 0.9383, 0.9242, 0.8612, 0.8571, 0.8481, 0.8072, 0.7689, 0.7448, 0.7467, 0.7152, 0.7169, 0.6808, 0.6962, 0.6923, 0.6618, 0.6781, 0.6555, 0.6568, 0.6715, 0.6466, 0.6488, 0.6223, 0.6436, 0.6427, 0.6168, 0.6092, 0.6381, 0.6484, 0.6609, 0.66, 0.6545, 0.6526, 0.638, 0.6527, 0.6351, 0.6803, 0.6804, 0.6672, 0.6922, 0.6723, 0.6717, 0.6987]","[34.05, 38.92, 45.61, 49.89, 55.42, 59.05, 62.37, 64.18, 66.75, 67.14, 69.08, 69.91, 70.26, 71.09, 72.87, 73.38, 73.55, 74.67, 74.96, 76.18, 75.44, 75.61, 76.92, 76.18, 77.76, 77.72, 77.36, 78.3, 77.55, 78.46, 77.99, 78.36, 78.79, 79.37, 78.93, 78.48, 78.4, 78.91, 78.73, 78.52, 79.71, 79.74, 80.02, 79.37, 79.26, 79.47, 79.62, 79.69, 79.83, 79.79]"
