seed,train_loss,train_acc,valid_loss,valid_acc
0,"[1.8647, 1.5959, 1.3903, 1.2678, 1.1643, 1.0907, 1.0203, 0.9582, 0.9171, 0.8613, 0.8192, 0.7915, 0.7543, 0.7193, 0.6983, 0.6727, 0.6485, 0.6209, 0.6024, 0.581, 0.5583, 0.5413, 0.5203, 0.4971, 0.4848, 0.4694, 0.4471, 0.4295, 0.417, 0.4001, 0.3866, 0.3683, 0.3612, 0.3417, 0.3264, 0.3119, 0.3055, 0.2918, 0.2819, 0.2643, 0.2523, 0.2416, 0.2394, 0.2247, 0.216, 0.2081, 0.1928, 0.1921, 0.1896, 0.1761]","[29.87, 40.6, 49.23, 53.65, 57.6, 60.58, 63.7, 66.06, 67.43, 69.4, 70.85, 72.0, 73.53, 74.52, 75.21, 76.23, 76.69, 78.05, 78.43, 79.46, 80.42, 80.9, 81.7, 82.29, 82.89, 83.27, 83.97, 84.78, 85.14, 85.74, 86.15, 86.95, 87.09, 87.83, 88.34, 88.84, 88.98, 89.58, 89.9, 90.59, 91.01, 91.45, 91.46, 91.94, 92.16, 92.54, 93.12, 93.02, 93.26, 93.61]","[1.7761, 1.552, 1.3657, 1.2222, 1.1468, 1.0551, 0.9774, 0.9629, 0.9, 0.8312, 0.8212, 0.7843, 0.7802, 0.7451, 0.7459, 0.7005, 0.6892, 0.702, 0.69, 0.6733, 0.6647, 0.6714, 0.694, 0.6371, 0.6528, 0.6182, 0.6272, 0.6597, 0.6658, 0.6117, 0.6093, 0.6328, 0.6346, 0.6506, 0.6633, 0.6532, 0.6384, 0.6901, 0.6814, 0.6853, 0.6775, 0.748, 0.7044, 0.7221, 0.7187, 0.7174, 0.7668, 0.7273, 0.7303, 0.7511]","[33.27, 43.16, 50.52, 55.98, 58.88, 62.29, 65.19, 66.05, 68.07, 70.89, 70.98, 72.61, 72.41, 73.8, 73.98, 75.58, 75.49, 75.4, 76.15, 76.62, 76.94, 76.66, 76.03, 77.82, 77.75, 78.68, 78.87, 78.13, 77.51, 79.72, 79.63, 78.98, 79.44, 79.16, 79.16, 79.52, 79.8, 78.98, 79.3, 79.6, 79.71, 78.39, 79.39, 79.13, 79.35, 79.58, 78.98, 80.1, 79.29, 79.29]"
1,"[1.8671, 1.6017, 1.405, 1.2669, 1.1733, 1.0888, 1.0215, 0.9678, 0.9154, 0.8744, 0.8334, 0.7919, 0.7626, 0.7349, 0.7077, 0.6798, 0.652, 0.6302, 0.6168, 0.5925, 0.5732, 0.5538, 0.5334, 0.5158, 0.4958, 0.481, 0.4674, 0.4466, 0.4321, 0.4152, 0.4021, 0.3825, 0.3703, 0.353, 0.3418, 0.3304, 0.3116, 0.3026, 0.2924, 0.2794, 0.2683, 0.2551, 0.251, 0.2398, 0.222, 0.2194, 0.2098, 0.2079, 0.1903, 0.1871]","[29.67, 40.41, 48.36, 54.12, 57.52, 60.87, 63.52, 65.54, 67.7, 69.01, 70.43, 72.03, 73.02, 74.12, 75.02, 75.97, 76.93, 77.51, 78.1, 79.15, 79.75, 80.28, 81.1, 81.7, 82.47, 82.82, 83.12, 84.08, 84.57, 85.08, 85.74, 86.32, 86.87, 87.2, 87.72, 88.08, 88.91, 88.91, 89.44, 89.94, 90.37, 90.8, 90.89, 91.42, 92.07, 92.08, 92.56, 92.55, 93.2, 93.34]","[1.7979, 1.5104, 1.3225, 1.2462, 1.1298, 1.0445, 0.9736, 0.9313, 0.915, 0.8774, 0.8345, 0.8038, 0.7788, 0.75, 0.7454, 0.7292, 0.7225, 0.7021, 0.7039, 0.6693, 0.6504, 0.6393, 0.6566, 0.6617, 0.643, 0.6454, 0.6525, 0.6317, 0.6323, 0.63, 0.6569, 0.6309, 0.6722, 0.6691, 0.6567, 0.6383, 0.6585, 0.7174, 0.6919, 0.7179, 0.6793, 0.7174, 0.696, 0.7198, 0.7255, 0.7393, 0.7709, 0.7223, 0.7635, 0.796]","[33.21, 45.41, 52.07, 54.6, 59.81, 63.25, 65.51, 66.93, 67.39, 69.01, 70.31, 71.68, 72.39, 73.64, 73.3, 73.86, 75.01, 75.73, 75.78, 77.06, 77.24, 77.71, 77.27, 76.66, 78.24, 78.32, 77.85, 78.48, 78.43, 78.99, 78.47, 79.77, 78.69, 78.62, 79.22, 79.77, 79.45, 78.2, 79.26, 78.7, 80.09, 78.99, 79.82, 79.34, 80.01, 79.12, 78.62, 80.02, 79.5, 79.34]"
2,"[1.866, 1.5842, 1.387, 1.2542, 1.1594, 1.0769, 1.0149, 0.9592, 0.9088, 0.8669, 0.8311, 0.793, 0.7555, 0.7317, 0.7019, 0.6747, 0.6545, 0.627, 0.6061, 0.5864, 0.5669, 0.5459, 0.5282, 0.5106, 0.489, 0.4759, 0.454, 0.4467, 0.4278, 0.4132, 0.3916, 0.3851, 0.3668, 0.3571, 0.3394, 0.3281, 0.311, 0.3033, 0.2907, 0.2776, 0.2688, 0.2509, 0.2484, 0.2395, 0.2295, 0.2223, 0.2135, 0.1999, 0.1973, 0.1881]","[29.99, 41.31, 49.14, 54.39, 58.2, 61.51, 63.84, 65.89, 67.8, 69.25, 70.53, 71.9, 73.27, 74.02, 75.02, 76.31, 76.75, 77.81, 78.47, 79.09, 80.05, 80.48, 81.4, 81.85, 82.54, 83.16, 84.1, 84.04, 84.78, 85.28, 86.05, 86.27, 86.86, 87.32, 87.93, 88.18, 88.91, 89.16, 89.71, 90.13, 90.35, 91.06, 91.24, 91.43, 91.77, 92.04, 92.41, 92.8, 92.92, 93.27]","[1.7467, 1.5159, 1.3419, 1.2159, 1.1166, 1.0681, 1.0045, 0.9363, 0.9168, 0.8695, 0.8143, 0.8417, 0.793, 0.7513, 0.7598, 0.7112, 0.7048, 0.6961, 0.6865, 0.662, 0.6836, 0.657, 0.6522, 0.6298, 0.6429, 0.6311, 0.6223, 0.6283, 0.5987, 0.6303, 0.6242, 0.6156, 0.6236, 0.6668, 0.6228, 0.6301, 0.6449, 0.6244, 0.6708, 0.6547, 0.6643, 0.6785, 0.6816, 0.6977, 0.7102, 0.6524, 0.7008, 0.6592, 0.7224, 0.7099]","[35.76, 44.53, 51.51, 55.67, 59.91, 61.99, 64.0, 66.87, 67.81, 69.61, 70.88, 70.21, 72.3, 73.83, 73.64, 75.06, 75.34, 75.56, 76.01, 77.34, 75.99, 77.21, 77.72, 78.65, 78.15, 78.37, 78.81, 78.62, 79.54, 78.5, 79.55, 79.72, 79.22, 79.19, 80.15, 79.59, 79.35, 80.08, 80.01, 80.21, 80.42, 79.94, 79.38, 79.6, 79.62, 81.28, 79.91, 81.29, 79.86, 80.28]"
3,"[1.8639, 1.6018, 1.397, 1.2659, 1.1618, 1.0833, 1.0201, 0.9514, 0.9046, 0.8581, 0.8205, 0.7764, 0.7528, 0.7195, 0.6952, 0.6686, 0.642, 0.6239, 0.5976, 0.5788, 0.5621, 0.5374, 0.5239, 0.5058, 0.4877, 0.467, 0.4536, 0.439, 0.4263, 0.405, 0.3958, 0.3748, 0.3603, 0.3461, 0.3303, 0.3215, 0.3067, 0.3007, 0.2818, 0.27, 0.262, 0.2493, 0.2381, 0.2289, 0.2249, 0.21, 0.2044, 0.1954, 0.19, 0.184]","[29.91, 40.34, 48.9, 54.36, 58.2, 61.06, 63.54, 66.24, 67.91, 69.78, 70.93, 72.61, 73.4, 74.61, 75.18, 76.3, 77.14, 77.98, 78.91, 79.49, 79.9, 80.8, 81.32, 81.97, 82.72, 83.53, 84.07, 84.55, 84.92, 85.52, 85.81, 86.77, 87.22, 87.66, 88.11, 88.34, 89.03, 89.12, 90.02, 90.26, 90.64, 90.94, 91.44, 91.77, 91.97, 92.53, 92.72, 92.98, 93.33, 93.34]","[1.736, 1.5176, 1.3935, 1.2321, 1.1169, 1.0561, 0.9838, 0.9091, 0.873, 0.8689, 0.8268, 0.7871, 0.7719, 0.7673, 0.7327, 0.7281, 0.7447, 0.6917, 0.6632, 0.6746, 0.6485, 0.6684, 0.6331, 0.6266, 0.6324, 0.6115, 0.6531, 0.6213, 0.618, 0.6202, 0.6205, 0.6184, 0.5978, 0.663, 0.626, 0.606, 0.6375, 0.6453, 0.6485, 0.6262, 0.6531, 0.6731, 0.6375, 0.7008, 0.6841, 0.7063, 0.7219, 0.7182, 0.7377, 0.7139]","[36.07, 44.6, 50.37, 55.75, 59.65, 62.62, 64.69, 67.55, 68.95, 68.74, 70.56, 72.75, 72.73, 72.9, 73.94, 74.4, 73.9, 75.94, 76.92, 76.35, 77.3, 77.11, 77.95, 78.64, 78.08, 78.57, 77.94, 79.12, 78.8, 79.13, 78.77, 79.42, 79.84, 78.53, 79.5, 80.16, 80.13, 79.33, 79.85, 81.29, 79.81, 80.06, 80.17, 79.88, 79.32, 79.53, 79.12, 80.29, 79.51, 79.93]"
4,"[1.8654, 1.5951, 1.4033, 1.2677, 1.1645, 1.0867, 1.0205, 0.9584, 0.9075, 0.8659, 0.8308, 0.7967, 0.7631, 0.7353, 0.7056, 0.6798, 0.6549, 0.6332, 0.6079, 0.5902, 0.5771, 0.554, 0.533, 0.5113, 0.5001, 0.4787, 0.4636, 0.4433, 0.4309, 0.4154, 0.3975, 0.3814, 0.3626, 0.357, 0.3421, 0.3279, 0.3139, 0.3022, 0.2927, 0.2785, 0.2632, 0.2601, 0.2427, 0.2359, 0.2236, 0.218, 0.2118, 0.2009, 0.1951, 0.1871]","[29.83, 41.02, 48.7, 54.2, 57.81, 61.04, 63.44, 65.73, 67.8, 69.34, 70.36, 71.77, 73.25, 74.09, 75.03, 75.82, 76.91, 77.57, 78.39, 79.04, 79.44, 80.15, 81.02, 81.87, 82.22, 83.07, 83.53, 84.22, 84.62, 85.04, 85.81, 86.35, 86.99, 87.36, 87.67, 88.18, 88.82, 89.16, 89.46, 89.99, 90.54, 90.73, 91.29, 91.53, 92.05, 92.13, 92.32, 92.84, 93.0, 93.33]","[1.7912, 1.5505, 1.3624, 1.2278, 1.1356, 1.0474, 0.9966, 0.9287, 0.8848, 0.8592, 0.8233, 0.8168, 0.7537, 0.7731, 0.7579, 0.7258, 0.6881, 0.6974, 0.7142, 0.6843, 0.675, 0.6243, 0.646, 0.6316, 0.6279, 0.6333, 0.6275, 0.6244, 0.6066, 0.6213, 0.623, 0.6185, 0.6306, 0.6408, 0.6314, 0.6467, 0.6604, 0.65, 0.656, 0.6523, 0.6685, 0.6529, 0.6827, 0.6966, 0.7089, 0.7159, 0.6737, 0.7294, 0.7498, 0.7371]","[33.26, 43.13, 50.25, 55.93, 58.5, 62.01, 64.3, 67.06, 69.21, 69.84, 70.36, 71.19, 73.52, 72.59, 73.32, 74.48, 75.88, 75.31, 74.79, 76.34, 76.6, 78.35, 77.83, 77.77, 78.22, 78.24, 78.63, 79.04, 79.94, 79.88, 78.86, 79.43, 78.93, 79.17, 79.78, 79.59, 79.67, 79.27, 79.96, 80.43, 79.79, 80.54, 79.55, 79.7, 79.28, 80.1, 80.33, 80.13, 79.14, 79.95]"
5,"[1.868, 1.61, 1.4076, 1.2663, 1.152, 1.0649, 1.0021, 0.9455, 0.8983, 0.8535, 0.8131, 0.781, 0.7509, 0.7159, 0.6933, 0.6668, 0.6432, 0.6256, 0.6049, 0.5788, 0.5596, 0.5503, 0.5231, 0.5062, 0.4858, 0.4726, 0.4601, 0.4415, 0.4298, 0.4099, 0.3979, 0.3872, 0.3688, 0.3559, 0.3404, 0.3301, 0.3151, 0.3067, 0.2911, 0.2785, 0.2745, 0.2607, 0.2527, 0.2362, 0.2259, 0.2221, 0.2169, 0.2083, 0.1979, 0.1895]","[29.8, 40.23, 48.85, 54.24, 58.48, 61.69, 64.28, 66.5, 68.16, 69.56, 71.16, 72.43, 73.64, 74.71, 75.59, 76.43, 77.3, 77.84, 78.59, 79.46, 80.35, 80.6, 81.7, 81.83, 82.9, 83.26, 83.41, 84.34, 84.65, 85.37, 85.69, 86.06, 86.71, 87.4, 87.76, 88.31, 88.6, 89.03, 89.53, 90.05, 90.11, 90.61, 90.84, 91.48, 91.86, 92.01, 92.37, 92.6, 92.87, 93.22]","[1.7949, 1.5368, 1.3778, 1.2236, 1.0992, 1.0723, 0.96, 0.9362, 0.914, 0.847, 0.8525, 0.8072, 0.8061, 0.739, 0.7246, 0.7066, 0.6997, 0.7012, 0.6563, 0.6793, 0.6649, 0.6318, 0.655, 0.6438, 0.6226, 0.6133, 0.6212, 0.6472, 0.6142, 0.5907, 0.6332, 0.5988, 0.6272, 0.6317, 0.6283, 0.6228, 0.6391, 0.6246, 0.6338, 0.6645, 0.6471, 0.6468, 0.6764, 0.6753, 0.6943, 0.6953, 0.6926, 0.697, 0.6864, 0.7231]","[33.98, 44.72, 50.79, 55.7, 60.28, 61.8, 66.2, 66.62, 67.11, 70.09, 69.84, 71.72, 71.79, 74.02, 74.39, 74.83, 75.58, 75.31, 77.24, 76.22, 76.57, 78.12, 77.1, 77.68, 78.64, 79.12, 79.16, 78.52, 79.38, 80.58, 78.92, 79.86, 79.25, 80.02, 80.01, 79.91, 79.9, 80.34, 80.06, 80.06, 80.33, 80.37, 80.17, 80.48, 80.46, 80.14, 79.75, 80.22, 80.61, 79.69]"
6,"[1.8714, 1.5956, 1.3911, 1.2647, 1.1662, 1.0868, 1.0256, 0.9645, 0.9125, 0.8741, 0.83, 0.7932, 0.7617, 0.7354, 0.705, 0.6757, 0.6574, 0.6335, 0.6112, 0.5882, 0.5697, 0.5487, 0.5319, 0.5132, 0.4961, 0.4789, 0.4629, 0.4416, 0.427, 0.4119, 0.396, 0.3795, 0.3718, 0.3516, 0.3428, 0.3272, 0.3133, 0.3023, 0.2891, 0.28, 0.2657, 0.2506, 0.24, 0.2386, 0.2255, 0.2193, 0.2054, 0.1985, 0.1878, 0.1878]","[29.93, 40.97, 49.36, 54.02, 58.12, 60.94, 63.19, 65.52, 67.49, 69.13, 70.67, 71.99, 72.98, 74.13, 75.04, 76.09, 76.69, 77.69, 78.36, 79.34, 79.81, 80.49, 81.26, 81.79, 82.63, 82.97, 83.82, 84.41, 84.89, 85.15, 85.89, 86.49, 86.74, 87.23, 87.9, 88.43, 88.94, 89.19, 89.58, 89.96, 90.55, 90.91, 91.49, 91.5, 91.87, 92.17, 92.66, 92.97, 93.25, 93.32]","[1.7055, 1.543, 1.4035, 1.2369, 1.1352, 1.0444, 0.9946, 0.925, 0.8978, 0.8628, 0.849, 0.8, 0.788, 0.7443, 0.7354, 0.7304, 0.6898, 0.6765, 0.6821, 0.6707, 0.6473, 0.6436, 0.6554, 0.6532, 0.6665, 0.6222, 0.6553, 0.6318, 0.6436, 0.6113, 0.6531, 0.6654, 0.6386, 0.6309, 0.6317, 0.6351, 0.646, 0.662, 0.6611, 0.65, 0.6552, 0.6897, 0.6893, 0.6998, 0.702, 0.6991, 0.7392, 0.7612, 0.761, 0.7644]","[36.79, 43.9, 49.1, 55.06, 59.44, 62.6, 64.66, 66.66, 68.36, 69.37, 70.15, 71.86, 72.53, 73.38, 73.92, 74.49, 75.64, 76.08, 76.05, 76.57, 77.7, 77.85, 77.34, 77.15, 77.34, 79.0, 78.11, 78.31, 78.57, 79.25, 78.1, 78.42, 78.56, 79.45, 79.46, 80.22, 79.92, 79.23, 79.84, 80.04, 79.71, 79.29, 79.34, 79.91, 79.65, 79.8, 79.32, 79.69, 79.22, 79.87]"
7,"[1.8614, 1.5961, 1.3947, 1.259, 1.1534, 1.0747, 1.0066, 0.9461, 0.8975, 0.8546, 0.8178, 0.7856, 0.7517, 0.7305, 0.7052, 0.676, 0.6557, 0.6313, 0.6126, 0.5905, 0.5686, 0.5535, 0.5325, 0.5142, 0.4958, 0.476, 0.4582, 0.4484, 0.4287, 0.4128, 0.4, 0.3856, 0.3688, 0.355, 0.342, 0.3292, 0.3211, 0.3039, 0.2913, 0.2822, 0.2686, 0.2606, 0.2466, 0.2365, 0.2326, 0.2146, 0.2097, 0.2054, 0.1981, 0.1827]","[30.3, 41.28, 49.08, 54.42, 58.1, 61.27, 64.01, 66.47, 68.19, 69.76, 71.23, 72.25, 73.49, 74.1, 75.04, 76.21, 76.77, 77.74, 78.45, 79.28, 79.94, 80.42, 81.25, 81.58, 82.42, 83.13, 83.88, 83.95, 84.76, 85.36, 85.92, 86.24, 86.74, 87.3, 87.63, 88.17, 88.37, 89.11, 89.46, 90.07, 90.49, 90.71, 91.08, 91.58, 91.64, 92.22, 92.47, 92.52, 92.88, 93.43]","[1.7297, 1.5176, 1.3481, 1.1868, 1.1473, 1.0525, 0.9709, 0.9325, 0.877, 0.8384, 0.8272, 0.7804, 0.7741, 0.7433, 0.7239, 0.7421, 0.7005, 0.693, 0.6808, 0.6613, 0.6554, 0.6669, 0.6436, 0.6382, 0.6406, 0.6171, 0.6326, 0.6276, 0.6184, 0.6336, 0.6318, 0.6445, 0.6304, 0.6145, 0.6227, 0.6293, 0.7089, 0.6364, 0.6321, 0.6983, 0.6774, 0.6627, 0.7031, 0.6816, 0.6771, 0.7053, 0.6965, 0.6962, 0.7169, 0.767]","[36.19, 44.09, 51.04, 56.98, 58.65, 62.34, 65.47, 66.33, 69.03, 70.81, 70.77, 72.18, 72.75, 73.72, 74.58, 74.23, 75.47, 75.69, 76.46, 77.26, 77.77, 77.06, 77.43, 78.03, 77.95, 79.15, 79.11, 78.87, 79.56, 79.03, 78.77, 78.87, 79.7, 80.11, 79.99, 79.8, 78.31, 79.97, 80.39, 78.75, 79.79, 79.92, 79.75, 80.0, 80.48, 79.96, 80.03, 80.34, 79.84, 79.11]"
8,"[1.8572, 1.5714, 1.3848, 1.253, 1.1506, 1.076, 1.0095, 0.9558, 0.9064, 0.8695, 0.8263, 0.7902, 0.7573, 0.728, 0.7042, 0.6729, 0.6522, 0.6263, 0.6057, 0.5798, 0.5684, 0.547, 0.5287, 0.509, 0.4962, 0.4771, 0.4565, 0.4452, 0.4263, 0.4161, 0.3953, 0.3839, 0.3649, 0.3492, 0.3457, 0.3269, 0.3142, 0.3013, 0.2889, 0.2808, 0.268, 0.2572, 0.2421, 0.2357, 0.2259, 0.2236, 0.2082, 0.2039, 0.1932, 0.1899]","[30.5, 41.99, 49.26, 54.59, 58.61, 61.49, 64.12, 66.16, 67.89, 69.32, 70.86, 71.91, 73.22, 74.32, 74.91, 76.3, 76.8, 77.83, 78.54, 79.42, 79.91, 80.61, 81.19, 82.0, 82.39, 83.08, 83.83, 84.04, 84.81, 85.14, 85.84, 86.31, 86.9, 87.43, 87.61, 88.4, 88.76, 89.32, 89.56, 89.89, 90.36, 90.75, 91.31, 91.53, 91.84, 92.04, 92.55, 92.72, 93.03, 93.16]","[1.7457, 1.5328, 1.3872, 1.1892, 1.116, 1.0274, 0.9792, 0.9091, 0.8876, 0.8508, 0.8115, 0.8038, 0.7689, 0.7543, 0.7484, 0.7435, 0.7165, 0.6856, 0.6788, 0.6659, 0.6687, 0.6575, 0.6646, 0.6682, 0.6308, 0.6277, 0.6282, 0.5937, 0.6475, 0.6224, 0.6424, 0.6157, 0.6273, 0.6585, 0.6493, 0.6242, 0.6546, 0.6264, 0.6905, 0.6794, 0.6535, 0.6608, 0.7007, 0.6908, 0.7035, 0.7073, 0.7117, 0.7228, 0.7314, 0.7303]","[35.23, 44.47, 49.65, 56.77, 59.92, 62.66, 65.75, 67.06, 68.51, 68.92, 71.31, 71.79, 72.76, 73.04, 73.78, 73.71, 74.77, 76.22, 75.84, 76.8, 76.86, 76.97, 77.44, 77.41, 78.03, 78.62, 78.53, 79.59, 78.41, 79.25, 78.56, 79.89, 78.92, 78.78, 79.35, 80.25, 79.08, 79.82, 78.6, 78.82, 79.85, 79.77, 79.13, 79.99, 79.73, 79.33, 79.42, 79.95, 79.92, 79.57]"
9,"[1.8628, 1.6101, 1.3987, 1.2624, 1.153, 1.0725, 1.0056, 0.9547, 0.8976, 0.854, 0.8211, 0.7858, 0.7519, 0.7239, 0.6928, 0.6661, 0.6412, 0.6248, 0.6033, 0.584, 0.5599, 0.5427, 0.531, 0.5143, 0.4913, 0.4816, 0.4574, 0.4441, 0.4308, 0.4091, 0.4006, 0.3837, 0.37, 0.3545, 0.3435, 0.3263, 0.3176, 0.3043, 0.2904, 0.2743, 0.2704, 0.2552, 0.25, 0.2383, 0.2301, 0.224, 0.2099, 0.1999, 0.1962, 0.191]","[29.99, 40.54, 48.67, 54.03, 58.57, 61.73, 64.12, 66.11, 68.2, 69.62, 70.71, 72.3, 73.44, 74.46, 75.55, 76.49, 77.42, 78.0, 78.76, 79.36, 80.39, 80.74, 81.14, 81.68, 82.49, 82.93, 83.67, 84.29, 84.54, 85.33, 85.77, 86.25, 86.78, 87.17, 87.74, 88.28, 88.68, 89.09, 89.74, 90.1, 90.22, 90.81, 91.0, 91.44, 91.86, 92.01, 92.54, 92.74, 93.09, 93.27]","[1.7288, 1.5579, 1.3869, 1.1955, 1.1112, 1.0588, 0.9772, 0.9385, 0.8629, 0.851, 0.8198, 0.7852, 0.7885, 0.7461, 0.7406, 0.7217, 0.7182, 0.6837, 0.6688, 0.6631, 0.6552, 0.654, 0.648, 0.6622, 0.6357, 0.645, 0.6513, 0.6187, 0.6099, 0.63, 0.6257, 0.6312, 0.6527, 0.6482, 0.6404, 0.6527, 0.6745, 0.6644, 0.6524, 0.6835, 0.672, 0.6755, 0.6808, 0.7256, 0.7114, 0.7135, 0.7204, 0.7316, 0.7452, 0.7509]","[36.5, 43.22, 49.39, 56.22, 59.68, 62.43, 65.17, 66.06, 68.83, 69.85, 71.33, 72.34, 72.32, 73.68, 73.79, 74.39, 75.14, 76.08, 76.51, 76.85, 77.53, 77.32, 77.52, 76.96, 78.03, 77.98, 78.07, 79.22, 79.4, 78.76, 79.52, 78.8, 79.07, 79.36, 79.0, 79.27, 79.16, 78.86, 80.1, 79.26, 79.34, 79.72, 79.98, 79.47, 79.46, 79.19, 79.91, 79.56, 79.33, 79.2]"
